India/ State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"Other CentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,27.7,30.4,27.6,65.2,32,30.4,32.4,20,15
Andaman and Nicobar Islands,51.4,56.7,0,100,0,56.7,50,26.4,0
Andhra Pradesh,27.7,30,22,66.7,33.3,30,30.2,20.7,30.3
Arunachal Pradesh,20.7,15.9,15.8,56.3,0,15.7,55.9,43.5,29.8
Assam,52.8,65,20.7,70.4,16.7,65,21.5,17.6,13
Bihar,19.5,18.8,18.4,53.9,25,18.8,17.1,24.7,21.5
Chandigarh,75.5,90.2,50,100,100,91.4,71.4,68.4,29.6
Chhattisgarh,54.5,58.4,41.7,71.4,83.3,58.4,56.6,28.8,24.9
"Dadra and Nagar Haveli and Damanand Diu",78.5,86.6,0,33.3,0,87.5,62.5,31.8,0
Delhi,34.8,37.9,52.2,100,0,37.7,23.9,32.5,0
Goa,23.8,17.4,40,0,0,17.4,32,28.1,0
Gujarat,42.4,57.1,28.9,50,57.1,57.1,15.2,16.1,0
Haryana,35.1,41.4,34.3,66.7,100,41.4,12.5,25.5,20
Himachal Pradesh,32.9,34.4,8,58.3,54.6,34.4,0,24.4,0
Jammu and Kashmir,11.9,10.7,22.2,55,0,10.6,100,16.8,22.9
Jharkhand,19.2,18.5,26.8,76.9,8.3,18.5,29.6,27.8,19.2
Karnataka,32.5,33.1,32.7,80,31.6,33,41.5,28,27.3
Kerala,58.3,61.6,35.9,64.3,50,61.8,64.6,45.4,35.2
Ladakh,18.8,17.8,0,0,100,17.8,17.9,26.8,0
Lakshadweep,89.5,89.5,0,100,0,91.7,0,0,0
Madhya Pradesh,14.7,14.8,13.4,50,7.7,14.7,18.2,14.5,11.3
Maharashtra,35.2,37.9,21.7,85.3,36.4,37.9,37.1,23.6,24.7
Manipur,28.4,24.5,44.4,63.6,100,24.2,21.6,44.4,22.2
Meghalaya,12.2,13,0,36.4,0,13,13,8,9.9
Mizoram,35.6,47.6,25,28.6,0,47.8,13.9,12.6,9.5
Nagaland,39.5,41.8,16.7,54.6,0,41.9,0,33.4,0
Odisha,48.3,52.4,12.7,74.2,40,52.4,35.2,31.8,29.1
Puducherry,20,19.4,0,100,0,18.8,12.1,21.7,0
Punjab,86.6,92,76.9,82.6,81,92.1,82.2,73.9,71.4
Rajasthan,24.2,26.9,41.6,71.4,42.9,26.9,0,19.6,11.6
Sikkim,39.6,46.8,0,50,50,46.9,36.8,23.1,0
Tamil Nadu,18.7,20.9,13.3,0,10,20.9,20.4,11.3,8.7
Telangana,10,12.6,8.6,44.4,12.5,12.6,4.6,4,3
Tripura,27.7,29.2,44.4,37.5,0,29.1,25.6,23.7,9.2
Uttar Pradesh,19.4,22.7,34.7,76,25,22.7,22.6,16,9.1
Uttarakhand,43.2,50.2,20,53.9,42.9,50.3,43.1,23.4,20.9
West Bengal,6.9,6.7,22.6,64.7,11.4,6.7,8,8.2,4.8
