"India/State /UT",Pupil Teacher Ratio (PTR),,,
"","Primary(1 to 5)","UpperPrimary (6-8)","Secondary(9-10)","HigherSecondary(11-12)"
(1),(3),(4),(5),(6)
India,26,19,18,27
Andaman and Nicobar Islands,12,10,7,13
Andhra Pradesh,25,16,11,32
Arunachal Pradesh,12,9,11,20
Assam,21,14,11,21
Bihar,54,23,55,63
Chandigarh,28,16,12,27
Chhattisgarh,21,18,15,17
"Dadra and Nagar Haveli andDaman and Diu",30,28,20,26
Delhi,34,33,28,22
Goa,26,16,9,19
Gujarat,30,25,29,28
Haryana,26,19,12,15
Himachal Pradesh,16,9,6,10
Jammu and Kashmir,15,10,13,28
Jharkhand,29,26,35,57
Karnataka,23,18,18,28
Kerala,27,21,15,22
Ladakh,8,4,6,13
Lakshadweep,16,14,7,12
Madhya Pradesh,25,18,23,30
Maharashtra,25,27,21,38
Manipur,13,11,9,16
Meghalaya,20,14,12,20
Mizoram,16,8,9,15
Nagaland,11,8,10,17
Odisha,17,15,18,36
Puducherry,18,14,10,16
Punjab,26,19,11,18
Rajasthan,26,13,11,18
Sikkim,7,8,9,11
Tamil Nadu,20,15,13,21
Telangana,21,13,10,29
Tripura,18,20,14,15
Uttar Pradesh,28,25,27,39
Uttarakhand,19,16,11,17
West Bengal,27,28,17,28
