"India/State/ UT",Gross Enrolment Ratio (GER)  – Scheduled Tribes,,,,,,,,,,,,,,
"",Primary (1 to 5),Upper Primary (6 to 8),Elementary (1 to 8),Secondary (9-10),Higher Secondary (11-12),,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,106.3,106.7,106.5,98.3,97.6,98.0,103.4,103.3,103.4,77.0,79.2,78.1,50.5,53.6,52.0
Andaman and Nicobar Islands,81.1,94.9,87.5,95.4,107.0,100.8,86.4,99.5,92.5,76.5,93.0,84.2,52.9,60.6,56.5
Andhra Pradesh,111.6,115.5,113.5,103.9,102.1,103.0,108.9,110.6,109.7,80.2,83.0,81.6,63.8,67.1,65.4
Arunachal Pradesh,125.3,128.2,126.7,80.0,85.0,82.5,105.5,108.8,107.1,66.2,68.0,67.1,57.7,61.4,59.5
Assam,123.2,131.3,127.1,100.5,103.5,102.0,114.1,119.7,116.8,85.5,88.4,87.0,56.7,56.6,56.6
Bihar,215.6,213.3,214.5,158.0,157.9,158.0,194.4,192.1,193.3,130.0,135.2,132.6,79.3,80.0,79.6
Chandigarh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chhattisgarh,93.7,93.5,93.6,92.3,91.3,91.8,93.2,92.7,93.0,66.8,74.3,70.5,55.7,68.7,62.2
"Dadra and Nagar Haveli andDaman and Diu",71.9,77.4,74.5,69.8,73.3,71.4,71.1,75.8,73.3,53.2,53.7,53.4,49.3,61.7,55.2
Delhi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Goa,65.6,68.5,67.0,65.3,71.1,68.1,65.5,69.5,67.4,64.8,76.7,70.4,78.3,79.1,78.7
Gujarat,95.5,96.3,95.9,97.1,93.8,95.5,96.0,95.4,95.7,77.1,75.1,76.2,45.1,50.9,47.9
Haryana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Himachal Pradesh,102.4,105.6,103.9,97.9,99.2,98.6,100.6,103.0,101.8,90.4,91.5,90.9,96.1,94.4,95.3
Jammu and Kashmir,135.3,128.4,131.9,70.1,73.9,71.9,104.7,104.3,104.5,58.3,53.9,56.3,47.6,36.3,42.5
Jharkhand,105.1,107.4,106.2,86.3,88.2,87.3,97.8,99.7,98.8,59.2,63.6,61.4,35.6,40.0,37.9
Karnataka,108.0,107.1,107.6,105.4,104.1,104.8,107.1,106.0,106.5,91.4,92.2,91.8,48.7,51.0,49.8
Kerala,95.3,96.7,96.0,96.1,91.3,93.7,95.6,94.6,95.1,108.9,103.2,106.0,88.2,97.9,92.9
Ladakh,86.1,75.6,80.6,70.0,65.2,67.5,79.9,71.5,75.5,60.7,62.3,61.5,50.1,54.9,52.6
Lakshadweep,79.2,81.4,80.3,71.2,58.2,64.4,76.2,71.7,74.0,66.1,62.2,64.2,66.6,60.7,63.5
Madhya Pradesh,86.0,84.4,85.2,97.6,90.4,94.0,89.8,86.4,88.1,60.0,58.7,59.4,39.2,40.5,39.9
Maharashtra,106.1,109.0,107.5,100.7,101.7,101.2,104.0,106.2,105.0,94.1,93.5,93.8,57.2,52.9,55.2
Manipur,130.2,138.1,133.9,64.8,69.8,67.2,100.6,107.0,103.6,52.4,57.5,54.9,43.7,45.5,44.6
Meghalaya,189.5,196.3,192.8,107.7,124.4,116.0,154.5,165.0,159.6,77.3,96.8,87.0,39.5,53.8,46.6
Mizoram,163.3,163.2,163.3,111.1,113.3,112.2,140.7,141.5,141.1,91.6,100.3,95.9,59.3,67.4,63.3
Nagaland,94.0,100.0,96.9,64.0,70.9,67.3,80.6,86.9,83.6,56.9,66.4,61.5,33.4,38.6,35.9
Odisha,96.0,94.6,95.3,101.7,101.9,101.8,98.0,97.2,97.6,82.2,86.2,84.2,36.7,41.0,38.8
Puducherry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Punjab,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rajasthan,108.3,108.9,108.6,105.0,99.3,102.3,107.2,105.5,106.4,79.0,74.4,76.8,73.2,69.0,71.2
Sikkim,113.2,97.5,105.5,76.2,78.2,77.2,95.9,88.4,92.2,85.6,95.9,90.7,55.9,74.2,65.1
Tamil Nadu,111.7,112.5,112.1,111.9,109.9,110.9,111.8,111.5,111.7,116.9,119.5,118.2,80.4,90.1,85.0
Telangana,108.3,104.1,106.3,102.2,98.7,100.5,106.0,102.1,104.2,88.5,89.5,89.0,67.7,75.0,71.1
Tripura,122.8,127.0,124.8,83.2,85.6,84.4,105.0,108.3,106.6,70.1,75.0,72.5,48.4,59.0,53.5
Uttar Pradesh,179.0,179.3,179.1,179.1,187.3,183.1,179.0,181.9,180.4,113.9,116.6,115.2,68.6,71.1,69.8
Uttarakhand,110.6,116.7,113.4,90.4,93.0,91.6,102.1,106.5,104.2,79.0,76.1,77.6,68.4,70.7,69.5
West Bengal,113.4,113.5,113.4,95.6,97.9,96.8,106.6,107.4,107.0,94.5,111.0,102.5,44.3,57.2,50.6
