India/State/ UT,Enrolment of age group >17 years,,,,,,,,,,,
"",All,Upper Primary (1to 8),Secondary (9 to 10),Higher Secondary (11 to 12),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(80),(81),(82),(83),(84),(85),(86),(87),(88),(89),(90),(91)
India,2016184,1793129,3809313,17428,14585,32013,166533,138010,304543,1832223,1640534,3472757
Andaman and Nicobar Islands,1160,904,2064,9,5,14,61,54,115,1090,845,1935
Andhra Pradesh,34099,27216,61315,599,491,1090,3516,2131,5647,29984,24594,54578
Arunachal Pradesh,2493,2550,5043,158,127,285,232,220,452,2103,2203,4306
Assam,32204,32777,64981,168,191,359,2774,3075,5849,29262,29511,58773
Bihar,96886,94046,190932,470,550,1020,8510,10081,18591,87906,83415,171321
Chandigarh,3713,2316,6029,8,4,12,205,146,351,3500,2166,5666
Chhattisgarh,53822,57925,111747,279,110,389,1850,1574,3424,51693,56241,107934
"Dadra and Nagar Haveli and Daman andDiu",1440,1091,2531,9,11,20,226,123,349,1205,957,2162
Delhi,52126,73122,125248,0,0,0,3557,4221,7778,48569,68901,117470
Goa,4171,3372,7543,119,66,185,138,69,207,3914,3237,7151
Gujarat,33913,26424,60337,475,382,857,2086,1434,3520,31352,24608,55960
Haryana,62330,43263,105593,376,269,645,6164,4194,10358,55790,38800,94590
Himachal Pradesh,7998,6183,14181,118,94,212,352,300,652,7528,5789,13317
Jammu and Kashmir,24509,19611,44120,100,66,166,838,676,1514,23571,18869,42440
Jharkhand,64436,65934,130370,599,598,1197,5391,6077,11468,58446,59259,117705
Karnataka,65375,59481,124856,120,85,205,202,277,479,65053,59119,124172
Kerala,19157,15978,35135,1015,650,1665,346,202,548,17796,15126,32922
Ladakh,392,502,894,11,6,17,62,47,109,319,449,768
Lakshadweep,138,66,204,0,0,0,1,1,2,137,65,202
Madhya Pradesh,161588,135166,296754,1446,932,2378,12890,9122,22012,147252,125112,272364
Maharashtra,316663,230890,547553,2416,1701,4117,21451,11689,33140,292796,217500,510296
Manipur,2994,2379,5373,64,38,102,174,169,343,2756,2172,4928
Meghalaya,12960,16004,28964,378,302,680,3137,3363,6500,9445,12339,21784
Mizoram,3975,3850,7825,86,86,172,658,519,1177,3231,3245,6476
Nagaland,5754,5492,11246,121,163,284,861,903,1764,4772,4426,9198
Odisha,27140,26953,54093,230,241,471,880,767,1647,26030,25945,51975
Puducherry,685,522,1207,0,2,2,4,6,10,681,514,1195
Punjab,167413,110749,278162,1934,1295,3229,19210,10637,29847,146269,98817,245086
Rajasthan,187712,162368,350080,1415,1252,2667,16354,14677,31031,169943,146439,316382
Sikkim,3169,3669,6838,65,25,90,673,613,1286,2431,3031,5462
Tamil Nadu,13545,9143,22688,0,0,0,0,0,0,13545,9143,22688
Telangana,61679,36331,98010,530,363,893,5557,3481,9038,55592,32487,88079
Tripura,4056,4009,8065,11,8,19,98,103,201,3947,3898,7845
Uttar Pradesh,279481,243092,522573,3218,3631,6849,38153,33919,72072,238110,205542,443652
Uttarakhand,20543,18911,39454,109,139,248,1548,1587,3135,18886,17185,36071
West Bengal,186465,250840,437305,772,702,1474,8374,11553,19927,177319,238585,415904
