"India/State/ UT",New Admissions in Class 1 – All types of management,,,,,,,,,,,
"",Total,Boys,Girls,,,,,,,,,
"","Admittedin class 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,,,,,,
"","sameschool","anotherschool","anganwadi/ECCEcentre","sameschool","anotherschool","anganwadi/ECCEcentre","sameschool","anotherschool","anganwadi/ECCEcentre",,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,19097256,4348419,1476371,4357390,9973180,2285734,784821,2239766,9124076,2062685,691550,2117624
Andaman and Nicobar Islands,3629,1777,1034,212,1881,916,542,110,1748,861,492,102
Andhra Pradesh,444901,55914,39985,189091,231294,30182,21222,96055,213607,25732,18763,93036
Arunachal Pradesh,27980,5849,3032,2946,14348,3051,1561,1486,13632,2798,1471,1460
Assam,674233,193621,45114,137592,343682,99481,23093,69614,330551,94140,22021,67978
Bihar,2105313,71379,57840,212712,1097724,40710,32437,108812,1007589,30669,25403,103900
Chandigarh,16250,9456,2947,861,8563,5023,1569,457,7687,4433,1378,404
Chhattisgarh,453015,73612,18542,198993,232988,39115,9791,101243,220027,34497,8751,97750
"Dadra and Nagar Haveli andDaman and Diu",10748,2244,1364,2079,5623,1234,735,1014,5125,1010,629,1065
Delhi,280484,149198,104044,19053,146061,73314,56018,11039,134423,75884,48026,8014
Goa,21925,9189,4344,2785,11446,4639,2461,1428,10479,4550,1883,1357
Gujarat,993537,105386,62215,392718,524302,58461,33947,203484,469235,46925,28268,189234
Haryana,430441,87968,45171,61611,234089,49671,25432,31852,196352,38297,19739,29759
Himachal Pradesh,85221,27088,4369,10598,44484,14377,2407,5414,40737,12711,1962,5184
Jammu and Kashmir,209794,92901,14990,7335,108281,47525,8082,3711,101513,45376,6908,3624
Jharkhand,460952,66055,28789,122904,240125,35650,15843,62515,220827,30405,12946,60389
Karnataka,1149186,128583,13361,953342,600500,68411,7017,496214,548686,60172,6344,457128
Kerala,463135,236629,62505,36156,238022,121261,32172,18824,225113,115368,30333,17332
Ladakh,3595,1645,139,29,1804,805,79,17,1791,840,60,12
Lakshadweep,1031,182,299,46,529,100,150,21,502,82,149,25
Madhya Pradesh,1042824,202435,42184,256183,544303,110444,22739,130566,498521,91991,19445,125617
Maharashtra,1769213,326266,179565,646974,919953,171498,95980,331632,849260,154768,83585,315342
Manipur,64205,19679,12737,11362,33153,10162,6795,5798,31052,9517,5942,5564
Meghalaya,115554,92258,13256,5139,59035,47337,6781,2648,56519,44921,6475,2491
Mizoram,32791,10831,2753,9474,16989,5507,1414,4962,15802,5324,1339,4512
Nagaland,30889,19340,2169,0,15822,9891,1135,0,15067,9449,1034,0
Odisha,460627,31830,11156,181423,238634,17641,5994,92555,221993,14189,5162,88868
Puducherry,14507,8362,3430,324,7130,4127,1781,176,7377,4235,1649,148
Punjab,354189,187066,46282,20418,188880,99364,25037,10491,165309,87702,21245,9927
Rajasthan,1256490,129917,65447,190573,666114,72636,36095,97309,590376,57281,29352,93264
Sikkim,6297,3004,899,137,3315,1609,466,75,2982,1395,433,62
Tamil Nadu,853571,519336,266642,67593,441692,274868,134054,32769,411879,244468,132588,34824
Telangana,131310,122,43365,4687,69709,64,23031,2518,61601,58,20334,2169
Tripura,46054,5504,2866,16204,23562,2932,1501,8069,22492,2572,1365,8135
Uttar Pradesh,3323876,153495,153052,517169,1751785,85091,83393,266404,1572091,68404,69659,250765
Uttarakhand,173902,30459,19295,32657,92530,17102,10573,16710,81372,13357,8722,15947
West Bengal,1585587,1289839,101189,46010,814828,661535,53494,23774,770759,628304,47695,22236
