"India/State/ UT",Total Schools,Schools with CWSN friendly toilet,Schools with functional CWSN friendly toilet,,,,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,
(1),(2),(3),(4),(5),(6),,(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),
India,1489115,1022386,82480,335844,48405,,401487,269823,22197,101604,7863,382405,254743,21486,98651,7525,
Andaman and Nicobar Islands,416,342,2,72,0,,96,84,0,12,0,94,82,0,12,0,
Andhra Pradesh,61948,45137,1542,15058,211,,12336,6517,233,5531,55,12027,6265,226,5484,52,
Arunachal Pradesh,3603,2985,68,503,47,,376,289,7,73,7,214,128,7,72,7,
Assam,60859,45490,3841,5852,5676,,11094,9716,235,932,211,10637,9355,211,885,186,
Bihar,93165,75558,742,8097,8768,,13433,9599,112,1997,1725,13083,9324,109,1960,1690,
Chandigarh,233,123,7,76,27,,171,101,4,61,5,171,101,4,61,5,
Chhattisgarh,56512,48743,417,7063,289,,41249,36743,214,4150,142,37841,33496,205,4004,136,
"Dadra and Nagar Haveli andDaman and Diu",460,388,8,63,1,,394,370,4,19,1,389,365,4,19,1,
Delhi,5619,2762,247,2610,0,,5619,2762,247,2610,0,5619,2762,247,2610,0,
Goa,1510,814,557,139,0,,102,28,59,15,0,99,26,58,15,0,
Gujarat,53851,34699,5590,13559,3,,18812,15860,958,1994,0,18712,15768,956,1988,0,
Haryana,23726,14562,16,8261,887,,10386,8797,2,1468,119,10132,8595,2,1416,119,
Himachal Pradesh,18028,15380,0,2646,2,,4238,3353,0,884,1,4079,3217,0,861,1,
Jammu and Kashmir,28805,23173,1,5526,105,,1236,513,1,706,16,1137,440,1,680,16,
Jharkhand,44855,35840,1175,1559,6281,,2330,1415,71,294,550,2144,1304,69,282,489,
Karnataka,76450,49679,7110,19650,11,,13027,6493,1111,5423,0,11932,5720,1029,5183,0,
Kerala,16240,5010,7183,3164,883,,4149,2274,1255,503,117,3858,2054,1208,488,108,
Ladakh,978,838,28,112,0,,235,225,0,10,0,231,221,0,10,0,
Lakshadweep,38,38,0,0,0,,23,23,0,0,0,23,23,0,0,0,
Madhya Pradesh,125582,92695,740,30345,1802,,12856,5658,113,6975,110,12195,5310,105,6675,105,
Maharashtra,109605,65639,24037,19268,661,,57747,33588,12438,11397,324,53511,30049,12023,11121,318,
Manipur,4617,2889,583,1010,135,,377,136,15,210,16,354,120,13,207,14,
Meghalaya,14600,7783,4172,2120,525,,382,173,113,86,10,343,148,106,79,10,
Mizoram,3911,2563,230,1034,84,,690,629,14,39,8,551,496,12,37,6,
Nagaland,2718,1960,0,757,1,,148,107,0,41,0,126,88,0,38,0,
Odisha,62291,49072,5807,6104,1308,,34134,28043,1872,3582,637,33062,27077,1834,3533,618,
Puducherry,736,422,33,281,0,,280,196,4,80,0,266,183,4,79,0,
Punjab,27701,19259,450,7978,14,,22039,14895,335,6795,14,21946,14805,335,6792,14,
Rajasthan,106373,68948,0,34826,2599,,21097,7324,0,13379,394,19503,6699,0,12461,343,
Sikkim,1259,864,19,376,0,,189,162,1,26,0,171,145,1,25,0,
Tamil Nadu,58801,37636,8323,12396,446,,17579,13627,838,3028,86,17579,13627,838,3028,86,
Telangana,43083,30023,700,12193,167,,2405,1519,24,861,1,2025,1140,24,860,1,
Tripura,4929,4262,43,363,261,,433,369,9,51,4,375,313,8,50,4,
Uttar Pradesh,258054,137024,8113,97808,15109,,61861,32578,1855,24655,2773,58177,29756,1795,23961,2665,
Uttarakhand,22815,16484,608,5225,498,,1572,891,33,613,35,1407,775,32,571,29,
West Bengal,94744,83302,88,9750,1604,,28392,24766,20,3104,502,28392,24766,20,3104,502,
