"India/State/ UT",Enrolment of age group - All ages,,,,,,,,
"",Upper Primary (1to 8),Secondary (9-10),Higher Secondary (11-12),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(11),(12),(13),(14),(15),(16),(17),(18),(19)
India,34511750,32278942,66790692,20071918,18456713,38528631,14747732,13831318,28579050
Andaman and Nicobar Islands,9088,8631,17719,5976,5834,11810,5730,5753,11483
Andhra Pradesh,1132406,1036628,2169034,694292,646958,1341250,466603,465576,932179
Arunachal Pradesh,41309,43621,84930,22471,22984,45455,16377,17483,33860
Assam,917373,988402,1905775,465492,539190,1004682,264216,281536,545752
Bihar,3635833,3617710,7253543,1804240,1814058,3618298,1023011,972054,1995065
Chandigarh,34343,29759,64102,23967,19828,43795,23053,19670,42723
Chhattisgarh,753340,733078,1486418,410149,430023,840172,349429,395698,745127
"Dadra and Nagar Haveli andDaman and Diu",18697,16653,35350,10087,8584,18671,7250,7390,14640
Delhi,633559,557216,1190775,386581,338694,725275,333718,314284,648002
Goa,37525,34785,72310,24279,22587,46866,21181,20713,41894
Gujarat,1638632,1452353,3090985,959454,791062,1750516,621145,527749,1148894
Haryana,813172,667167,1480339,526975,425168,952143,423787,356503,780290
Himachal Pradesh,178750,163945,342695,114016,102413,216429,116213,105818,222031
Jammu and Kashmir,301526,275979,577505,182592,161893,344485,157488,136985,294473
Jharkhand,1060618,1053691,2114309,536799,552270,1089069,367113,376807,743920
Karnataka,1645934,1551012,3196946,1010732,959584,1970316,598618,605247,1203865
Kerala,767896,733107,1501003,511005,485085,996090,428740,442875,871615
Ladakh,5907,6259,12166,3639,3943,7582,2975,3455,6430
Lakshadweep,1473,1340,2813,986,887,1873,965,958,1923
Madhya Pradesh,2195869,2028350,4224219,1159009,1037499,2196508,867196,781974,1649170
Maharashtra,3115548,2740049,5855597,1996741,1738906,3735647,1550240,1354029,2904269
Manipur,75988,74875,150863,45649,45356,91005,40185,39395,79580
Meghalaya,115006,129002,244008,53164,64332,117496,27502,35542,63044
Mizoram,36464,35485,71949,19791,20814,40605,13360,14774,28134
Nagaland,47945,48494,96439,28441,30280,58721,16067,17993,34060
Odisha,1064056,1007699,2071755,636275,610106,1246381,338141,352087,690228
Puducherry,31290,29477,60767,20928,20074,41002,17669,18502,36171
Punjab,741390,633572,1374962,473876,394014,867890,426833,358064,784897
Rajasthan,2294584,2013665,4308249,1315438,1105136,2420574,1205746,983714,2189460
Sikkim,14970,14499,29469,11331,11820,23151,7957,9862,17819
Tamil Nadu,1605701,1509597,3115298,1070118,1010024,2080142,884038,928942,1812980
Telangana,934269,866949,1801218,572937,545440,1118377,402633,400103,802736
Tripura,90154,89405,179559,54715,55821,110536,39770,41916,81686
Uttar Pradesh,5986744,5603350,11590094,3395055,2828266,6223321,2620079,2158275,4778354
Uttarakhand,314114,281668,595782,192364,173332,365696,172806,159590,332396
West Bengal,2220277,2201470,4421747,1332354,1434448,2766802,889898,1120002,2009900
