"India/State /UT",Number of Teachers in Private Unaided Recognized Schools,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
India,3540647,483809,876867,74338,683539,82076,48624,1029908,84153,73941,103392
Andaman and Nicobar Islands,1029,181,220,0,131,0,0,497,0,0,0
Andhra Pradesh,122464,25227,24199,175,22484,32340,0,339,0,0,17700
Arunachal Pradesh,5903,1057,2715,0,1444,0,0,655,0,32,0
Assam,86582,6918,19393,399,42397,620,1083,10261,543,491,4477
Bihar,109949,4878,58148,54,10411,495,4145,22786,246,1796,6990
Chandigarh,3845,121,151,0,567,0,0,2953,53,0,0
Chhattisgarh,78718,8937,25444,369,10117,89,168,31618,630,1331,15
"Dadra and Nagar Haveli andDaman and Diu",1384,127,185,0,252,0,0,820,0,0,0
Delhi,62411,6149,10092,29,5406,64,0,40284,319,68,0
Goa,1941,822,90,0,403,45,0,540,0,0,41
Gujarat,138832,6077,57580,1198,10883,122,2854,44602,722,11709,3085
Haryana,136825,4354,22978,38,22589,194,0,85592,1025,30,25
Himachal Pradesh,32878,2339,5993,0,9911,0,0,14244,178,144,69
Jammu and Kashmir,68031,10861,19603,0,24247,0,18,13078,51,143,30
Jharkhand,34422,93,2454,27,8863,2844,755,16210,122,29,3025
Karnataka,189512,13364,44562,401,75903,546,10962,17719,226,789,25040
Kerala,67961,3484,6180,118,20715,217,147,35379,903,408,410
Ladakh,1593,167,566,0,626,14,0,220,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,286418,13561,134475,176,38736,262,731,94065,1311,3031,70
Maharashtra,215300,28294,49463,337,57555,10778,3446,45839,4572,1294,13722
Manipur,20784,464,4004,42,10822,52,74,3904,120,84,1218
Meghalaya,12209,4123,1504,506,1780,199,1893,932,76,241,955
Mizoram,7375,1026,3851,343,139,7,1155,0,0,0,854
Nagaland,12339,1005,1752,0,5084,8,0,4287,8,0,195
Odisha,78872,7784,38491,444,13859,1192,862,7977,96,0,8167
Puducherry,6762,290,301,0,1766,0,0,4353,24,0,28
Punjab,130629,4039,17326,6,33235,45,7,73609,330,530,1502
Rajasthan,326490,13286,103135,49,67840,394,47,137488,3383,849,19
Sikkim,3523,1320,1292,0,481,0,0,430,0,0,0
Tamil Nadu,258225,47482,6526,29,31787,1148,0,164547,6498,43,165
Telangana,176885,3665,34058,0,117632,2464,0,3786,15,0,15265
Tripura,6191,1267,1021,0,1911,10,0,1982,0,0,0
Uttar Pradesh,703949,202302,146656,65186,22204,26503,20126,110310,59922,50544,196
Uttarakhand,56329,8326,20239,900,4695,323,151,19584,1717,346,48
West Bengal,94087,50419,12220,3512,6664,1101,0,19018,1063,9,81
