India/ State /UT,Enrolment of age group >17 years,,,,,,,,
"",All,Primary (1 to 5),Upper Primary (6 to 8),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(80),(81),(82),(83),(84),(85),(86),(87),(88)
India,2878412,2506661,5385073,0,0,0,22841,19800,42641
Andaman and Nicobar Islands,841,849,1690,0,0,0,13,9,22
Andhra Pradesh,47492,33218,80710,0,0,0,635,589,1224
Arunachal Pradesh,3517,3992,7509,0,0,0,246,314,560
Assam,57497,55494,112991,0,0,0,387,374,761
Bihar,130404,126679,257083,0,0,0,1120,1377,2497
Chandigarh,4015,2708,6723,0,0,0,16,12,28
Chhattisgarh,96590,102564,199154,0,0,0,269,183,452
Dadra and Nagar Haveli,1345,1159,2504,0,0,0,4,2,6
Daman and Diu,477,286,763,0,0,0,4,2,6
Delhi,37460,43251,80711,0,0,0,0,0,0
Goa,6568,5380,11948,0,0,0,7,3,10
Gujarat,90152,68920,159072,0,0,0,543,349,892
Haryana,66548,46391,112939,0,0,0,532,316,848
Himachal Pradesh,14788,12929,27717,0,0,0,30,18,48
Jammu and Kashmir,25154,20485,45639,0,0,0,166,158,324
Jharkhand,83841,85268,169109,0,0,0,881,1007,1888
Karnataka,71515,59423,130938,0,0,0,430,337,767
Kerala,61584,58338,119922,0,0,0,937,671,1608
Ladakh,808,1222,2030,0,0,0,29,5,34
Lakshadweep,43,37,80,0,0,0,0,0,0
Madhya Pradesh,242810,211443,454253,0,0,0,2484,1887,4371
Maharashtra,475137,348065,823202,0,0,0,3366,1755,5121
Manipur,6225,5497,11722,0,0,0,98,68,166
Meghalaya,16590,18984,35574,0,0,0,716,676,1392
Mizoram,6164,5825,11989,0,0,0,196,150,346
Nagaland,7150,6997,14147,0,0,0,232,257,489
Odisha,93749,82124,175873,0,0,0,545,364,909
Puducherry,1241,1242,2483,0,0,0,1,1,2
Punjab,57573,38938,96511,0,0,0,409,239,648
Rajasthan,289007,225396,514403,0,0,0,2057,1750,3807
Sikkim,4963,5478,10441,0,0,0,169,124,293
Tamil Nadu,12550,8814,21364,0,0,0,0,0,0
Telangana,182699,160246,342945,0,0,0,0,0,0
Tripura,6293,5784,12077,0,0,0,18,15,33
Uttar Pradesh,483024,415425,898449,0,0,0,4581,4579,9160
Uttarakhand,34322,34982,69304,0,0,0,198,147,345
West Bengal,158276,202828,361104,0,0,0,1522,2062,3584
