India/ State /UT,Enrolment – Other Schools,,,,,,
"","Total(Pre-primaryto 12)","Pre-Primary","Primary(1 to 5)","UpperPrimary(6-8)","Elementary(1-8)","Secondary(9-10)","HigherSecondary(11-12)"
(1),(2),(3),(4),(5),(6),(7),(8)
India,7888109,986272,5143823,1368119,6511942,292909,96986
Andaman and Nicobar Islands,31,23,8,0,8,0,0
Andhra Pradesh,22266,771,16079,4834,20913,323,259
Arunachal Pradesh,5921,1279,3918,724,4642,0,0
Assam,386130,22478,262847,32850,295697,50047,17908
Bihar,2202448,313398,1344253,450803,1795056,59346,34648
Chandigarh,9631,4222,4562,756,5318,72,19
Chhattisgarh,14859,75,11147,3637,14784,0,0
Dadra and Nagar Haveli,0,0,0,0,0,0,0
Daman and Diu,285,0,183,40,223,29,33
Delhi,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0
Gujarat,1189,0,510,316,826,306,57
Haryana,151328,33638,93175,22962,116137,1313,240
Himachal Pradesh,16,0,16,0,16,0,0
Jammu and Kashmir,10497,2204,5982,1777,7759,480,54
Jharkhand,1526739,356251,845372,284651,1130023,37875,2590
Karnataka,673,31,344,263,607,35,0
Kerala,176061,46326,110085,17755,127840,1498,397
Ladakh,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0
Madhya Pradesh,138942,967,100627,37217,137844,94,37
Maharashtra,155967,27184,97992,24207,122199,6240,344
Manipur,25857,7635,14951,3171,18122,100,0
Meghalaya,40738,10985,17523,4745,22268,5524,1961
Mizoram,6858,1522,2632,813,3445,1194,697
Nagaland,106,50,56,0,56,0,0
Odisha,112637,177,85527,17694,103221,6997,2242
Puducherry,0,0,0,0,0,0,0
Punjab,74833,16072,30948,13470,44418,6258,8085
Rajasthan,173431,4229,145811,19857,165668,2717,817
Sikkim,0,0,0,0,0,0,0
Tamil Nadu,83755,29652,39410,9393,48803,3082,2218
Telangana,11494,140,9044,2244,11288,66,0
Tripura,17845,4496,12112,942,13054,239,56
Uttar Pradesh,2162829,11034,1658607,368986,2027593,101498,22704
Uttarakhand,63363,1565,46591,11654,58245,2780,773
West Bengal,311380,89868,183511,32358,215869,4796,
