India/ State /UT,Projected population by age group – overall,,,,,,,,
"",Age 3-5,Age 6-10,Age 11-13,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,44847533,40221333,85069467,62093000,56354000,118446400,37587800,34760400,72346800
Andaman and Nicobar Islands,12534,11924,24458,19223,17521,36744,12262,11502,23764
Andhra Pradesh,1357200,1247000,2603800,1924400,1797200,3721800,1194600,1140600,2335600
Arunachal Pradesh,44550,41905,86455,73454,70522,143976,50491,49749,100241
Assam,1158933,1065200,2224533,1636400,1542200,3179000,1029800,999400,2029800
Bihar,5286200,4768933,10055533,7258400,6727800,13986600,4330400,4128000,8458200
Chandigarh,39681,34149,73830,60000,47805,107806,36929,28586,65515
Chhattisgarh,1043133,988600,2030733,1394800,1335000,2730000,813000,787600,1600000
Dadra and Nagar Haveli,16550,15202,31752,22957,19830,42787,13330,11715,25045
Daman and Diu,9026,7881,16907,11536,9774,21310,6654,5607,12262
Delhi,572067,486200,1058000,814400,690400,1505000,502800,426200,928400
Goa,45222,42093,87315,66042,59364,125406,41117,37280,78397
Gujarat,2290400,1950267,4240467,3087600,2650600,5737200,1836800,1609600,3446400
Haryana,974667,816333,1791400,1346000,1112400,2457800,809800,669000,1478800
Himachal Pradesh,186333,169467,355800,279400,251200,531400,181400,161600,342400
Jammu and Kashmir,345133,318667,663200,623400,552000,1175200,461800,399400,861400
Jharkhand,1398333,1282133,2681067,1955400,1832800,3788800,1215800,1174800,2389600
Karnataka,1846467,1701467,3547533,2621400,2447000,5067600,1587600,1507200,3095200
Kerala,888733,852933,1741267,1264600,1212200,2477600,779400,748400,1528800
Ladakh,10586,10055,20641,14493,13099,27592,9350,8281,17632
Lakshadweep,2235,2117,4352,3365,3137,6501,2006,2240,4246
Madhya Pradesh,3236000,2972533,6208667,4255600,3938400,8193000,2428400,2274600,4703400
Maharashtra,3378400,2953000,6331667,4926200,4333200,9260400,3121400,2785200,5906000
Manipur,78291,71128,149419,127019,118039,245057,91003,85825,176828
Meghalaya,113616,107331,220947,163809,156830,320639,109628,106663,216291
Mizoram,32861,31027,63888,49942,47643,97585,33830,32252,66082
Nagaland,61536,56303,117839,102832,94688,197521,73389,67362,140751
Odisha,1333333,1254933,2588267,1901200,1795800,3697000,1192400,1134800,2327200
Puducherry,39899,38512,78411,62185,56870,119055,38752,36190,74941
Punjab,785200,686867,1472067,1148800,977000,2125400,735600,608000,1343600
Rajasthan,3062533,2661400,5724200,4124600,3639600,7763800,2403600,2185600,4588800
Sikkim,13627,12556,26183,24923,23991,48913,19429,18716,38145
Tamil Nadu,1900133,1735800,3636200,2736000,2533600,5269600,1669600,1581400,3251400
Telangana,1021533,922267,1943800,1448200,1329600,2778800,910200,859200,1770000
Tripura,97799,91472,189270,144607,136314,280921,104647,99633,204280
Uttar Pradesh,9317133,8169067,17486400,12208000,10828800,23036800,7040400,6396000,13435600
Uttarakhand,345467,292933,638400,496800,426400,922600,320000,282600,602600
West Bengal,2502200,2351667,4854133,3695000,3525400,7220200,2380200,2299600,4680200
