India/ State /UT,Percentage of all minority groups’ enrolment to total enrolment,,,,,,,,,,,,,,,,,
"",Primary (1 to 5),"Upper Primary(6 to 8)",Elementary (1 to 8),Secondary (9-10),"Higher Secondary(11-12)","Primary to HigherSecondary",,,,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19)
India,18.55,19.02,18.78,16.97,18.19,17.56,18.01,18.73,18.36,15.34,17.3,16.28,13.63,15.26,14.42,17.15,18.15,17.63
"Andaman andNicobar Islands",29.01,29.54,29.27,29.85,29.68,29.77,29.33,29.59,29.46,26.41,28.98,27.67,26.14,28.1,27.21,28.45,29.3,28.87
"AndhraPradesh",9.01,9.16,9.08,8.67,8.83,8.75,8.89,9.04,8.96,8.16,8.06,8.11,7.43,7.24,7.33,8.62,8.66,8.64
"ArunachalPradesh",40.56,40.41,40.49,39.49,40.69,40.1,40.21,40.51,40.36,38.22,38.89,38.57,35.63,36.15,35.91,39.65,39.96,39.8
Assam,45.93,46.04,45.99,41.8,45.44,43.68,44.56,45.83,45.2,33.1,38.28,35.87,27.17,27.56,27.37,41.95,43.62,42.79
Bihar,15.04,16.14,15.58,12.81,14.98,13.91,14.3,15.74,15.02,10.59,12.76,11.68,9.79,11.07,10.4,13.51,15.04,14.27
Chandigarh,14.68,14.34,14.52,15.2,15.25,15.22,14.9,14.71,14.81,16.06,16.05,16.05,16.51,17.96,17.18,15.36,15.46,15.41
Chhattisgarh,2.94,2.83,2.88,2.82,2.75,2.79,2.9,2.8,2.85,2.51,2.6,2.55,2.66,2.91,2.79,2.81,2.78,2.79
"Dadra andNagar Haveli",4.61,4.64,4.62,4.49,4.78,4.62,4.57,4.68,4.62,3.66,3.34,3.5,3.96,3.44,3.7,4.36,4.33,4.35
Daman and Diu,12.92,10.7,11.88,13.81,12.52,13.2,13.23,11.34,12.35,10.48,9.43,9.98,7.65,6.93,7.27,12.31,10.56,11.48
Delhi,17.55,19.01,18.23,17.17,19.43,18.23,17.41,19.17,18.23,15.88,18.44,17.09,13.35,16.2,14.75,16.67,18.67,17.62
Goa,27.97,28.86,28.4,30.21,31.51,30.84,28.79,29.83,29.29,29.54,30.97,30.22,29.79,30.52,30.16,29.05,30.12,29.57
Gujarat,9.53,10.07,9.78,9.13,9.72,9.4,9.38,9.94,9.65,8,8.28,8.12,6.36,7.1,6.7,8.87,9.44,9.14
Haryana,12.2,12.13,12.17,10.31,9.77,10.07,11.52,11.28,11.41,8.22,6.61,7.51,6.57,5.39,6.03,10.39,9.81,10.13
"HimachalPradesh",3.39,3.27,3.33,3.53,3.52,3.53,3.44,3.36,3.41,3.28,3.09,3.19,2.48,2.46,2.47,3.27,3.18,3.23
"Jammu andKashmir",63.86,65.83,64.8,61.29,63.6,62.39,62.98,65.06,63.98,59.71,61.49,60.54,60.4,61.22,60.79,62.24,64.18,63.16
Jharkhand,16.06,16.75,16.39,15.08,16.64,15.87,15.74,16.71,16.22,12.94,15.28,14.12,12,14.19,13.07,15.06,16.3,15.67
Karnataka,17.95,18.31,18.12,17.41,17.98,17.69,17.75,18.19,17.96,16.53,17.79,17.14,9.23,10.59,9.94,16.78,17.32,17.04
Kerala,48.5,48.69,48.59,47.93,48.25,48.09,48.28,48.52,48.4,47.47,47.72,47.59,41.09,42.39,41.76,47.12,47.44,47.27
Ladakh,92.79,92.89,92.84,92.9,93.39,93.15,92.82,93.06,92.94,90.52,90.53,90.53,93.02,91.98,92.44,92.5,92.54,92.52
Lakshadweep,99.52,99.51,99.51,99.36,99.61,99.48,99.47,99.54,99.5,99.28,99.47,99.38,99.58,100,99.8,99.46,99.61,99.54
"MadhyaPradesh",5.38,5.55,5.46,4.83,5.27,5.04,5.18,5.45,5.31,3.78,4.56,4.14,3.53,4.72,4.1,4.81,5.25,5.02
Maharashtra,17.83,18.88,18.33,17.2,18.31,17.72,17.6,18.67,18.1,15.97,17.28,16.57,12.52,14.19,13.3,16.68,17.88,17.24
Manipur,52.09,52.28,52.18,46.01,46.05,46.03,50.17,50.28,50.22,43.83,43.69,43.76,38.55,40.52,39.52,48.12,48.36,48.24
Meghalaya,82.17,82.42,82.29,81.6,82.17,81.9,82,82.34,82.17,80.64,82.2,81.49,79.91,81.99,81.04,81.72,82.3,82.02
Mizoram,97.05,96.92,96.99,96.24,96.64,96.44,96.78,96.83,96.8,97.05,96.95,97,96.61,96.55,96.58,96.81,96.82,96.81
Nagaland,82.54,83.02,82.78,82.06,82.62,82.34,82.38,82.88,82.63,83,84.3,83.66,87.35,86.59,86.97,82.89,83.43,83.16
Odisha,4.98,5.01,5,4.55,4.77,4.66,4.82,4.92,4.87,4.31,4.71,4.51,4.64,5.11,4.87,4.72,4.91,4.81
Puducherry,11.87,13.44,12.63,11.67,13.12,12.37,11.79,13.32,12.53,10.93,12.6,11.75,10.45,12.41,11.48,11.46,13.06,12.25
Punjab,56.71,56.06,56.41,57.12,55.94,56.58,56.87,56.01,56.48,57.63,54.49,56.19,62.9,61.68,62.34,57.78,56.48,57.18
Rajasthan,11.14,10.95,11.05,9.24,9.02,9.14,10.5,10.32,10.42,7.77,7.34,7.58,6.42,6.35,6.39,9.6,9.46,9.53
Sikkim,37.05,34.94,36.06,35.26,37.36,36.3,36.35,35.94,36.16,35.47,36.79,36.16,34.61,35.55,35.12,35.98,36.08,36.03
Tamil Nadu,12.66,12.96,12.8,12.44,12.81,12.62,12.58,12.91,12.74,12.49,12.77,12.63,12.82,12.61,12.71,12.59,12.84,12.71
Telangana,17.04,17.41,17.22,16.47,17.38,16.91,16.84,17.4,17.11,15.51,16.5,15.99,11.13,11.02,11.07,16.03,16.49,16.26
Tripura,16.54,15.97,16.26,15.22,15.75,15.48,16.05,15.89,15.97,13.49,15.58,14.54,10.88,10.61,10.75,15.17,15.39,15.28
Uttar Pradesh,17.58,17.62,17.6,14.17,14.84,14.49,16.51,16.73,16.62,12.11,13.47,12.73,10.38,12.45,11.32,15.25,15.9,15.56
Uttarakhand,18.51,18.7,18.6,13.39,14.17,13.76,16.69,17.07,16.87,10.04,11.12,10.55,7.95,9.38,8.66,14.51,15.06,14.77
West Bengal,31.49,32.11,31.79,30.98,34.5,32.76,31.32,32.93,32.12,25.89,33.4,29.98,20.88,27.57,24.47,29.41,32.4,30.93
