India/ State /UT,Number of teachers by Classes Taught – Government Aided,,,,,,,,,
"",Total,"Pre-PrimaryOnly","Pre-Primary andPrimary","PrimaryOnly","Prima-ry andUpperPrimary","UpperPrimaryOnly","Upper Pri-mary andSecondary","SecondaryOnly","Secondaryand HigherSecondary","HigherSecondaryOnly"
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12)
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,820301,3993,1389,148762,35543,174795,49065,259414,14642,132698
Andaman and Nicobar Islands,72,1,0,17,0,18,2,15,0,19
Andhra Pradesh,7616,0,0,2827,682,1302,1506,158,0,1141
Arunachal Pradesh,986,0,6,282,191,158,124,146,58,21
Assam,36349,0,4,61,45,25493,496,7392,48,2810
Bihar,3824,0,2,190,141,1766,267,1147,155,156
Chandigarh,308,7,3,42,23,11,85,22,45,70
Chhattisgarh,2687,7,3,993,122,650,58,271,302,281
Dadra and Nagar Haveli,61,0,0,13,1,28,0,19,0,0
Daman and Diu,131,0,7,11,2,29,8,32,1,41
Delhi,5027,24,0,998,0,1372,0,1075,0,1558
Goa,8527,68,6,1531,32,1337,1561,2202,0,1790
Gujarat,47700,15,26,1152,38,2278,3,26315,1133,16740
Haryana,451,2,2,143,30,24,89,40,65,56
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,17,0,0,5,0,10,1,1,0,0
Jharkhand,5715,1,10,1805,483,1772,654,695,38,257
Karnataka,46366,3,8,1804,12219,1119,27,25760,93,5333
Kerala,117332,3483,26,35597,189,30592,249,30537,132,16527
Ladakh,80,0,0,65,0,7,0,8,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,4956,12,15,1072,110,1484,50,1103,232,878
Maharashtra,298581,61,276,56032,18729,60879,23633,91438,1662,45871
Manipur,2623,1,18,1322,134,508,247,282,10,101
Meghalaya,17881,129,676,5863,17,4998,349,4718,120,1011
Mizoram,1824,0,0,0,0,516,0,971,0,337
Nagaland,0,0,0,0,0,0,0,0,0,0
Odisha,33247,0,0,926,78,3217,2935,21063,0,5028
Puducherry,992,34,6,292,152,68,221,87,41,91
Punjab,5546,13,30,1173,2,789,8,1840,0,1691
Rajasthan,0,0,0,0,0,0,0,0,0,0
Sikkim,209,1,2,59,3,53,15,37,6,33
Tamil Nadu,77609,29,0,28179,1394,12559,10594,10577,3443,10834
Telangana,4006,2,47,1538,212,307,755,706,0,439
Tripura,1214,0,0,204,0,128,0,345,0,537
Uttar Pradesh,82305,1,41,4361,471,20022,4550,28778,6371,17710
Uttarakhand,5104,0,4,205,17,1193,466,1465,515,1239
West Bengal,955,99,171,0,26,108,112,169,172,98
