India/ State /UT,Enrolment of age group 6-10 years,,,,,,,,
"",All,Primary (1 to 5),Upper Primary (6 to 8),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(29),(30),(31),(32),(33),(34),(35),(36),(37)
India,59792473,55472487,115264960,56209090,52056698,108265788,3583383,3415789,6999172
Andaman and Nicobar Islands,14108,13626,27734,13384,12811,26195,724,815,1539
Andhra Pradesh,1860213,1710513,3570726,1708554,1540749,3249303,151659,169764,321423
Arunachal Pradesh,71972,70711,142683,67880,66694,134574,4092,4017,8109
Assam,1798481,1764380,3562861,1722826,1686680,3409506,75655,77700,153355
Bihar,6489156,6245565,12734721,6283977,6047733,12331710,205179,197832,403011
Chandigarh,46589,41686,88275,44052,39249,83301,2537,2437,4974
Chhattisgarh,1284045,1233127,2517172,1247158,1197464,2444622,36887,35663,72550
Dadra and Nagar Haveli,19615,17960,37575,19401,17777,37178,214,183,397
Daman and Diu,8918,8082,17000,8541,7669,16210,377,413,790
Delhi,914168,797390,1711558,829589,730356,1559945,84579,67034,151613
Goa,60773,57180,117953,58933,55478,114411,1840,1702,3542
Gujarat,2741476,2438867,5180343,2552702,2273227,4825929,188774,165640,354414
Haryana,1289142,1073222,2362364,1152661,940197,2092858,136481,133025,269506
Himachal Pradesh,285163,261315,546478,255509,233616,489125,29654,27699,57353
Jammu and Kashmir,523755,477013,1000768,456364,416197,872561,67391,60816,128207
Jharkhand,1877514,1769108,3646622,1812041,1707294,3519335,65473,61814,127287
Karnataka,2788358,2600542,5388900,2673085,2471835,5144920,115273,128707,243980
Kerala,1214653,1162296,2376949,1146779,1097341,2244120,67874,64955,132829
Ladakh,10078,10053,20131,9438,9322,18760,640,731,1371
Lakshadweep,2579,2389,4968,2556,2361,4917,23,28,51
Madhya Pradesh,3634313,3356143,6990456,3436746,3177644,6614390,197567,178499,376066
Maharashtra,4943012,4432117,9375129,4782204,4276569,9058773,160808,155548,316356
Manipur,153440,146746,300186,144002,137564,281566,9438,9182,18620
Meghalaya,207986,205312,413298,201584,197947,399531,6402,7365,13767
Mizoram,55626,52913,108539,54559,51935,106494,1067,978,2045
Nagaland,81041,77586,158627,79112,75637,154749,1929,1949,3878
Odisha,1709069,1605663,3314732,1467453,1370861,2838314,241616,234802,476418
Puducherry,52330,48689,101019,44784,41848,86632,7546,6841,14387
Punjab,1230138,1057452,2287590,1226041,1052826,2278867,4097,4626,8723
Rajasthan,3786164,3376690,7162854,3556579,3185124,6741703,229585,191566,421151
Sikkim,21193,19672,40865,20340,18860,39200,853,812,1665
Tamil Nadu,2706621,2540774,5247395,2313438,2146516,4459954,393183,394258,787441
Telangana,1505892,1418756,2924648,1372302,1262528,2634830,133590,156228,289818
Tripura,161935,157616,319551,160526,156246,316772,1409,1370,2779
Uttar Pradesh,11734329,10930937,22665266,10910596,10186841,21097437,823733,744096,1567829
Uttarakhand,518116,456453,974569,475070,419238,894308,43046,37215,80261
West Bengal,3990512,3833943,7824455,3898324,3744464,7642788,92188,89479,181667
