India/ State /UT,Enrolment – Private Unaided Recognized,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,5117336,4178954,9296290,24781907,19386972,44168879,11865830,8964393,20830223,36647737,28351365,64999102
Andaman and Nicobar Islands,2705,2334,5039,5529,4956,10485,2207,2159,4366,7736,7115,14851
Andhra Pradesh,88933,75469,164402,1058565,814169,1872734,472659,350072,822731,1531224,1164241,2695465
Arunachal Pradesh,11358,9672,21030,33188,26928,60116,12068,9004,21072,45256,35932,81188
Assam,130058,107778,237836,426649,345285,771934,186315,152482,338797,612964,497767,1110731
Bihar,200464,129614,330078,819306,521824,1341130,386972,247657,634629,1206278,769481,1975759
Chandigarh,8069,6536,14605,18744,15306,34050,11188,8832,20020,29932,24138,54070
Chhattisgarh,186307,163444,349751,460081,392778,852859,212218,172005,384223,672299,564783,1237082
Dadra and Nagar Haveli,1807,1347,3154,7595,5481,13076,3174,2292,5466,10769,7773,18542
Daman and Diu,1290,1063,2353,4680,3564,8244,1804,1196,3000,6484,4760,11244
Delhi,107750,84532,192282,525429,380156,905585,254025,164456,418481,779454,544612,1324066
Goa,4807,4164,8971,14805,12335,27140,2171,1893,4064,16976,14228,31204
Gujarat,182621,142771,325392,1261897,950014,2211911,676847,490776,1167623,1938744,1440790,3379534
Haryana,175869,133070,308939,920687,652092,1572779,517117,349562,866679,1437804,1001654,2439458
Himachal Pradesh,52848,43908,96756,154062,124668,278730,74973,57369,132342,229035,182037,411072
Jammu and Kashmir,139621,118030,257651,308385,245941,554326,149372,117236,266608,457757,363177,820934
Jharkhand,46980,34751,81731,211497,150215,361712,167092,122556,289648,378589,272771,651360
Karnataka,314974,260905,575879,1482258,1180679,2662937,663179,528209,1191388,2145437,1708888,3854325
Kerala,129149,118698,247847,464656,422258,886914,196417,179605,376022,661073,601863,1262936
Ladakh,3260,2977,6237,7010,6129,13139,3492,2956,6448,10502,9085,19587
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,493664,405141,898805,1899035,1480717,3379752,955295,690606,1645901,2854330,2171323,5025653
Maharashtra,316196,260082,576278,1849590,1402617,3252207,807822,584391,1392213,2657412,1987008,4644420
Manipur,29290,27093,56383,98473,90258,188731,55853,52587,108440,154326,142845,297171
Meghalaya,29701,28825,58526,60923,60373,121296,15089,16005,31094,76012,76378,152390
Mizoram,14019,13639,27658,35503,34234,69737,14980,14596,29576,50483,48830,99313
Nagaland,24481,22164,46645,60986,54078,115064,32509,29715,62224,93495,83793,177288
Odisha,854,848,1702,437578,327570,765148,172964,120765,293729,610542,448335,1058877
Puducherry,12311,10385,22696,35633,29361,64994,19197,14940,34137,54830,44301,99131
Punjab,293605,231907,525512,748445,578323,1326768,408631,307104,715735,1157076,885427,2042503
Rajasthan,647822,505566,1153388,2345734,1703735,4049469,1188871,768676,1957547,3534605,2472411,6007016
Sikkim,7136,6494,13630,12558,10957,23515,4066,3212,7278,16624,14169,30793
Tamil Nadu,617185,540587,1157772,1515286,1302836,2818122,650499,511495,1161994,2165785,1814331,3980116
Telangana,144010,120433,264443,1033656,856579,1890235,458202,368034,826236,1491858,1224613,2716471
Tripura,14409,12247,26656,33343,26777,60120,13676,10913,24589,47019,37690,84709
Uttar Pradesh,257417,194316,451733,5356715,4289921,9646636,2722746,2233149,4955895,8079461,6523070,14602531
Uttarakhand,68809,56211,125020,350430,274678,625108,169741,124677,294418,520171,399355,919526
West Bengal,357557,301953,659510,722996,609180,1332176,182399,153211,335610,905395,762391,1667786
