India/ State /UT,Total Schools,Schools with library facility,% of Schools with library facility,,,,,,,,,,,,
"","Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others,"Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others,"Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1507708,1032570,84362,337499,53277,1267701,909133,71866,260193,26509,84.08,88.05,85.19,77.09,49.76
"Andaman andNicobar Islands",418,342,2,73,1,416,341,2,72,1,99.52,99.71,100,98.63,100
Andhra Pradesh,63824,45115,2234,16173,302,56817,38945,1878,15729,265,89.02,86.32,84.06,97.25,87.75
Arunachal Pradesh,3666,3056,65,493,52,1554,1187,53,298,16,42.39,38.84,81.54,60.45,30.77
Assam,65907,47157,5024,6074,7652,52115,43766,2606,4099,1644,79.07,92.81,51.87,67.48,21.48
Bihar,90275,72610,721,7630,9314,55699,43656,479,5849,5715,61.7,60.12,66.44,76.66,61.36
Chandigarh,229,121,7,74,27,223,121,7,74,21,97.38,100,100,100,77.78
Chhattisgarh,56303,48547,431,7008,317,51598,45455,326,5618,199,91.64,93.63,75.64,80.17,62.78
"Dadra and NagarHaveli",346,300,4,42,0,341,300,4,37,0,98.55,100,100,88.1,0
Daman and Diu,137,109,4,23,1,137,109,4,23,1,100,100,100,100,100
Delhi,5669,2767,250,2652,0,5669,2767,250,2652,0,100,100,100,100,0
Goa,1482,827,517,138,0,1467,827,511,129,0,98.99,100,98.84,93.48,0
Gujarat,54629,35040,5688,13898,3,52186,34711,5487,11986,2,95.53,99.06,96.47,86.24,66.67
Haryana,23699,14484,17,8195,1003,22721,14289,16,7667,749,95.87,98.65,94.12,93.56,74.68
Himachal Pradesh,18185,15398,0,2786,1,17148,14789,0,2359,0,94.3,96.04,0,84.67,0
"Jammu andKashmir",28863,23165,1,5585,112,19108,14860,1,4180,67,66.2,64.15,100,74.84,59.82
Jharkhand,45596,35931,1173,1522,6970,42119,34918,1086,1450,4665,92.37,97.18,92.58,95.27,66.93
Karnataka,77166,49834,7244,20069,19,71657,46817,6790,18033,17,92.86,93.95,93.73,89.86,89.47
Kerala,16665,5014,7193,3282,1176,16077,4930,7124,3057,966,96.47,98.32,99.04,93.14,82.14
Ladakh,1054,913,29,112,0,505,406,18,81,0,47.91,44.47,62.07,72.32,0
Lakshadweep,45,45,0,0,0,45,45,0,0,0,100,100,0,0,0
Madhya Pradesh,133379,99411,790,31201,1977,123847,93692,702,27985,1468,92.85,94.25,88.86,89.69,74.25
Maharashtra,110229,65886,23791,19654,898,106723,65016,22940,18025,742,96.82,98.68,96.42,91.71,82.63
Manipur,4663,2876,585,1015,187,1156,309,54,734,59,24.79,10.74,9.23,72.32,31.55
Meghalaya,14730,7799,4180,2198,553,1781,1056,416,255,54,12.09,13.54,9.95,11.6,9.76
Mizoram,3924,2552,231,1046,95,3152,2482,152,483,35,80.33,97.26,65.8,46.18,36.84
Nagaland,2758,2011,0,746,1,1081,701,0,379,1,39.2,34.86,0,50.8,100
Odisha,67020,53260,5839,6375,1546,63411,50607,5406,6073,1325,94.62,95.02,92.58,95.26,85.71
Puducherry,741,422,33,286,0,741,422,33,286,0,100,100,100,100,0
Punjab,28775,19377,457,8623,318,28775,19377,457,8623,318,100,100,100,100,100
Rajasthan,106240,67660,0,36056,2524,79045,50305,0,28013,727,74.4,74.35,0,77.69,28.8
Sikkim,1277,851,19,407,0,1141,804,16,321,0,89.35,94.48,84.21,78.87,0
Tamil Nadu,58897,37579,8328,12382,608,58897,37579,8328,12382,608,100,100,100,100,100
Telangana,42575,30001,702,11688,184,39382,28095,610,10578,99,92.5,93.65,86.89,90.5,53.8
Tripura,4940,4275,45,352,268,3003,2702,32,191,78,60.79,63.2,71.11,54.26,29.1
Uttar Pradesh,254352,137638,8048,93750,14916,186016,121819,5513,53148,5536,73.13,88.51,68.5,56.69,37.11
Uttarakhand,23295,16741,617,5467,470,20313,15263,503,4311,236,87.2,91.17,81.52,78.85,50.21
West Bengal,95755,83456,93,10424,1782,81635,75665,62,5013,895,85.25,90.66,66.67,48.09,50.22
