India/ State /UT,Enrolment of age group 14-15 years,,,,,,,,
"",All,Primary (1 to 5),Upper Primary (6 to 8),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(50),(51),(52),(53),(54),(55),(56),(57),(58)
India,18597407,17153759,35751166,92709,78404,171113,3132099,2832858,5964957
Andaman and Nicobar Islands,5613,5651,11264,21,17,38,1194,958,2152
Andhra Pradesh,653016,613238,1266254,3325,1856,5181,84390,48543,132933
Arunachal Pradesh,22973,25107,48080,706,642,1348,7803,8224,16027
Assam,439432,499139,938571,1605,1447,3052,87227,97581,184808
Bihar,1383599,1373688,2757287,3268,3151,6419,127096,136763,263859
Chandigarh,22350,18913,41263,74,17,91,3899,2863,6762
Chhattisgarh,437435,451404,888839,1226,957,2183,117941,113123,231064
Dadra and Nagar Haveli,7086,6325,13411,88,79,167,1576,1314,2890
Daman and Diu,3267,2948,6215,37,16,53,900,661,1561
Delhi,353918,319374,673292,298,239,537,50279,45548,95827
Goa,23908,21891,45799,31,25,56,3912,3462,7374
Gujarat,968257,752339,1720596,1706,1337,3043,134051,110924,244975
Haryana,482649,381869,864518,4091,2414,6505,80794,53592,134386
Himachal Pradesh,114540,103397,217937,232,141,373,10433,8020,18453
Jammu and Kashmir,142404,127254,269658,531,448,979,20793,18768,39561
Jharkhand,467151,470731,937882,3538,2826,6364,85313,93871,179184
Karnataka,920068,859867,1779935,983,592,1575,57601,41196,98797
Kerala,493098,475055,968153,1097,862,1959,52643,47447,100090
Ladakh,3039,3360,6399,55,29,84,882,893,1775
Lakshadweep,846,928,1774,0,0,0,66,84,150
Madhya Pradesh,1231193,1078999,2310192,8572,7374,15946,323623,287682,611305
Maharashtra,1888388,1657967,3546355,6601,3159,9760,447847,372355,820202
Manipur,43586,43609,87195,391,334,725,6046,5882,11928
Meghalaya,62816,73253,136069,4414,4355,8769,30268,34525,64793
Mizoram,21371,21563,42934,631,439,1070,9014,8276,17290
Nagaland,28988,29758,58746,943,996,1939,9652,9721,19373
Odisha,437400,412683,850083,13693,11961,25654,79665,70292,149957
Puducherry,18617,19186,37803,5,4,9,754,798,1552
Punjab,510407,434615,945022,137,89,226,52083,36192,88275
Rajasthan,1368639,1117337,2485976,10951,8649,19600,330924,280663,611587
Sikkim,10553,10821,21374,505,173,678,4157,3805,7962
Tamil Nadu,955248,964928,1920176,0,0,0,17650,10251,27901
Telangana,449188,397516,846704,1930,1158,3088,82883,50687,133570
Tripura,58103,58332,116435,93,50,143,6727,6446,13173
Uttar Pradesh,3102485,2675764,5778249,16341,18391,34732,527871,527317,1055188
Uttarakhand,191313,173161,364474,1562,1178,2740,34880,31706,66586
West Bengal,1274463,1471789,2746252,3028,2999,6027,239262,262425,501687
