India/ State /UT,Number of teachers by Gender and Classes Taught – Private Unaided Recognized,,,,,,,,
"",Secondary Only,Secondary & Higher Secondary,Higher Secondary Only,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(23),(24),(25),(26),(27),(28),(29),(30),(31)
India,203980,244483,448463,81897,64627,146524,154607,130631,285238
Andaman and Nicobar Islands,15,76,91,21,29,50,23,49,72
Andhra Pradesh,1195,940,2135,8,21,29,9937,3758,13695
Arunachal Pradesh,235,189,424,45,27,72,60,42,102
Assam,6487,5188,11675,545,658,1203,2825,2867,5692
Bihar,7555,2629,10184,2613,870,3483,6934,1612,8546
Chandigarh,38,271,309,64,302,366,43,244,287
Chhattisgarh,2592,3150,5742,3173,3111,6284,2338,2152,4490
Dadra and Nagar Haveli,34,70,104,7,15,22,24,47,71
Daman and Diu,9,29,38,22,14,36,4,15,19
Delhi,1467,7029,8496,0,0,0,2200,7187,9387
Goa,37,146,183,11,19,30,16,59,75
Gujarat,9174,9334,18508,1490,1463,2953,7787,6159,13946
Haryana,4553,8553,13106,5978,9269,15247,4555,7057,11612
Himachal Pradesh,1186,2414,3600,866,1542,2408,854,1350,2204
Jammu and Kashmir,4356,4881,9237,139,117,256,1225,1255,2480
Jharkhand,3489,2641,6130,1142,625,1767,3132,1723,4855
Karnataka,16596,24416,41012,157,445,602,12489,10660,23149
Kerala,1937,11926,13863,233,1099,1332,1079,5549,6628
Ladakh,87,92,179,3,5,8,15,15,30
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,11765,13179,24944,3474,3518,6992,7119,6706,13825
Maharashtra,12186,25411,37597,1376,2233,3609,10161,10837,20998
Manipur,1847,1085,2932,321,274,595,839,868,1707
Meghalaya,1146,1573,2719,56,80,136,365,751,1116
Mizoram,810,421,1231,0,1,1,508,370,878
Nagaland,1023,999,2022,104,153,257,327,558,885
Odisha,2981,2200,5181,245,222,467,2972,1646,4618
Puducherry,227,442,669,254,392,646,363,374,737
Punjab,7015,29048,36063,0,0,0,6174,16660,22834
Rajasthan,20547,10026,30573,28032,11500,39532,15124,5508,20632
Sikkim,86,105,191,17,15,32,44,33,77
Tamil Nadu,6663,25382,32045,6258,10353,16611,7814,10747,18561
Telangana,10449,13280,23729,89,144,233,14146,6406,20552
Tripura,346,259,605,60,56,116,184,133,317
Uttar Pradesh,63040,33098,96138,22492,12678,35170,30904,15114,46018
Uttarakhand,1580,2171,3751,1289,1274,2563,1385,1336,2721
West Bengal,1227,1830,3057,1313,2103,3416,638,784,1422
