India/ State /UT,Repetition Rate,,,,,,,,
"",Primary (1 to 5),Upper Primary (6-8),Secondary (9-10),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,0.7,0.6,0.6,0.7,0.7,0.7,2.9,2.7,2.8
"Andaman and NicobarIslands",0.0,0.0,0.0,0.0,0.0,0.0,11.4,5.9,8.7
Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,4.6,4.1,4.4,5.3,4.4,4.8,3.1,2.8,3.0
Assam,0.3,0.2,0.2,0.6,0.5,0.5,3.6,4.0,3.8
Bihar,0.1,0.1,0.1,0.2,0.1,0.1,0.3,0.2,0.3
Chandigarh,0.0,0.0,0.0,0.3,0.1,0.2,6.7,4.7,5.8
Chhattisgarh,1.7,1.6,1.7,1.3,1.2,1.3,7.9,6.3,7.1
Dadra and Nagar Haveli,0.5,0.7,0.6,1.3,0.9,1.1,9.3,5.2,7.4
Daman and Diu,0.0,0.0,0.0,0.2,0.0,0.1,8.8,4.9,6.9
Delhi,0.0,0.0,0.0,0.1,0.1,0.1,9.7,11.1,10.4
Goa,0.0,0.0,0.0,0.0,0.0,0.0,9.4,5.4,7.5
Gujarat,0.1,0.1,0.1,0.0,0.0,0.0,0.6,0.2,0.4
Haryana,0.1,0.1,0.1,0.5,0.4,0.5,7.2,6.4,6.9
Himachal Pradesh,0.9,0.8,0.8,0.9,0.8,0.8,8.0,6.0,7.1
Jammu and Kashmir,0.5,0.5,0.5,0.6,0.5,0.6,2.2,2.0,2.1
Jharkhand,0.4,0.4,0.4,0.4,0.3,0.4,1.1,1.1,1.1
Karnataka,0.3,0.3,0.3,0.5,0.4,0.5,1.8,1.1,1.5
Kerala,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1
Ladakh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lakshadweep,1.7,0.0,0.7,14.0,6.7,10.4,8.6,3.8,6.3
Madhya Pradesh,1.0,1.0,1.0,0.9,0.9,0.9,7.2,6.8,7.0
Maharashtra,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.0,1.1
Manipur,0.6,0.5,0.6,0.5,0.4,0.4,0.7,0.6,0.6
Meghalaya,4.3,2.8,3.5,5.2,3.8,4.5,9.5,8.8,9.1
Mizoram,0.8,0.7,0.7,0.7,0.5,0.6,5.4,5.3,5.4
Nagaland,4.9,3.8,4.4,6.5,5.3,5.9,11.7,10.0,10.9
Odisha,0.2,0.2,0.2,0.2,0.1,0.2,0.7,0.6,0.6
Puducherry,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.8,2.2
Punjab,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.5
Rajasthan,1.0,0.9,0.9,1.0,0.9,1.0,4.7,4.4,4.6
Sikkim,0.4,0.0,0.1,0.0,0.0,0.0,8.5,6.9,7.7
Tamil Nadu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Telangana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tripura,0.9,0.8,0.9,0.7,0.6,0.7,9.3,8.7,9.0
Uttar Pradesh,0.7,0.6,0.7,1.0,0.9,0.9,2.7,2.2,2.4
Uttarakhand,0.3,0.3,0.3,0.3,0.3,0.3,5.8,4.1,5.0
West Bengal,3.4,3.3,3.3,2.2,0.0,0.4,6.8,7.3,
