India/ State /UT,Projected population by age group – Scheduled Tribes (ST),,,,,,,,
"",Age 6-13,Age 14-15,Age 16-17,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(11),(12),(13),(14),(15),(16),(17),(18),(19)
India,9700514,9258473,18958987,2362553,2244271,4606824,2266358,2179094,4445452
Andaman and Nicobar Islands,2251,1952,4202,660,585,1245,619,556,1175
Andhra Pradesh,205720,192291,398011,50436,47833,98270,48362,45296,93658
Arunachal Pradesh,90179,88664,178844,25764,25919,51683,23148,23610,46758
Assam,329788,316180,645968,92208,92538,184746,91445,94625,186069
Bihar,150644,144921,295565,36572,35329,71901,35316,34005,69321
Chandigarh,-,-,-,-,-,-,-,-,-
Chhattisgarh,718001,698764,1416765,170562,166283,336845,163898,163752,327650
Dadra and Nagar Haveli,22713,20851,43564,5383,4712,10095,4799,4322,9121
Daman and Diu,1445,1318,2764,381,348,729,497,398,896
Delhi,-,-,-,-,-,-,-,-,-
Goa,11581,10623,22204,3137,2746,5883,3005,2928,5933
Gujarat,811545,769113,1580657,193803,181681,375484,183953,168927,352880
Haryana,-,-,-,-,-,-,-,-,-
Himachal Pradesh,27857,25763,53620,7406,7064,14470,7525,7305,14830
Jammu and Kashmir,141279,127872,269151,35175,29177,64352,30078,24835,54912
Jharkhand,847085,820358,1667443,214217,214110,428327,203972,211167,415139
Karnataka,324140,310911,635051,85975,81082,167056,87172,78789,165962
Kerala,34897,33054,67952,7930,7862,15791,7318,6935,14253
Ladakh,22016,19774,41790,5770,5538,11308,5952,5562,11514
Lakshadweep,5234,5238,10472,1403,1345,2748,1377,1484,2862
Madhya Pradesh,1609687,1574631,3184318,358758,345169,703927,336333,329362,665696
Maharashtra,949331,881340,1830670,233523,210864,444387,225899,205342,431241
Manipur,108322,98466,206788,32914,30562,63476,32650,31749,64399
Meghalaya,241263,233687,474950,62217,61323,123540,61694,60910,122604
Mizoram,79997,76477,156474,21466,20656,42122,22497,21978,44474
Nagaland,155980,144170,300150,44292,41044,85336,43678,42782,86460
Odisha,857324,843644,1700968,192393,186350,378743,179830,176825,356655
Puducherry,-,-,-,-,-,-,-,-,-
Punjab,-,-,-,-,-,-,-,-,-
Rajasthan,966901,888370,1855271,221718,205162,426880,212815,202723,415538
Sikkim,15639,15178,30817,4715,4595,9309,4974,5018,9992
Tamil Nadu,62475,57814,120289,14693,13086,27780,13543,12068,25611
Telangana,278837,254077,532914,73042,66423,139465,68818,60659,129478
Tripura,95760,90512,186271,26592,24843,51435,26585,24315,50899
Uttar Pradesh,117311,110469,227780,26319,23918,50237,25299,22893,48192
Uttarakhand,22981,20821,43802,6967,6423,13389,7032,6785,13817
West Bengal,392331,381172,773503,106163,99701,205865,106277,101187,207464
