India/ State /UT,Enrolment – All Types of Management,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),"Primary to Higher Secondary(1-12)","Total (Pre-Primary to HigherSecondary)",,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,20072356,18392077,38464433,13330949,12616211,25947160,130082625,120889058,250971683,137399463,127128112,264527575
Andaman and Nicobar Islands,6544,6293,12837,3412,4103,7515,34280,33847,68127,38794,38089,76883
Andhra Pradesh,687964,648735,1336699,431306,462358,893664,4213250,3923683,8136933,4313012,4010091,8323103
Arunachal Pradesh,20521,22507,43028,10648,12221,22869,159460,163335,322795,174388,176662,351050
Assam,467441,535844,1003285,211670,208987,420657,3464618,3551280,7015898,3726869,3793231,7520100
Bihar,1600590,1623746,3224336,870079,807364,1677443,12425349,12250141,24675490,12815246,12505142,25320388
Chandigarh,21856,18674,40530,21061,17917,38978,127811,110478,238289,142219,122732,264951
Chhattisgarh,461221,482587,943808,278980,321550,600530,2845800,2831403,5677203,3034316,2996893,6031209
Dadra and Nagar Haveli,7440,6655,14095,4115,4211,8326,44645,40536,85181,46776,42234,89010
Daman and Diu,3387,3045,6432,1855,2064,3919,21296,19209,40505,22643,20348,42991
Delhi,383492,343262,726754,255502,247078,502580,2208945,1971672,4180617,2362965,2110678,4473643
Goa,25599,23022,48621,18219,19000,37219,145417,136801,282218,158512,148973,307485
Gujarat,1042340,784225,1826565,562510,478353,1040863,6171324,5310283,11481607,6358883,5458331,11817214
Haryana,537241,422002,959243,348872,299967,648839,3108003,2545989,5653992,3307879,2699817,6007696
Himachal Pradesh,128847,114452,243299,102907,98997,201904,710693,648776,1359469,776657,705983,1482640
Jammu and Kashmir,174451,154177,328628,111644,99084,210728,1157325,1049971,2207296,1334681,1207366,2542047
Jharkhand,476706,488825,965531,331119,319418,650537,3797131,3692006,7489137,4106795,3935072,8041867
Karnataka,957117,879775,1836892,540527,595392,1135919,5934128,5610757,11544885,6258371,5880734,12139105
Kerala,515267,488936,1004203,423226,444982,868208,2968760,2873851,5842611,3287627,3176444,6464071
Ladakh,3397,3759,7156,2134,2732,4866,22978,23917,46895,28160,28873,57033
Lakshadweep,834,943,1777,943,1046,1989,5705,5704,11409,6309,6297,12606
Madhya Pradesh,1295652,1112403,2408055,764885,696299,1461184,8270580,7509517,15780097,8770735,7920911,16691646
Maharashtra,1988545,1716461,3705006,1476713,1299364,2776077,11787642,10386983,22174625,12257528,10796829,23054357
Manipur,44625,44058,88683,33467,32414,65881,327820,316443,644263,366220,352294,718514
Meghalaya,52823,63228,116051,27465,32773,60238,461193,485510,946703,576334,596537,1172871
Mizoram,20474,21125,41599,12106,12852,24958,137068,133030,270098,156497,151797,308294
Nagaland,27241,28196,55437,16030,16724,32754,187949,185718,373667,232992,228073,461065
Odisha,639097,613417,1252514,385186,384311,769497,3954567,3732327,7686894,4130052,3903763,8033815
Puducherry,20986,20233,41219,16563,18269,34832,122315,117953,240268,138937,133301,272238
Punjab,528834,448723,977557,380983,325697,706680,2962873,2512992,5475865,3422844,2904862,6327706
Rajasthan,1446472,1168976,2615448,1033480,810692,1844172,9028384,7747284,16775668,9680382,8256985,17937367
Sikkim,12436,13661,26097,6819,8285,15104,61535,61115,122650,71805,70727,142532
Tamil Nadu,1036698,989587,2026285,783370,897125,1680495,6131968,5925855,12057823,6801045,6516838,13317883
Telangana,557355,534684,1092039,353581,385641,739222,3416412,3249063,6665475,3563960,3373680,6937640
Tripura,61040,61915,122955,30284,29486,59770,354671,348461,703132,372997,363941,736938
Uttar Pradesh,3339581,2793611,6133192,2465011,2074922,4539933,23728791,21633268,45362059,23996544,21838011,45834555
Uttarakhand,203068,180869,383937,152189,149524,301713,1231501,1108369,2339870,1301599,1165671,2467270
West Bengal,1275174,1529466,2804640,862088,995009,1857097,8350438,8641531,16991969,9257890,9489902,18747792
