India/ State /UT,Enrolment – Private Unaided Recognized,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),"Primary to Higher Secondary(1-12)","Total (Pre-Primary to HigherSecondary)",,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,7619886,5738914,13358800,5815167,4739943,10555110,50082790,38830222,88913012,55200126,43009176,98209302
Andaman and Nicobar Islands,1075,1017,2092,561,533,1094,9372,8665,18037,12077,10999,23076
Andhra Pradesh,293880,216807,510687,314237,322508,636745,2139341,1703556,3842897,2228274,1779025,4007299
Arunachal Pradesh,3718,3290,7008,1271,1461,2732,50245,40683,90928,61603,50355,111958
Assam,99336,85772,185108,54535,52079,106614,766835,635618,1402453,896893,743396,1640289
Bihar,269973,222090,492063,306190,246328,552518,1782441,1237899,3020340,1982905,1367513,3350418
Chandigarh,7529,5756,13285,6815,5294,12109,44276,35188,79464,52345,41724,94069
Chhattisgarh,113835,89589,203424,75575,66436,142011,861709,720808,1582517,1048016,884252,1932268
Dadra and Nagar Haveli,1633,1088,2721,898,753,1651,13300,9614,22914,15107,10961,26068
Daman and Diu,862,662,1524,254,200,454,7600,5622,13222,8890,6685,15575
Delhi,133651,84011,217662,103595,71154,174749,1016700,699777,1716477,1124450,784309,1908759
Goa,1157,1002,2159,686,565,1251,18819,15795,34614,23626,19959,43585
Gujarat,359659,216601,576260,255005,172718,427723,2553408,1830109,4383517,2736029,1972880,4708909
Haryana,347191,222725,569916,227239,165787,393026,2012234,1390166,3402400,2188103,1523236,3711339
Himachal Pradesh,44712,33027,77739,25691,19583,45274,299438,234647,534085,352286,278555,630841
Jammu and Kashmir,75973,59592,135565,26002,20132,46134,559732,442901,1002633,699353,560931,1260284
Jharkhand,174301,148019,322320,170582,140970,311552,723472,561760,1285232,770452,596511,1366963
Karnataka,363016,297552,660568,297858,297245,595103,2806311,2303685,5109996,3121285,2564590,5685875
Kerala,101878,99606,201484,55624,53840,109464,818575,755309,1573884,947724,874007,1821731
Ladakh,1466,1261,2727,261,323,584,12229,10669,22898,15489,13646,29135
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,486084,330995,817079,318626,227903,546529,3659040,2730221,6389261,4152704,3135362,7288066
Maharashtra,472572,342798,815370,359452,267791,627243,3489436,2597597,6087033,3805632,2857679,6663311
Manipur,32527,31029,63556,23654,21980,45634,210507,195854,406361,239797,222947,462744
Meghalaya,14941,17623,32564,9540,10345,19885,100493,104346,204839,130194,133171,263365
Mizoram,7080,6829,13909,5661,5596,11257,63224,61255,124479,77243,74894,152137
Nagaland,19670,19007,38677,11502,11965,23467,124667,114765,239432,149148,136929,286077
Odisha,70219,52367,122586,159539,152250,311789,840300,652952,1493252,841154,653800,1494954
Puducherry,11910,8931,20841,9485,8035,17520,76225,61267,137492,88536,71652,160188
Punjab,266031,203533,469564,174440,133844,308284,1597547,1222804,2820351,1891152,1454711,3345863
Rajasthan,746831,425493,1172324,565947,343541,909488,4847383,3241445,8088828,5495205,3747011,9242216
Sikkim,1693,1427,3120,699,591,1290,19016,16187,35203,26152,22681,48833
Tamil Nadu,394230,307161,701391,307184,268935,576119,2867199,2390427,5257626,3484384,2931014,6415398
Telangana,282183,224499,506682,255290,241723,497013,2029331,1690835,3720166,2173341,1811268,3984609
Tripura,6572,5418,11990,3100,2897,5997,56691,46005,102696,71100,58252,129352
Uttar Pradesh,2257666,1857288,4114954,1579979,1320106,2900085,11917106,9700464,21617570,12174523,9894780,22069303
Uttarakhand,86890,58794,145684,62596,45403,107999,669657,503552,1173209,738466,559763,1298229
West Bengal,67942,56255,124197,45594,39129,84723,1018931,857775,1876706,1376488,1159728,2536216
