India/ State /UT,Number of Teachers – all types of management,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12),
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
India,9687577,2499645,2506098,391993,1027754,454703,184396,1485158,714861,261178,161791
Andaman and Nicobar Islands,5731,990,1005,9,958,54,0,2050,508,157,0
Andhra Pradesh,317430,100612,51340,12,26678,111222,67,3015,3750,25,20709
Arunachal Pradesh,23872,5048,9943,426,4115,614,25,1748,981,972,0
Assam,369614,126271,42574,47132,59767,32181,15132,13615,16744,1263,14935
Bihar,603870,147252,326146,2011,32244,1449,8976,40034,1411,36682,7665
Chandigarh,10139,309,804,0,2769,0,0,6071,163,23,0
Chhattisgarh,268596,94451,30872,47779,11955,167,9204,36465,1731,35887,85
Dadra and Nagar Haveli,3259,479,1440,3,281,0,114,543,23,354,22
Daman and Diu,1592,358,78,196,180,0,111,355,109,200,5
Delhi,157647,26969,12425,480,7177,2652,0,80726,27077,141,0
Goa,13680,3021,437,34,4243,3196,11,646,126,0,1966
Gujarat,399910,34949,233798,4457,13142,498,12645,42774,3596,49817,4234
Haryana,257366,44945,30991,11198,26609,11478,6,90835,41233,47,24
Himachal Pradesh,105207,25784,7175,6409,10582,7013,15,15716,32305,119,89
Jammu and Kashmir,173183,36154,62944,674,38857,4257,345,16766,2648,10456,82
Jharkhand,224787,55777,99469,354,29947,5138,2682,19583,3710,3837,4290
Karnataka,450592,55196,177097,1576,80837,7664,65295,18485,1557,11147,31738
Kerala,275931,45304,54167,6380,30371,7588,1970,59646,49721,20238,546
Ladakh,6197,972,2760,50,1261,269,25,284,95,464,17
Lakshadweep,1233,210,351,29,65,0,0,170,248,160,0
Madhya Pradesh,608620,155350,213043,28667,53975,4773,10336,103470,13250,25686,70
Maharashtra,783847,159884,226613,438,152649,33285,4652,162347,14278,1472,28229
Manipur,45321,10105,10256,223,15634,781,147,5092,943,716,1424
Meghalaya,56490,24860,2089,13723,2237,2778,5604,1474,1067,854,1804
Mizoram,23147,5737,4482,6624,108,20,4183,103,84,11,1795
Nagaland,31914,7125,8823,198,7708,2030,42,4126,1608,31,223
Odisha,357035,91219,137617,7662,51662,32224,16258,7672,2850,0,9871
Puducherry,13489,1887,1039,14,2898,498,0,5512,1370,180,91
Punjab,281673,51340,23615,11409,42892,18235,12,87219,43769,737,2445
Rajasthan,774021,86165,242918,726,115901,1053,64,314699,10265,2209,21
Sikkim,14558,3780,3619,0,2899,60,0,4086,114,0,0
Tamil Nadu,562762,134178,71736,544,40211,38486,23,154097,123069,236,182
Telangana,305597,53690,47840,0,101043,59995,0,8013,6307,0,28709
Tripura,46728,9998,10499,16,11229,69,1,13217,1699,0,0
Uttar Pradesh,1423995,557203,322080,157342,34592,29076,25073,126492,116264,55647,226
Uttarakhand,122182,36596,21556,10141,4061,5684,1378,18123,23132,1394,117
West Bengal,566362,305477,12457,25057,6017,30216,0,19889,167056,16,177
