India/ State /UT,Enrolment – all types of management,,,,,,
"","Total(Pre-primaryto 12)","Pre-Primary","Primary(1 to 5)","UpperPrimary(6-8)","Elementary(1-8)","Secondary(9-10)","HigherSecondary(11-12)"
(1),(2),(3),(4),(5),(6),(7),(8)
India,264527575,13555892,121686703,64873387,186560090,38464433,25947160
Andaman and Nicobar Islands,76883,8756,29606,18169,47775,12837,7515
Andhra Pradesh,8323103,186170,3774467,2132103,5906570,1336699,893664
Arunachal Pradesh,351050,28255,170639,86259,256898,43028,22869
Assam,7520100,504202,3676705,1915251,5591956,1003285,420657
Bihar,25320388,644898,13075193,6698518,19773711,3224336,1677443
Chandigarh,264951,26662,93707,65074,158781,40530,38978
Chhattisgarh,6031209,354006,2651484,1481381,4132865,943808,600530
Dadra and Nagar Haveli,89010,3829,43123,19637,62760,14095,8326
Daman and Diu,42991,2486,19542,10612,30154,6432,3919
Delhi,4473643,293026,1811723,1139560,2951283,726754,502580
Goa,307485,25267,124383,71995,196378,48621,37219
Gujarat,11817214,335607,5529122,3085057,8614179,1826565,1040863
Haryana,6007696,353704,2586473,1459437,4045910,959243,648839
Himachal Pradesh,1482640,123171,576528,337738,914266,243299,201904
Jammu and Kashmir,2542047,334751,1094851,573089,1667940,328628,210728
Jharkhand,8041867,552730,3886161,1986908,5873069,965531,650537
Karnataka,12139105,594220,5444277,3127797,8572074,1836892,1135919
Kerala,6464071,621460,2483556,1486644,3970200,1004203,868208
Ladakh,57033,10138,22893,11980,34873,7156,4866
Lakshadweep,12606,1197,5124,2519,7643,1777,1989
Madhya Pradesh,16691646,911549,7614725,4296133,11910858,2408055,1461184
Maharashtra,23054357,879732,9845508,5848034,15693542,3705006,2776077
Manipur,718514,74251,333855,155844,489699,88683,65881
Meghalaya,1172871,226168,532267,238147,770414,116051,60238
Mizoram,308294,38196,135512,68029,203541,41599,24958
Nagaland,461065,87398,186324,99152,285476,55437,32754
Odisha,8033815,346921,3578819,2086064,5664883,1252514,769497
Puducherry,272238,31970,101557,62660,164217,41219,34832
Punjab,6327706,851841,2364090,1427538,3791628,977557,706680
Rajasthan,17937367,1161699,8238624,4077424,12316048,2615448,1844172
Sikkim,142532,19882,48649,32800,81449,26097,15104
Tamil Nadu,13317883,1260060,5212880,3138163,8351043,2026285,1680495
Telangana,6937640,272165,3110154,1724060,4834214,1092039,739222
Tripura,736938,33806,328590,191817,520407,122955,59770
Uttar Pradesh,45834555,472496,23710939,10977995,34688934,6133192,4539933
Uttarakhand,2467270,127400,1062431,591789,1654220,383937,301713
West Bengal,18747792,1755823,8182222,4148010,12330232,2804640,
