India/ State /UT,Projected population by age group – overall,,,,,,,,
"",Age 6-13,Age 14-15,Age 16-17,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(11),(12),(13),(14),(15),(16),(17),(18),(19)
India,99680800,91114400,190793200,25743800,23631600,49375400,26389200,24076200,50465800
Andaman and Nicobar Islands,31485,29023,60507,8718,7670,16388,8881,7771,16652
Andhra Pradesh,3119000,2937800,6057400,843000,798800,1641800,881800,830600,1713200
Arunachal Pradesh,123945,120272,244217,34965,34076,69041,32231,31620,63851
Assam,2666200,2541600,5208800,690800,664200,1355000,696600,664800,1360800
Bihar,11588800,10855800,22444800,2850800,2660800,5512200,2841800,2604800,5446200
Chandigarh,96930,76391,173321,26509,19782,46291,29079,20875,49955
Chhattisgarh,2207800,2122600,4330000,551800,534800,1086600,561600,544400,1106000
Dadra and Nagar Haveli,36287,31545,67832,8373,6788,15161,8446,6195,14642
Daman and Diu,18190,15382,33572,4940,3596,8536,7122,3713,10834
Delhi,1317200,1116600,2433400,354800,304000,658800,370400,318800,690200
Goa,107158,96644,203802,28608,25182,53790,28556,25741,54297
Gujarat,4924400,4260200,9183600,1261000,1098000,2359000,1293800,1118200,2412000
Haryana,2155800,1781400,3936600,559400,462400,1021800,575600,475400,1050600
Himachal Pradesh,460800,412800,873800,124800,110800,235600,128200,113800,242000
Jammu and Kashmir,1085200,951400,2036600,298600,261600,560200,291000,258200,548800
Jharkhand,3171200,3007600,6178400,812200,778200,1589600,817400,777400,1594800
Karnataka,4209000,3954200,8162800,1095400,1031800,2127200,1125800,1053200,2179600
Kerala,2044000,1960600,4006400,528000,505600,1033000,535200,511000,1046200
Ladakh,23843,21381,45224,6330,5959,12289,6430,5984,12414
Lakshadweep,5371,5376,10747,1446,1370,2816,1428,1515,2943
Madhya Pradesh,6684000,6213000,12896400,1655200,1534400,3189600,1691200,1555400,3246600
Maharashtra,8047600,7118400,15166400,2144600,1908400,4053000,2197000,1948000,4144000
Manipur,218022,203863,421885,61823,59165,120988,58055,57330,115385
Meghalaya,273437,263492,536929,70676,68758,139434,70550,68382,138933
Mizoram,83772,79895,163667,22475,21462,43937,23664,22811,46476
Nagaland,176221,162051,338272,49800,45545,95345,49224,47052,96275
Odisha,3093600,2930600,6024200,809600,775800,1586000,824200,793800,1618200
Puducherry,100937,93059,193996,27075,24254,51329,26257,24006,50263
Punjab,1884400,1585000,3469000,522000,426600,948600,548000,443400,991200
Rajasthan,6528200,5825200,12352600,1628200,1477600,3105800,1656200,1499600,3155200
Sikkim,44351,42707,87058,13284,12970,26254,14219,13889,28108
Tamil Nadu,4405600,4115000,8521000,1151200,1086800,2238000,1182400,1113200,2295000
Telangana,2358400,2188800,4548800,639200,602200,1241000,666000,626800,1293400
Tripura,249254,235947,485201,70593,66839,137432,76641,70346,146987
Uttar Pradesh,19248400,17224800,36472400,4905400,4416400,9321200,5112200,4571400,9683600
Uttarakhand,816800,709000,1525200,222400,197000,420000,230000,204800,435200
West Bengal,6075200,5825000,11900400,1659800,1592000,3251800,1722000,1642000,3364000
