India/ State /UT,Enrolment – Government,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,1391365,1397673,2789038,32864878,33910220,66775098,16857692,18049432,34907124,49722570,51959652,101682222
Andaman and Nicobar Islands,1770,1866,3636,9324,9251,18575,6739,6584,13323,16063,15835,31898
Andhra Pradesh,9836,10037,19873,875991,915054,1791045,601420,640866,1242286,1477411,1555920,3033331
Arunachal Pradesh,2406,2629,5035,46000,50787,96787,26593,32317,58910,72593,83104,155697
Assam,120531,122797,243328,1297510,1341787,2639297,581907,658969,1240876,1879417,2000756,3880173
Bihar,349,341,690,5070661,5267133,10337794,2632700,2922851,5555551,7703361,8189984,15893345
Chandigarh,3661,3560,7221,27279,25750,53029,22610,20049,42659,49889,45799,95688
Chhattisgarh,1895,1608,3503,874537,883508,1758045,523893,547530,1071423,1398430,1431038,2829468
Dadra and Nagar Haveli,324,351,675,14606,14590,29196,6858,6665,13523,21464,21255,42719
Daman and Diu,57,76,133,5138,5246,10384,2886,3038,5924,8024,8284,16308
Delhi,45712,53910,99622,418668,443922,862590,324662,345936,670598,743330,789858,1533188
Goa,435,409,844,12777,12094,24871,4266,3914,8180,17043,16008,33051
Gujarat,3378,3816,7194,1632417,1627284,3259701,910164,908435,1818599,2542581,2535719,5078300
Haryana,4858,5507,10365,442966,473772,916738,270609,295940,566549,713575,769712,1483287
Himachal Pradesh,13116,13299,26415,147542,150240,297782,102350,103046,205396,249892,253286,503178
Jammu and Kashmir,36520,38322,74842,259594,274854,534448,149167,155490,304657,408761,430344,839105
Jharkhand,48957,50563,99520,1229601,1291672,2521273,611267,703917,1315184,1840868,1995589,3836457
Karnataka,5458,5421,10879,1143598,1240594,2384192,726315,793247,1519562,1869913,2033841,3903754
Kerala,71470,70223,141693,282840,275129,557969,190735,182325,373060,473575,457454,931029
Ladakh,1922,1979,3901,4116,5033,9149,2268,3078,5346,6384,8111,14495
Lakshadweep,604,593,1197,2682,2442,5124,1246,1273,2519,3928,3715,7643
Madhya Pradesh,4835,4758,9593,1993670,2097883,4091553,1257856,1328225,2586081,3251526,3426108,6677634
Maharashtra,52229,51468,103697,2029209,2014335,4043544,573493,609727,1183220,2602702,2624062,5226764
Manipur,4645,4597,9242,56203,56969,113172,18232,19640,37872,74435,76609,151044
Meghalaya,49944,47701,97645,129879,126136,256015,49600,54628,104228,179479,180764,360243
Mizoram,4645,4371,9016,31987,29333,61320,16800,15464,32264,48787,44797,93584
Nagaland,20538,20165,40703,34261,36943,71204,16896,20032,36928,51157,56975,108132
Odisha,174226,170161,344387,1348605,1353471,2702076,821962,807868,1629830,2170567,2161339,4331906
Puducherry,3420,3605,7025,13165,13477,26642,10044,10412,20456,23209,23889,47098
Punjab,156138,151025,307163,484438,465672,950110,328477,314473,642950,812915,780145,1593060
Rajasthan,2041,2041,4082,1926184,2117160,4043344,1002067,1097953,2100020,2928251,3215113,6143364
Sikkim,3054,2941,5995,12772,11417,24189,12062,12313,24375,24834,23730,48564
Tamil Nadu,34225,35240,69465,846069,858594,1704663,626138,656584,1282722,1472207,1515178,2987385
Telangana,2394,2382,4776,560951,601434,1162385,417073,451235,868308,978024,1052669,2030693
Tripura,1383,1161,2544,122828,126362,249190,77854,80980,158834,200682,207342,408024
Uttar Pradesh,4376,4464,8840,5953222,6179135,12132357,1980561,2180798,4161359,7933783,8359933,16293716
Uttarakhand,107,96,203,186446,196358,382804,109260,124279,233539,295706,320637,616343
West Bengal,499906,504190,1004096,3337142,3315399,6652541,1840662,1929351,3770013,5177804,5244750,10422554
