India/ State /UT,Total Schools,Schools with computer facility,% of Schools with computer facility,,,,,,,,,,,,
"","Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others,"Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others,"Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1507708,1032570,84362,337499,53277,581091,310045,53122,202096,15828,38.54,30.03,62.97,59.88,29.71
"Andaman andNicobar Islands",418,342,2,73,1,258,189,2,66,1,61.72,55.26,100,90.41,100
Andhra Pradesh,63824,45115,2234,16173,302,23126,9896,296,12846,88,36.23,21.94,13.25,79.43,29.14
Arunachal Pradesh,3666,3056,65,493,52,906,469,54,360,23,24.71,15.35,83.08,73.02,44.23
Assam,65907,47157,5024,6074,7652,9870,6820,274,2669,107,14.98,14.46,5.45,43.94,1.4
Bihar,90275,72610,721,7630,9314,12807,4240,114,4422,4031,14.19,5.84,15.81,57.96,43.28
Chandigarh,229,121,7,74,27,228,120,7,74,27,99.56,99.17,100,100,100
Chhattisgarh,56303,48547,431,7008,317,48048,42852,181,4911,104,85.34,88.27,42,70.08,32.81
"Dadra and NagarHaveli",346,300,4,42,0,295,254,4,37,0,85.26,84.67,100,88.1,0
Daman and Diu,137,109,4,23,1,134,107,4,22,1,97.81,98.17,100,95.65,100
Delhi,5669,2767,250,2652,0,5384,2648,220,2516,0,94.97,95.7,88,94.87,0
Goa,1482,827,517,138,0,753,157,466,130,0,50.81,18.98,90.14,94.2,0
Gujarat,54629,35040,5688,13898,3,41166,24509,5049,11606,2,75.36,69.95,88.77,83.51,66.67
Haryana,23699,14484,17,8195,1003,12700,4911,14,7048,727,53.59,33.91,82.35,86,72.48
Himachal Pradesh,18185,15398,0,2786,1,6195,3742,0,2453,0,34.07,24.3,0,88.05,0
"Jammu andKashmir",28863,23165,1,5585,112,6940,3377,1,3510,52,24.04,14.58,100,62.85,46.43
Jharkhand,45596,35931,1173,1522,6970,33737,28844,335,1104,3454,73.99,80.28,28.56,72.54,49.56
Karnataka,77166,49834,7244,20069,19,37323,18174,4996,14146,7,48.37,36.47,68.97,70.49,36.84
Kerala,16665,5014,7193,3282,1176,15566,4700,6983,2940,943,93.41,93.74,97.08,89.58,80.19
Ladakh,1054,913,29,112,0,336,252,8,76,0,31.88,27.6,27.59,67.86,0
Lakshadweep,45,45,0,0,0,44,44,0,0,0,97.78,97.78,0,0,0
Madhya Pradesh,133379,99411,790,31201,1977,18131,5812,141,12013,165,13.59,5.85,17.85,38.5,8.35
Maharashtra,110229,65886,23791,19654,898,81837,42551,20596,17941,749,74.24,64.58,86.57,91.28,83.41
Manipur,4663,2876,585,1015,187,1449,417,41,870,121,31.07,14.5,7.01,85.71,64.71
Meghalaya,14730,7799,4180,2198,553,2008,682,739,476,111,13.63,8.74,17.68,21.66,20.07
Mizoram,3924,2552,231,1046,95,1933,1007,178,686,62,49.26,39.46,77.06,65.58,65.26
Nagaland,2758,2011,0,746,1,1236,687,0,548,1,44.82,34.16,0,73.46,100
Odisha,67020,53260,5839,6375,1546,17310,8615,3918,4116,661,25.83,16.18,67.1,64.56,42.76
Puducherry,741,422,33,286,0,684,390,27,267,0,92.31,92.42,81.82,93.36,0
Punjab,28775,19377,457,8623,318,19345,11051,395,7636,263,67.23,57.03,86.43,88.55,82.7
Rajasthan,106240,67660,0,36056,2524,49672,21998,0,26924,750,46.75,32.51,0,74.67,29.71
Sikkim,1277,851,19,407,0,790,470,11,309,0,61.86,55.23,57.89,75.92,0
Tamil Nadu,58897,37579,8328,12382,608,45973,30370,3918,11202,483,78.06,80.82,47.05,90.47,79.44
Telangana,42575,30001,702,11688,184,15388,7179,208,7971,30,36.14,23.93,29.63,68.2,16.3
Tripura,4940,4275,45,352,268,782,475,31,224,52,15.83,11.11,68.89,63.64,19.4
Uttar Pradesh,254352,137638,8048,93750,14916,46856,7340,3486,33727,2303,18.42,5.33,43.32,35.98,15.44
Uttarakhand,23295,16741,617,5467,470,8603,4167,387,3846,203,36.93,24.89,62.72,70.35,43.19
West Bengal,95755,83456,93,10424,1782,13278,10529,38,2404,307,13.87,12.62,40.86,23.06,17.23
