India/ State /UT,Number of teachers by Gender and Classes Taught – Government Aided,,,,,,,,,,,
"",Total,Pre-Primary Only,Pre-Primary & Primary,Primary Only,,,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,463234,357067,820301,95,3898,3993,463,926,1389,49852,98910,148762
Andaman and Nicobar Islands,16,56,72,0,1,1,0,0,0,2,15,17
Andhra Pradesh,3967,3649,7616,0,0,0,0,0,0,1414,1413,2827
Arunachal Pradesh,552,434,986,0,0,0,3,3,6,102,180,282
Assam,26697,9652,36349,0,0,0,1,3,4,23,38,61
Bihar,2766,1058,3824,0,0,0,2,0,2,107,83,190
Chandigarh,56,252,308,0,7,7,0,3,3,1,41,42
Chhattisgarh,1345,1342,2687,4,3,7,3,0,3,454,539,993
Dadra and Nagar Haveli,33,28,61,0,0,0,0,0,0,2,11,13
Daman and Diu,47,84,131,0,0,0,1,6,7,1,10,11
Delhi,1291,3736,5027,0,24,24,0,0,0,89,909,998
Goa,1865,6662,8527,0,68,68,1,5,6,87,1444,1531
Gujarat,32984,14716,47700,3,12,15,8,18,26,370,782,1152
Haryana,63,388,451,0,2,2,0,2,2,5,138,143
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,8,9,17,0,0,0,0,0,0,1,4,5
Jharkhand,2680,3035,5715,0,1,1,3,7,10,697,1108,1805
Karnataka,30234,16132,46366,0,3,3,4,4,8,892,912,1804
Kerala,30428,86904,117332,31,3452,3483,1,25,26,7248,28349,35597
Ladakh,70,10,80,0,0,0,0,0,0,57,8,65
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2422,2534,4956,0,12,12,0,15,15,535,537,1072
Maharashtra,193817,104764,298581,13,48,61,154,122,276,26928,29104,56032
Manipur,1521,1102,2623,0,1,1,10,8,18,778,544,1322
Meghalaya,8361,9520,17881,13,116,129,168,508,676,2265,3598,5863
Mizoram,1178,646,1824,0,0,0,0,0,0,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,27043,6204,33247,0,0,0,0,0,0,650,276,926
Puducherry,153,839,992,0,34,34,1,5,6,19,273,292
Punjab,1460,4086,5546,0,13,13,10,20,30,123,1050,1173
Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,94,115,209,0,1,1,1,1,2,21,38,59
Tamil Nadu,22056,55553,77609,0,29,29,0,0,0,4075,24104,28179
Telangana,1117,2889,4006,0,2,2,5,42,47,354,1184,1538
Tripura,790,424,1214,0,0,0,0,0,0,135,69,204
Uttar Pradesh,64635,17670,82305,1,0,1,20,21,41,2376,1985,4361
Uttarakhand,3049,2055,5104,0,0,0,0,4,4,41,164,205
West Bengal,436,519,955,30,69,99,67,104,171,0,0,0
