India/ State /UT,Number of teachers by Gender and Classes Taught – Others,,,,,,,,
"",Primary & Upper Primary,Upper Primary Only,Upper Primary & Secondary,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22)
India,14316,12141,26457,64045,48875,112920,2146,1470,3616
"Andaman and NicobarIslands",0,0,0,0,0,0,0,0,0
Andhra Pradesh,34,49,83,28,54,82,4,2,6
Arunachal Pradesh,25,34,59,43,32,75,0,0,0
Assam,51,35,86,2699,1108,3807,178,83,261
Bihar,6116,3340,9456,31786,19579,51365,416,193,609
Chandigarh,3,32,35,17,108,125,3,24,27
Chhattisgarh,26,34,60,108,187,295,0,0,0
Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0
Daman and Diu,2,0,2,2,0,2,0,0,0
Delhi,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0
Gujarat,0,0,0,2,9,11,0,0,0
Haryana,114,269,383,678,1368,2046,12,20,32
Himachal Pradesh,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,28,15,43,105,115,220,6,0,6
Jharkhand,3699,3338,7037,12205,10646,22851,360,226,586
Karnataka,1,5,6,6,9,15,3,5,8
Kerala,31,309,340,166,2314,2480,7,54,61
Ladakh,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,82,102,184,1628,2502,4130,2,8,10
Maharashtra,81,204,285,326,764,1090,46,63,109
Manipur,174,206,380,213,154,367,5,0,5
Meghalaya,33,126,159,75,188,263,26,80,106
Mizoram,27,31,58,39,30,69,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0
Odisha,388,1002,1390,474,816,1290,52,71,123
Puducherry,0,0,0,0,0,0,0,0,0
Punjab,0,0,0,135,880,1015,0,0,0
Rajasthan,201,134,335,635,373,1008,94,37,131
Sikkim,0,0,0,0,0,0,0,0,0
Tamil Nadu,89,512,601,65,570,635,13,48,61
Telangana,26,52,78,15,11,26,0,0,0
Tripura,14,9,23,61,5,66,0,0,0
Uttar Pradesh,2643,2044,4687,11147,6403,17550,859,536,1395
Uttarakhand,16,21,37,276,213,489,4,1,5
West Bengal,412,238,650,1111,437,1548,56,19,75
