India/ State /UT,Gross Enrolment Ratio (GER) – Scheduled Tribes,,,,,,,,,,,,,,
"",Primary (1 to 5),"Upper Primary(6 to 8)",Elementary (1 to 8),Secondary (9-10),Higher Secondary (11-12),,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,107.6,106.6,107.1,93.9,93.0,93.5,102.6,101.5,102.1,76.2,77.2,76.7,41.9,43.9,42.9
"Andaman andNicobar Islands",98.0,111.9,104.4,103.8,118.8,110.8,100.2,114.5,106.8,68.9,77.1,72.8,37.9,48.6,43.0
Andhra Pradesh,114.5,113.4,114.0,92.9,93.3,93.1,106.6,106.0,106.3,68.4,73.7,71.0,45.7,51.8,48.7
Arunachal Pradesh,111.9,115.1,113.4,80.0,86.1,83.1,98.8,102.9,100.9,58.5,64.9,61.7,36.2,41.8,39.0
Assam,121.3,126.5,123.8,101.4,104.2,102.8,113.4,117.5,115.4,88.0,91.3,89.7,43.3,40.8,42.0
Bihar,187.8,183.5,185.7,133.6,141.7,137.6,167.8,167.8,167.8,110.9,121.7,116.2,68.6,72.0,70.2
Chandigarh,"#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
Chhattisgarh,94.3,93.6,94.0,88.7,88.2,88.4,92.3,91.7,92.0,74.9,84.1,79.5,44.2,53.5,48.9
"Dadra and NagarHaveli",77.0,82.7,79.7,53.1,54.1,53.6,67.7,71.4,69.5,77.0,85.5,81.0,44.1,53.3,48.5
Daman and Diu,88.6,90.5,89.5,86.0,86.9,86.4,87.6,89.1,88.3,88.8,86.4,87.7,31.4,55.5,42.1
Delhi,"#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
Goa,67.4,69.5,68.4,69.4,76.2,72.6,68.2,72.1,70.0,80.0,85.9,82.8,68.2,76.5,72.3
Gujarat,98.8,97.4,98.2,92.8,89.5,91.2,96.6,94.5,95.6,76.7,72.9,74.8,35.2,40.9,37.9
Haryana,"#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
Himachal Pradesh,100.8,104.4,102.5,92.0,93.6,92.8,97.4,100.1,98.7,104.7,98.2,101.5,84.2,85.4,84.8
"Jammu andKashmir",106.0,105.1,105.5,65.1,66.1,65.6,89.0,89.5,89.2,51.0,47.1,49.2,24.8,21.5,23.3
Jharkhand,109.1,109.2,109.1,81.0,84.3,82.6,98.4,99.5,98.9,51.7,54.6,53.2,30.1,30.8,30.5
Karnataka,108.2,105.6,107.0,100.3,99.8,100.0,105.2,103.4,104.3,81.4,77.7,79.6,39.7,45.6,42.5
Kerala,98.1,98.0,98.1,97.5,95.3,96.4,97.9,96.9,97.4,108.5,103.0,105.7,81.1,91.3,86.1
Ladakh,80.4,86.6,83.3,63.6,75.2,69.0,73.8,82.1,77.7,57.0,64.9,60.8,35.4,48.4,41.7
Lakshadweep,80.0,78.2,79.1,62.7,57.0,59.7,73.6,69.3,71.5,58.8,69.2,63.9,68.0,69.7,68.9
Madhya Pradesh,94.3,90.5,92.4,95.8,87.4,91.6,94.8,89.4,92.2,69.2,63.6,66.4,32.7,33.8,33.2
Maharashtra,106.6,106.8,106.7,97.9,99.2,98.6,103.3,103.9,103.6,89.9,85.9,88.0,49.5,46.4,48.1
Manipur,121.5,127.0,124.1,67.1,72.0,69.5,98.4,103.6,100.9,51.3,55.1,53.1,36.2,37.8,37.0
Meghalaya,168.7,172.8,170.7,104.8,120.6,112.6,143.1,151.6,147.3,75.8,94.1,84.9,38.9,48.9,43.9
Mizoram,143.5,141.8,142.7,105.7,105.9,105.8,128.2,127.3,127.8,93.5,100.3,96.8,52.9,57.6,55.2
Nagaland,86.9,91.2,88.9,65.1,71.5,68.2,77.8,83.0,80.3,53.3,60.5,56.8,32.9,35.3,34.1
Odisha,98.5,96.1,97.3,100.5,98.1,99.3,99.2,96.8,98.0,78.6,80.7,79.6,38.0,40.0,39.0
Puducherry,"#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
Punjab,"#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
Rajasthan,111.9,110.6,111.3,93.4,85.8,89.8,105.4,101.9,103.7,87.1,82.3,84.8,56.8,51.7,54.3
Sikkim,106.8,91.6,99.3,83.0,87.3,85.1,96.3,89.7,93.0,91.8,110.4,101.0,47.2,61.2,54.2
Tamil Nadu,110.9,110.3,110.6,116.7,114.0,115.4,113.0,111.6,112.3,103.1,107.9,105.4,59.9,72.3,65.7
Telangana,107.2,103.5,105.4,91.9,91.8,91.8,101.4,99.0,100.3,80.3,83.2,81.7,55.3,65.0,59.8
Tripura,117.0,119.8,118.4,88.0,89.6,88.8,104.8,107.1,105.9,82.7,87.2,84.9,29.6,29.9,29.7
Uttar Pradesh,152.4,153.8,153.1,145.6,148.0,146.8,150.1,151.8,150.9,116.7,118.0,117.3,74.3,74.5,74.4
Uttarakhand,102.9,109.5,106.1,87.7,88.5,88.1,96.6,100.6,98.5,87.2,84.5,85.9,65.0,68.9,66.9
West Bengal,120.3,120.9,120.6,94.1,97.8,95.9,110.2,112.0,111.1,73.0,89.9,81.2,38.4,42.1,
