India/ State /UT,Number of teachers by Gender and Classes Taught – Government Aided,,,,,,,,
"",Primary & Upper Primary,Upper Primary Only,Upper Primary & Secondary,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22)
India,20818,14725,35543,99319,75476,174795,29735,19330,49065
Andaman and Nicobar Islands,0,0,0,4,14,18,0,2,2
Andhra Pradesh,394,288,682,636,666,1302,780,726,1506
Arunachal Pradesh,90,101,191,97,61,158,89,35,124
Assam,16,29,45,19141,6352,25493,378,118,496
Bihar,109,32,141,1253,513,1766,200,67,267
Chandigarh,8,15,23,1,10,11,14,71,85
Chhattisgarh,51,71,122,316,334,650,28,30,58
Dadra and Nagar Haveli,1,0,1,14,14,28,0,0,0
Daman and Diu,0,2,2,5,24,29,4,4,8
Delhi,0,0,0,336,1036,1372,0,0,0
Goa,3,29,32,255,1082,1337,375,1186,1561
Gujarat,22,16,38,1063,1215,2278,2,1,3
Haryana,3,27,30,4,20,24,12,77,89
Himachal Pradesh,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,0,0,0,7,3,10,0,1,1
Jharkhand,238,245,483,913,859,1772,276,378,654
Karnataka,6888,5331,12219,524,595,1119,12,15,27
Kerala,46,143,189,8345,22247,30592,78,171,249
Ladakh,0,0,0,7,0,7,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,23,87,110,642,842,1484,18,32,50
Maharashtra,12030,6699,18729,39239,21640,60879,16819,6814,23633
Manipur,66,68,134,288,220,508,142,105,247
Meghalaya,5,12,17,2685,2313,4998,171,178,349
Mizoram,0,0,0,299,217,516,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0
Odisha,57,21,78,2752,465,3217,2265,670,2935
Puducherry,15,137,152,16,52,68,42,179,221
Punjab,0,2,2,163,626,789,3,5,8
Rajasthan,0,0,0,0,0,0,0,0,0
Sikkim,1,2,3,28,25,53,7,8,15
Tamil Nadu,399,995,1394,4037,8522,12559,3886,6708,10594
Telangana,69,143,212,89,218,307,214,541,755
Tripura,0,0,0,78,50,128,0,0,0
Uttar Pradesh,266,205,471,15275,4747,20022,3608,942,4550
Uttarakhand,3,14,17,747,446,1193,263,203,466
West Bengal,15,11,26,60,48,108,49,63,112
