India/ State /UT,Number of teachers by Gender and Classes Taught – Others,,,,,,,,,,,
"",Total,Pre-Primary Only,Pre-Primary & Primary,Primary Only,,,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,167171,158612,325783,905,3727,4632,5439,7263,12702,71097,78694,149791
Andaman and Nicobar Islands,1,2,3,0,0,0,1,2,3,0,0,0
Andhra Pradesh,209,358,567,0,0,0,0,0,0,133,242,375
Arunachal Pradesh,180,239,419,0,10,10,4,12,16,108,151,259
Assam,17059,7695,24754,2,5,7,72,42,114,10456,4695,15151
Bihar,49719,34040,83759,214,542,756,536,844,1380,9562,9332,18894
Chandigarh,31,421,452,0,68,68,1,24,25,6,154,160
Chhattisgarh,421,624,1045,1,2,3,4,0,4,282,401,683
Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0,0,0,0
Daman and Diu,25,0,25,0,0,0,0,0,0,9,0,9
Delhi,0,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,13,34,47,0,0,0,0,0,0,2,11,13
Haryana,1776,6211,7987,4,172,176,17,86,103,903,4260,5163
Himachal Pradesh,1,2,3,0,0,0,0,0,0,1,2,3
Jammu and Kashmir,357,350,707,9,20,29,22,40,62,164,134,298
Jharkhand,29154,32625,61779,80,572,652,310,764,1074,11850,16646,28496
Karnataka,21,38,59,0,0,0,0,2,2,9,13,22
Kerala,536,9771,10307,3,306,309,4,94,98,287,6481,6768
Ladakh,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2746,4018,6764,2,6,8,6,5,11,1024,1392,2416
Maharashtra,1212,4499,5711,7,194,201,20,146,166,587,2878,3465
Manipur,751,1206,1957,4,78,82,13,118,131,340,648,988
Meghalaya,565,1963,2528,5,43,48,50,230,280,145,754,899
Mizoram,280,314,594,2,24,26,4,15,19,54,110,164
Nagaland,4,2,6,0,1,1,3,1,4,1,0,1
Odisha,3020,7225,10245,0,3,3,0,1,1,1730,5115,6845
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,444,3420,3864,10,260,270,31,244,275,83,1050,1133
Rajasthan,4505,2817,7322,10,54,64,190,167,357,3278,2027,5305
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,377,4175,4552,17,595,612,0,136,136,123,2123,2246
Telangana,211,268,479,0,0,0,10,14,24,153,191,344
Tripura,887,329,1216,12,25,37,49,49,98,720,241,961
Uttar Pradesh,45637,29544,75181,11,11,22,501,425,926,28272,18835,47107
Uttarakhand,1204,1142,2346,2,28,30,6,11,17,815,808,1623
West Bengal,5825,5280,11105,510,708,1218,3585,3791,7376,0,0,0
