India/ State /UT,"TotalSchools","Number of schools having drinking water facility withinschool premises – all types of management","No. of schoolsnot havingdrinkingwater facilitywithin schoolpremises","% of schoolshaving drinkingwater facilitywithin schoolpremises",,,,,,
"",,"Any sourceof drinkingwater","TapWater","PackedWater","HandPump",Well,"UnprotectedWell","Othersources",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,1507708,1464728,702224,19919,624060,31726,3901,82898,42980,97.15
Andaman and Nicobar Islands,418,418,389,1,0,7,8,13,0,100
Andhra Pradesh,63824,57189,57187,0,2,0,0,0,6635,89.6
Arunachal Pradesh,3666,2821,2302,17,312,91,17,82,845,76.95
Assam,65907,59404,9167,208,42664,3469,850,3046,6503,90.13
Bihar,90275,90083,16747,367,72798,18,16,137,192,99.79
Chandigarh,229,229,228,0,0,0,0,1,0,100
Chhattisgarh,56303,55397,15998,202,38151,267,35,744,906,98.39
Dadra and Nagar Haveli,346,346,295,6,27,4,0,14,0,100
Daman and Diu,137,137,110,5,1,1,0,20,0,100
Delhi,5669,5669,5669,0,0,0,0,0,0,100
Goa,1482,1482,1470,3,0,3,0,6,0,100
Gujarat,54629,54621,42798,1040,5185,1423,125,4050,8,99.99
Haryana,23699,23657,19336,177,1487,438,12,2207,42,99.82
Himachal Pradesh,18185,18169,17631,48,239,53,17,181,16,99.91
Jammu and Kashmir,28863,27844,22892,189,1303,296,347,2817,1019,96.47
Jharkhand,45596,44841,6510,203,36543,696,65,824,755,98.34
Karnataka,77166,77036,70017,1483,2156,1539,90,1751,130,99.83
Kerala,16665,16602,6250,160,437,8994,106,655,63,99.62
Ladakh,1054,740,442,20,162,7,5,104,314,70.21
Lakshadweep,45,45,39,0,0,5,0,1,0,100
Madhya Pradesh,133379,129916,27547,622,83301,2498,202,15746,3463,97.4
Maharashtra,110229,109438,74647,1662,17042,3893,348,11846,791,99.28
Manipur,4663,4346,948,447,152,166,54,2579,317,93.2
Meghalaya,14730,6207,3822,100,256,703,573,753,8523,42.14
Mizoram,3924,3574,2620,68,2,34,17,833,350,91.08
Nagaland,2758,1836,1057,54,42,148,43,492,922,66.57
Odisha,67020,67017,21519,1358,43184,324,33,599,3,100
Puducherry,741,741,718,5,1,3,0,14,0,100
Punjab,28775,28775,19257,35,1724,62,3,7694,0,100
Rajasthan,106240,103470,56209,1205,27035,4652,388,13981,2770,97.39
Sikkim,1277,1276,1227,2,1,4,6,36,1,99.92
Tamil Nadu,58897,58897,56377,578,517,285,6,1134,0,100
Telangana,42575,40708,25790,3858,7142,471,0,3447,1867,95.61
Tripura,4940,3977,1978,20,1401,182,70,326,963,80.51
Uttar Pradesh,254352,250690,53689,851,193067,301,33,2749,3662,98.56
Uttarakhand,23295,22107,18501,117,2751,84,37,617,1188,94.9
West Bengal,95755,95023,40841,4808,44975,605,395,3399,732,99.24
