India/ State /UT,Enrolment of age group 14-15 years,,,,,
"",Secondary (9-10),Higher Secondary (11-12),,,,
"",Boys,Girls,Total,Boys,Girls,Total
(1),(59),(60),(61),(62),(63),(64)
India,12914744,11885729,24800473,2457855,2356768,4814623
Andaman and Nicobar Islands,4083,4218,8301,315,458,773
Andhra Pradesh,464314,440523,904837,100987,122316,223303
Arunachal Pradesh,12661,13925,26586,1803,2316,4119
Assam,332617,381729,714346,17983,18382,36365
Bihar,956460,956076,1912536,296775,277698,574473
Chandigarh,15753,13482,29235,2624,2551,5175
Chhattisgarh,296374,311388,607762,21894,25936,47830
Dadra and Nagar Haveli,4962,4456,9418,460,476,936
Daman and Diu,2227,2042,4269,103,229,332
Delhi,247331,229141,476472,56010,44446,100456
Goa,18615,16849,35464,1350,1555,2905
Gujarat,751803,572360,1324163,80697,67718,148415
Haryana,310866,238635,549501,86898,87228,174126
Himachal Pradesh,83221,74329,157550,20654,20907,41561
Jammu and Kashmir,99783,87814,187597,21297,20224,41521
Jharkhand,312140,316841,628981,66160,57193,123353
Karnataka,800335,737779,1538114,61149,80300,141449
Kerala,390861,374856,765717,48497,51890,100387
Ladakh,1916,2158,4074,186,280,466
Lakshadweep,766,816,1582,14,28,42
Madhya Pradesh,788088,681396,1469484,110910,102547,213457
Maharashtra,1329312,1173642,2502954,104628,108811,213439
Manipur,31916,31558,63474,5233,5835,11068
Meghalaya,27290,33338,60628,844,1035,1879
Mizoram,11035,11923,22958,691,925,1616
Nagaland,17168,18036,35204,1225,1005,2230
Odisha,343616,330112,673728,426,318,744
Puducherry,13165,12352,25517,4693,6032,10725
Punjab,407452,366079,773531,50735,32255,82990
Rajasthan,833312,676706,1510018,193452,151319,344771
Sikkim,5513,6301,11814,378,542,920
Tamil Nadu,640593,587113,1227706,297005,367564,664569
Telangana,363682,344158,707840,693,1513,2206
Tripura,50471,50945,101416,812,891,1703
Uttar Pradesh,1892041,1577327,3469368,666232,552729,1218961
Uttarakhand,121200,110975,232175,33671,29302,62973
West Bengal,931802,1094351,2026153,100371,112014,212385
