India/ State /UT,Gross Enrolment Ratio (GER) – All Social Groups,,,,,,,,,,,,,,
"",Primary (1 to 5),"Upper Primary(6 to 8)",Elementary (1 to 8),Secondary (9-10),Higher Secondary (11-12),,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,101.9,103.7,102.7,88.9,90.5,89.7,97.0,98.7,97.8,78.0,77.8,77.9,50.5,52.4,51.4
"Andaman andNicobar Islands",78.7,82.6,80.6,74.9,78.1,76.5,77.3,80.8,79.0,75.1,82.1,78.3,38.4,52.8,45.1
Andhra Pradesh,103.4,99.3,101.4,92.5,90.1,91.3,99.2,95.7,97.5,81.6,81.2,81.4,48.9,55.7,52.2
Arunachal Pradesh,117.5,119.6,118.5,83.2,88.9,86.1,103.5,106.9,105.2,58.7,66.1,62.3,33.0,38.7,35.8
Assam,113.6,117.8,115.7,89.9,99.0,94.4,104.5,110.4,107.4,67.7,80.7,74.0,30.4,31.4,30.9
Bihar,91.9,95.2,93.5,75.9,82.7,79.2,85.9,90.5,88.1,56.2,61.0,58.5,30.6,31.0,30.8
Chandigarh,83.0,91.9,86.9,95.1,104.8,99.3,87.6,96.7,91.6,82.5,94.4,87.6,72.4,85.8,78.0
Chhattisgarh,97.2,97.0,97.1,92.2,92.9,92.6,95.4,95.5,95.5,83.6,90.2,86.9,49.7,59.1,54.3
"Dadra and NagarHaveli",98.8,103.1,100.8,78.1,78.8,78.4,91.2,94.1,92.5,88.9,98.0,93.0,48.7,68.0,56.9
Daman and Diu,90.3,93.3,91.7,84.7,88.8,86.6,88.3,91.7,89.8,68.6,84.7,75.4,26.1,55.6,36.2
Delhi,118.4,122.8,120.4,120.5,125.2,122.7,119.2,123.7,121.3,108.1,112.9,110.3,69.0,77.5,72.8
Goa,97.3,101.3,99.2,90.9,92.9,91.8,94.8,98.1,96.4,89.5,91.4,90.4,63.8,73.8,68.6
Gujarat,94.7,98.3,96.4,89.4,89.7,89.5,92.7,95.0,93.8,82.7,71.4,77.4,43.5,42.8,43.2
Haryana,105.4,104.9,105.2,99.1,98.2,98.7,103.1,102.4,102.8,96.0,91.3,93.9,60.6,63.1,61.8
Himachal Pradesh,108.0,109.4,108.5,97.8,99.3,98.6,103.9,105.5,104.6,103.2,103.3,103.3,80.3,87.0,83.4
"Jammu andKashmir",91.7,94.8,93.2,64.9,68.5,66.5,80.3,83.7,81.9,58.4,58.9,58.7,38.4,38.4,38.4
Jharkhand,102.6,102.6,102.6,80.9,85.4,83.2,94.3,95.9,95.1,58.7,62.8,60.7,40.5,41.1,40.8
Karnataka,107.9,106.9,107.4,101.2,100.9,101.1,105.4,104.6,105.0,87.4,85.3,86.4,48.0,56.5,52.1
Kerala,100.5,100.1,100.2,97.5,97.1,97.2,99.3,99.0,99.1,97.6,96.7,97.2,79.1,87.1,83.0
Ladakh,79.9,86.4,83.0,62.8,73.8,68.0,73.2,81.5,77.1,53.7,63.1,58.2,33.2,45.7,39.2
Lakshadweep,79.7,77.9,78.8,62.1,56.8,59.3,73.1,69.1,71.1,57.7,68.8,63.1,66.0,69.0,67.6
Madhya Pradesh,93.2,92.7,92.9,92.5,90.2,91.3,92.9,91.8,92.4,78.3,72.5,75.5,45.2,44.8,45.0
Maharashtra,105.9,106.8,106.3,99.5,98.5,99.0,103.4,103.6,103.5,92.7,89.9,91.4,67.2,66.7,67.0
Manipur,134.6,138.0,136.2,86.6,89.8,88.1,114.5,117.7,116.1,72.2,74.5,73.3,57.7,56.5,57.1
Meghalaya,163.9,168.2,166.0,102.5,117.9,110.1,139.3,147.8,143.5,74.7,92.0,83.2,38.9,47.9,43.4
Mizoram,139.6,138.1,138.9,102.8,103.1,103.0,124.7,124.0,124.4,91.1,98.4,94.7,51.2,56.3,53.7
Nagaland,92.7,96.2,94.3,67.3,73.9,70.4,82.1,86.9,84.4,54.7,61.9,58.1,32.6,35.5,34.0
Odisha,97.2,96.4,96.8,90.7,88.5,89.6,94.7,93.3,94.0,78.9,79.1,79.0,46.7,48.4,47.6
Puducherry,84.4,86.3,85.3,83.4,83.9,83.6,84.0,85.4,84.7,77.5,83.4,80.3,63.1,76.1,69.3
Punjab,111.3,111.1,111.2,105.3,107.4,106.3,109.0,109.7,109.3,101.3,105.2,103.1,69.5,73.5,71.3
Rajasthan,105.4,106.9,106.1,91.6,85.9,88.9,100.3,99.0,99.7,88.8,79.1,84.2,62.4,54.1,58.5
Sikkim,103.3,95.5,99.5,85.1,86.9,86.0,95.3,91.7,93.6,93.6,105.3,99.4,48.0,59.7,53.7
Tamil Nadu,98.6,99.3,98.9,96.7,96.3,96.5,97.9,98.2,98.0,90.1,91.1,90.5,66.3,80.6,73.2
Telangana,111.8,112.1,111.9,97.4,97.5,97.4,106.2,106.4,106.3,87.2,88.8,88.0,53.1,61.5,57.2
Tripura,115.3,118.7,117.0,92.3,95.6,93.9,105.7,109.0,107.3,86.5,92.6,89.5,39.5,41.9,40.7
Uttar Pradesh,100.5,105.6,102.9,80.3,83.3,81.7,93.1,97.3,95.1,68.1,63.3,65.8,48.2,45.4,46.9
Uttarakhand,113.7,116.7,115.2,97.3,99.2,98.2,107.3,109.7,108.5,91.3,91.8,91.4,66.2,73.0,69.3
West Bengal,112.8,113.9,113.3,86.0,91.4,88.6,102.3,105.0,103.6,76.8,96.1,86.3,50.1,60.6,
