India/ State /UT,Enrolment – Others,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,564359,421913,986272,2781779,2362044,5143823,716411,651708,1368119,3498190,3013752,6511942
Andaman and Nicobar Islands,10,13,23,5,3,8,0,0,0,5,3,8
Andhra Pradesh,435,336,771,8421,7658,16079,1911,2923,4834,10332,10581,20913
Arunachal Pradesh,695,584,1279,2218,1700,3918,431,293,724,2649,1993,4642
Assam,11395,11083,22478,134106,128741,262847,15646,17204,32850,149752,145945,295697
Bihar,188575,124823,313398,755153,589100,1344253,238436,212367,450803,993589,801467,1795056
Chandigarh,2384,1838,4222,2753,1809,4562,467,289,756,3220,2098,5318
Chhattisgarh,45,30,75,6531,4616,11147,2030,1607,3637,8561,6223,14784
Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0,0,0,0
Daman and Diu,0,0,0,183,0,183,40,0,40,223,0,223
Delhi,0,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,0,0,0,225,285,510,166,150,316,391,435,826
Haryana,18743,14895,33638,53575,39600,93175,13343,9619,22962,66918,49219,116137
Himachal Pradesh,0,0,0,12,4,16,0,0,0,12,4,16
Jammu and Kashmir,1192,1012,2204,3685,2297,5982,957,820,1777,4642,3117,7759
Jharkhand,206141,150110,356251,489237,356135,845372,160893,123758,284651,650130,479893,1130023
Karnataka,16,15,31,241,103,344,131,132,263,372,235,607
Kerala,24499,21827,46326,58033,52052,110085,9474,8281,17755,67507,60333,127840
Ladakh,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,405,562,967,50667,49960,100627,18802,18415,37217,69469,68375,137844
Maharashtra,14434,12750,27184,53579,44413,97992,13944,10263,24207,67523,54676,122199
Manipur,3940,3695,7635,7792,7159,14951,1658,1513,3171,9450,8672,18122
Meghalaya,5578,5407,10985,8808,8715,17523,2055,2690,4745,10863,11405,22268
Mizoram,765,757,1522,1349,1283,2632,402,411,813,1751,1694,3445
Nagaland,24,26,50,26,30,56,0,0,0,26,30,56
Odisha,96,81,177,49172,36355,85527,10583,7111,17694,59755,43466,103221
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,8740,7332,16072,17012,13936,30948,7214,6256,13470,24226,20192,44418
Rajasthan,2135,2094,4229,75394,70417,145811,10182,9675,19857,85576,80092,165668
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,16125,13527,29652,21660,17750,39410,5274,4119,9393,26934,21869,48803
Telangana,61,79,140,4683,4361,9044,815,1429,2244,5498,5790,11288
Tripura,2483,2013,4496,6815,5297,12112,698,244,942,7513,5541,13054
Uttar Pradesh,5485,5549,11034,844927,813680,1658607,177455,191531,368986,1022382,1005211,2027593
Uttarakhand,850,715,1565,25193,21398,46591,5908,5746,11654,31101,27144,58245
West Bengal,49108,40760,89868,100324,83187,183511,17496,14862,32358,117820,98049,215869
