India/ State /UT,Number of teachers by Classes Taught – All types of Management,,,,,,,,,
"",Total,"Pre-PrimaryOnly","Pre-Primary andPrimary","PrimaryOnly","Prima-ry andUpperPrimary","UpperPrimaryOnly","Upper Pri-mary andSecondary","SecondaryOnly","Secondaryand HigherSecondary","HigherSecondaryOnly"
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12)
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,9687577,127301,359056,3544652,696457,2218657,590290,1157265,337031,656868
Andaman and Nicobar Islands,5731,225,108,1964,233,1009,644,640,211,697
Andhra Pradesh,317430,0,0,140685,14309,56670,56182,27122,932,21530
Arunachal Pradesh,23872,152,387,9654,3284,5557,928,2392,545,973
Assam,369614,1014,4945,150374,15073,88652,36899,46406,8082,18169
Bihar,603870,1657,3047,183529,49510,286480,8917,42429,10874,17427
Chandigarh,10139,486,118,2878,734,1186,2513,617,639,968
Chhattisgarh,268596,2008,2719,118523,16002,61607,5736,19761,29354,12886
Dadra and Nagar Haveli,3259,128,19,1418,123,791,45,458,24,253
Daman and Diu,1592,30,9,548,102,307,62,277,118,139
Delhi,157647,8841,0,55486,0,38929,0,26352,0,28039
Goa,13680,232,50,4335,173,1877,2038,2829,59,2087
Gujarat,399910,2177,3203,175323,6894,123342,2335,49315,4359,32962
Haryana,257366,2767,1079,96414,13383,48954,23972,17931,36701,16165
Himachal Pradesh,105207,1191,1179,31330,5182,18801,15584,10705,5940,15295
Jammu and Kashmir,173183,2760,5840,61666,3511,62207,1746,25007,334,10112
Jharkhand,224787,1045,1607,101672,23522,59691,7028,18295,3361,8566
Karnataka,450592,1211,600,112507,147970,39681,4348,108841,990,34444
Kerala,275931,7469,357,91495,3972,66026,3413,62794,1760,38645
Ladakh,6197,125,181,1779,269,2500,137,816,46,344
Lakshadweep,1233,36,1,371,168,159,98,179,74,147
Madhya Pradesh,608620,4086,3740,246322,27217,213588,8766,62650,11008,31243
Maharashtra,783847,3466,3198,340191,40071,145668,37544,138592,5996,69121
Manipur,45321,396,1190,19379,4746,6976,3393,4977,947,3317
Meghalaya,56490,429,3011,23357,959,16002,952,8770,357,2653
Mizoram,23147,103,166,7628,628,8462,21,4261,20,1858
Nagaland,31914,240,723,12267,1897,9764,1038,4175,326,1484
Odisha,357035,19,16,150668,72890,51489,15638,54671,810,10834
Puducherry,13489,555,144,4579,1192,1207,2338,1191,809,1474
Punjab,281673,8823,13422,81172,2,64121,12,70322,0,43799
Rajasthan,774021,9693,19827,231516,80869,160560,99318,50034,79492,42712
Sikkim,14558,819,167,6888,183,2740,913,1436,52,1360
Tamil Nadu,562762,8373,4434,194654,60501,77718,69953,64489,26680,55960
Telangana,305597,1228,6103,97810,33138,26607,71371,35451,3376,30513
Tripura,46728,179,321,21545,439,10487,331,7199,168,6059
Uttar Pradesh,1423995,4984,9518,711956,52290,363714,33105,136317,44459,67652
Uttarakhand,122182,1028,963,52691,3930,23614,5538,17987,4288,12143
West Bengal,566362,49326,266664,78,11091,71514,67434,31577,53840,14838
