India/ State /UT,Enrolment – Government Aided,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,243778,240514,484292,2823185,2775718,5598903,3987638,3780283,7767921,6810823,6556001,13366824
Andaman and Nicobar Islands,29,29,58,278,260,538,242,238,480,520,498,1018
Andhra Pradesh,558,566,1124,46065,48544,94609,28948,33304,62252,75013,81848,156861
Arunachal Pradesh,469,442,911,4873,4945,9818,2920,2633,5553,7793,7578,15371
Assam,267,293,560,1172,1455,2627,142202,160526,302728,143374,161981,305355
Bihar,509,223,732,25060,26956,52016,26392,31143,57535,51452,58099,109551
Chandigarh,294,320,614,1004,1062,2066,849,790,1639,1853,1852,3705
Chhattisgarh,269,408,677,14955,14478,29433,11354,10744,22098,26309,25222,51531
Dadra and Nagar Haveli,0,0,0,477,374,851,380,268,648,857,642,1499
Daman and Diu,0,0,0,418,313,731,905,743,1648,1323,1056,2379
Delhi,558,564,1122,19822,23726,43548,27345,23136,50481,47167,46862,94029
Goa,7853,7599,15452,36643,35729,72372,30937,28814,59751,67580,64543,132123
Gujarat,1560,1461,3021,29947,27053,57000,54811,43708,98519,84758,70761,155519
Haryana,406,356,762,1989,1792,3781,1604,1643,3247,3593,3435,7028
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,23,31,54,44,51,95,26,21,47,70,72,142
Jharkhand,7586,7642,15228,74961,82843,157804,44758,52667,97425,119719,135510,255229
Karnataka,3795,3636,7431,203444,193360,396804,217318,199266,416584,420762,392626,813388
Kerala,93749,91845,185594,464845,463743,928588,363267,356540,719807,828112,820283,1648395
Ladakh,0,0,0,449,156,605,112,74,186,561,230,791
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,1251,933,2184,21173,21620,42793,13545,13389,26934,34718,35009,69727
Maharashtra,87027,85546,172573,1285181,1166584,2451765,1709566,1538828,3248394,2994747,2705412,5700159
Manipur,525,466,991,8461,8540,17001,3056,3305,6361,11517,11845,23362
Meghalaya,29918,29094,59012,68904,68529,137433,45647,52433,98080,114551,120962,235513
Mizoram,0,0,0,876,947,1823,2591,2785,5376,3467,3732,7199
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,309,346,655,13280,12788,26068,76140,68671,144811,89420,81459,170879
Puducherry,891,1358,2249,3669,6252,9921,3058,5009,8067,6727,11261,17988
Punjab,1488,1606,3094,28820,27444,56264,30019,25364,55383,58839,52808,111647
Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,80,177,257,410,535,945,412,735,1147,822,1270,2092
Tamil Nadu,1542,1629,3171,314206,336479,650685,332768,351286,684054,646974,687765,1334739
Telangana,1083,1723,2806,19881,28609,48490,10215,17057,27272,30096,45666,75762
Tripura,51,59,110,3790,3378,7168,4343,3109,7452,8133,6487,14620
Uttar Pradesh,475,414,889,118482,154857,273339,770091,721664,1491755,888573,876521,1765094
Uttarakhand,332,280,612,2833,5095,7928,26433,25745,52178,29266,30840,60106
West Bengal,881,1468,2349,6773,7221,13994,5384,4645,10029,12157,11866,24023
