India/ State /UT,Gross Enrolment Ratio (GER) – Scheduled Castes,,,,,,,,,,,,,,
"",Primary (1 to 5),"Upper Primary(6 to 8)",Elementary (1 to 8),Secondary (9-10),Higher Secondary (11-12),,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,111.9,114.5,113.1,96.1,98.1,97.1,106.0,108.3,107.1,82.4,83.8,83.0,50.9,55.1,52.9
"Andaman andNicobar Islands","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
Andhra Pradesh,109.5,106.1,107.8,96.9,92.9,94.9,104.6,100.9,102.8,84.6,84.7,84.6,52.3,62.3,57.2
Arunachal Pradesh,"#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
Assam,136.4,141.3,138.7,112.3,117.7,114.9,126.6,131.5,129.0,91.9,103.2,97.5,36.8,36.3,36.6
Bihar,111.4,113.6,112.5,86.8,94.2,90.3,102.7,106.7,104.6,61.4,70.7,65.7,33.7,36.0,34.8
Chandigarh,30.3,29.4,29.9,41.3,44.2,42.6,34.5,35.1,34.7,49.8,52.7,51.1,42.8,47.5,44.9
Chhattisgarh,105.3,105.3,105.3,100.4,101.6,101.0,103.5,103.9,103.7,91.2,99.2,95.1,50.8,60.6,55.6
"Dadra and NagarHaveli",161.4,180.3,170.0,139.0,128.8,133.9,152.7,158.3,155.4,128.1,120.3,124.7,95.5,106.0,100.9
Daman and Diu,107.3,86.5,96.8,101.4,99.0,100.3,104.7,91.5,98.3,116.3,136.3,124.9,57.1,116.3,80.6
Delhi,60.5,63.7,62.0,66.3,70.8,68.4,62.7,66.5,64.5,69.6,76.2,72.7,41.4,52.4,46.7
Goa,70.5,65.2,67.9,76.6,69.6,73.1,72.7,66.9,69.9,66.2,79.1,72.2,64.2,75.0,69.5
Gujarat,89.6,93.7,91.5,83.2,83.9,83.5,87.1,89.9,88.4,83.7,74.4,79.3,41.9,44.0,42.9
Haryana,104.1,107.8,105.8,99.6,105.2,102.2,102.4,106.8,104.5,102.2,103.9,103.0,49.2,59.1,53.8
Himachal Pradesh,103.3,105.4,104.3,95.9,98.7,97.3,100.4,102.8,101.6,108.4,107.6,108.0,73.7,82.5,77.9
"Jammu andKashmir",113.1,119.5,116.0,81.8,83.7,82.7,99.2,103.6,101.2,71.0,73.2,72.0,32.7,37.5,34.9
Jharkhand,110.6,111.3,110.9,85.8,91.7,88.7,101.4,104.0,102.7,55.2,60.9,58.0,36.2,39.1,37.6
Karnataka,105.6,104.9,105.3,101.6,101.7,101.6,104.1,103.7,103.9,86.5,83.8,85.2,44.3,52.2,48.1
Kerala,100.8,100.0,100.4,93.9,92.9,93.4,98.1,97.2,97.7,94.4,92.4,93.4,89.7,94.5,92.1
Ladakh,188.7,395.1,255.4,132.2,127.3,130.1,166.8,258.9,201.1,157.4,124.9,141.7,76.6,0.0,38.8
Lakshadweep,"#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
Madhya Pradesh,95.0,96.0,95.5,94.5,92.3,93.4,94.8,94.7,94.7,82.5,76.4,79.6,43.9,42.9,43.4
Maharashtra,109.2,109.3,109.2,103.7,103.6,103.6,107.1,107.0,107.0,101.9,100.0,101.0,70.1,72.2,71.1
Manipur,169.8,173.5,171.6,115.3,119.1,117.2,147.3,151.1,149.2,101.4,105.0,103.2,86.3,84.1,85.3
Meghalaya,441.9,459.3,450.1,207.7,236.4,221.8,344.2,362.0,352.8,178.6,211.5,194.0,71.7,86.2,78.5
Mizoram,1057.8,1159.6,1106.1,557.3,633.3,588.9,853.4,974.4,908.0,1683.5,971.1,1225.5,389.1,534.8,455.4
Nagaland,"#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
Odisha,103.1,104.8,103.9,94.5,93.9,94.2,99.7,100.5,100.1,82.5,84.8,83.7,41.3,43.7,42.5
Puducherry,90.7,91.7,91.2,86.7,84.7,85.7,89.2,88.9,89.0,81.4,83.9,82.6,61.1,73.7,67.3
Punjab,109.5,110.5,110.0,101.5,102.9,102.2,106.4,107.5,106.9,96.0,95.2,95.6,64.7,72.5,68.3
Rajasthan,113.7,116.9,115.2,93.4,89.0,91.3,106.3,106.5,106.4,89.4,83.0,86.4,57.4,52.2,55.0
Sikkim,158.3,149.0,153.8,129.9,145.3,137.3,146.0,147.4,146.7,138.2,166.3,151.1,59.9,58.9,59.4
Tamil Nadu,104.2,105.0,104.6,101.2,100.1,100.6,103.0,103.1,103.1,93.3,94.7,94.0,65.0,82.4,73.6
Telangana,120.8,122.9,121.8,99.7,99.2,99.5,112.4,113.2,112.8,88.3,91.0,89.6,56.3,70.6,63.3
Tripura,128.5,134.0,131.2,108.6,110.2,109.4,120.0,123.8,121.9,100.3,103.6,101.9,44.1,45.9,45.0
Uttar Pradesh,120.9,127.8,124.2,97.6,102.9,100.1,112.6,118.8,115.5,70.2,67.5,68.9,46.8,46.6,46.7
Uttarakhand,115.3,119.3,117.2,101.0,105.8,103.3,109.7,113.9,111.7,101.6,105.0,103.2,66.3,79.4,72.4
West Bengal,128.3,127.2,127.8,99.5,100.4,99.9,116.9,116.5,116.7,96.1,109.9,103.0,58.5,64.5,
