India/ State /UT,Number of Schools – Others,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12),
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
India,53277,27956,19057,1273,2588,289,794,955,36,108,221
Andaman and Nicobar Islands,1,1,0,0,0,0,0,0,0,0,0
Andhra Pradesh,302,111,169,0,19,2,0,0,0,0,1
Arunachal Pradesh,52,29,23,0,0,0,0,0,0,0,0
Assam,7652,6378,45,494,30,68,472,2,6,56,101
Bihar,9314,1516,7223,3,216,8,18,301,5,14,10
Chandigarh,27,7,16,0,3,0,0,1,0,0,0
Chhattisgarh,317,196,37,83,0,0,0,1,0,0,0
Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0,0,0
Daman and Diu,1,0,0,0,0,0,0,1,0,0,0
Delhi,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0
Gujarat,3,0,0,0,1,0,0,2,0,0,0
Haryana,1003,386,582,2,24,1,0,8,0,0,0
Himachal Pradesh,1,1,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,112,58,40,0,9,0,1,3,0,1,0
Jharkhand,6970,2279,4116,30,430,58,25,18,1,3,10
Karnataka,19,8,3,0,4,4,0,0,0,0,0
Kerala,1176,526,539,6,86,1,3,9,1,1,4
Ladakh,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,1977,766,1188,20,2,0,0,1,0,0,0
Maharashtra,898,411,341,4,77,21,25,14,2,1,2
Manipur,187,84,100,1,2,0,0,0,0,0,0
Meghalaya,553,263,44,44,21,10,132,4,1,0,34
Mizoram,95,18,27,1,0,0,33,0,0,0,16
Nagaland,1,1,0,0,0,0,0,0,0,0,0
Odisha,1546,897,490,38,36,45,26,5,1,0,8
Puducherry,0,0,0,0,0,0,0,0,0,0,0
Punjab,318,76,126,0,45,3,2,30,0,9,27
Rajasthan,2524,2149,334,0,24,1,1,12,1,2,0
Sikkim,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,608,481,92,5,17,1,0,12,0,0,0
Telangana,184,114,66,0,4,0,0,0,0,0,0
Tripura,268,248,13,0,4,0,0,3,0,0,0
Uttar Pradesh,14916,9346,3116,337,1493,44,30,516,15,18,1
Uttarakhand,470,273,77,79,2,3,26,0,0,3,7
West Bengal,1782,1333,250,126,39,19,0,12,3,0,
