India/ State /UT,Promotion Rate,,,,,,,,
"",Primary (1 to 5),Upper Primary (6-8),Secondary (9-10),,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,97.7,98.2,97.9,97.1,96.4,96.8,80.1,82.3,81.1
"Andaman and NicobarIslands",99.3,99.7,99.5,100,100,100,69.5,81.9,75.6
Andhra Pradesh,100,100,100,99.7,99.8,99.7,82.8,87.8,85.2
Arunachal Pradesh,87.7,91.2,89.4,87.0,88.3,87.7,59.2,66.3,62.8
Assam,94.7,96.2,95.5,94.6,97.3,96.0,64.8,63.1,63.9
Bihar,96.9,98.4,97.6,91.2,90.7,90.9,79.7,77.1,78.4
Chandigarh,100,100,100,99.5,99.6,99.5,87.4,92.0,89.5
Chhattisgarh,96.9,97.8,97.3,94.1,95.7,94.9,72.7,76.5,74.7
Dadra and Nagar Haveli,99.5,99.3,99.4,97.5,98.0,97.8,67.9,77.5,72.4
Daman and Diu,100,99.8,100,99.3,100,99.9,68.0,78.6,73.1
Delhi,100,100.0,100,99.9,99.7,99.8,74.7,77.1,75.8
Goa,99.7,99.8,99.7,100,99.8,100,77.8,87.3,82.3
Gujarat,98.9,99.1,99.0,96.5,92.8,94.8,73.5,79.1,75.9
Haryana,99.9,99.9,99.9,98.2,97.1,97.7,78.4,81.6,79.8
Himachal Pradesh,98.2,98.5,98.3,99.0,98.3,98.6,83.6,88.2,85.7
Jammu and Kashmir,95.6,95.6,95.6,96.3,96.1,96.2,81.1,81.4,81.2
Jharkhand,92.2,94.4,93.3,90.6,91.7,91.2,82.7,81.9,82.3
Karnataka,98.2,98.8,98.5,96.8,97.3,97.1,78.8,84.9,81.7
Kerala,100,100,100,100,100,100,90.0,94.0,92.0
Ladakh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lakshadweep,98.3,100,99.3,86.0,93.0,89.6,80.8,93.5,87.0
Madhya Pradesh,98.2,98.4,98.3,95.5,94.4,95.0,68.4,71.4,69.8
Maharashtra,100,99.9,100.0,99.2,98.5,98.9,82.5,85.0,83.7
Manipur,90.6,90.7,90.6,95.1,96.1,95.6,90.1,90.2,90.1
Meghalaya,87.9,91.1,89.4,85.4,89.5,87.6,67.8,69.4,68.6
Mizoram,91.2,91.8,91.5,95.5,98.3,96.9,71.4,77.2,74.3
Nagaland,90.3,92.7,91.4,86.7,90.8,88.7,66.5,69.3,67.9
Odisha,98.9,99.0,99.0,95.0,95.8,95.4,74.1,77.6,75.8
Puducherry,100,100,100,100,100,100,86.7,93.3,89.9
Punjab,100,100,100,100,100,100,94.5,100,97.9
Rajasthan,96.2,96.3,96.2,97.9,97.0,97.5,82.8,83.5,83.1
Sikkim,99.1,100,99.9,100,100,100,65.9,72.0,69.1
Tamil Nadu,98.6,99.2,98.9,99.6,99.7,99.6,86.7,94.4,90.5
Telangana,100,100,100,99.6,100,99.9,86.0,89.4,87.7
Tripura,96.9,97.4,97.2,95.5,96.2,95.8,63.7,64.9,64.3
Uttar Pradesh,96.6,96.9,96.7,98.8,95.1,97.0,82.8,83.6,83.2
Uttarakhand,97.1,97.5,97.3,97.5,97.3,97.4,84.8,88.6,86.6
West Bengal,95.7,96.4,96.1,97.8,100,99.6,79.1,79.1,
