India/ State /UT,Number of Schools – Government Aided,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12),
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
India,84362,18325,12196,10277,7317,8749,8175,5799,6821,4135,2568
Andaman and Nicobar Islands,2,0,0,0,0,0,0,2,0,0,0
Andhra Pradesh,2234,1368,267,0,6,441,0,0,2,0,150
Arunachal Pradesh,65,13,18,0,25,0,0,9,0,0,0
Assam,5024,1,4,3877,6,108,766,5,27,5,225
Bihar,721,40,347,26,66,93,81,4,25,35,4
Chandigarh,7,0,0,0,0,0,0,6,1,0,0
Chhattisgarh,431,210,44,68,8,1,1,24,41,34,0
Dadra and Nagar Haveli,4,0,0,0,4,0,0,0,0,0,0
Daman and Diu,4,0,0,0,1,0,0,1,2,0,0
Delhi,250,47,11,11,11,14,0,90,65,1,0
Goa,517,106,7,6,166,142,2,0,0,0,88
Gujarat,5688,67,175,290,2,13,1936,16,72,3076,41
Haryana,17,1,0,0,3,1,0,11,1,0,0
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,1,0,0,0,1,0,0,0,0,0,0
Jharkhand,1173,498,477,15,16,121,7,16,9,3,11
Karnataka,7244,206,2579,59,80,42,3396,13,8,254,607
Kerala,7193,3376,1809,570,93,290,103,112,565,270,5
Ladakh,29,25,3,0,1,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,790,326,138,49,10,3,24,68,83,89,0
Maharashtra,23791,3183,4197,0,6533,3878,23,4460,804,21,692
Manipur,585,399,69,27,33,38,15,1,0,0,3
Meghalaya,4180,2503,17,926,5,133,473,6,19,38,60
Mizoram,231,0,0,74,0,0,138,0,0,0,19
Nagaland,0,0,0,0,0,0,0,0,0,0,0
Odisha,5839,294,33,1557,14,2152,1156,0,3,0,630
Puducherry,33,3,0,0,18,0,0,12,0,0,0
Punjab,457,53,35,3,49,27,1,190,99,0,0
Rajasthan,0,0,0,0,0,0,0,0,0,0,0
Sikkim,19,6,2,0,1,2,0,4,4,0,0
Tamil Nadu,8328,5021,1475,33,27,559,3,83,1120,7,0
Telangana,702,291,123,0,47,211,0,0,0,0,30
Tripura,45,9,2,0,4,0,1,21,8,0,0
Uttar Pradesh,8048,218,350,2490,82,421,38,598,3578,272,1
Uttarakhand,617,11,12,194,3,51,11,38,265,30,2
West Bengal,93,50,2,2,2,8,0,9,20,0,
