India/ State /UT,Number of Schools – Private Unaided Recognized,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12),
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
India,337499,89517,107315,16673,43495,11295,9083,35174,6879,7624,10444
Andaman and Nicobar Islands,73,36,18,0,8,0,0,11,0,0,0
Andhra Pradesh,16173,4123,4654,4,1638,4063,12,34,2,1,1642
Arunachal Pradesh,493,138,245,0,86,0,0,21,0,3,0
Assam,6074,1105,1695,69,2307,60,189,254,25,52,318
Bihar,7630,632,5012,8,424,62,577,484,11,96,324
Chandigarh,74,5,12,0,13,0,0,43,1,0,0
Chhattisgarh,7008,1771,2859,96,717,14,34,1324,57,134,2
Dadra and Nagar Haveli,42,12,16,0,6,0,0,8,0,0,0
Daman and Diu,23,7,1,0,9,0,0,6,0,0,0
Delhi,2652,961,819,5,227,6,0,625,7,2,0
Goa,138,101,6,1,16,4,0,6,0,0,4
Gujarat,13898,1448,6641,306,924,16,817,1721,59,1344,622
Haryana,8195,742,2514,4,1914,30,1,2920,65,3,2
Himachal Pradesh,2786,600,795,0,790,0,2,572,8,10,9
Jammu and Kashmir,5585,1758,2042,0,1368,0,1,399,4,11,2
Jharkhand,1522,20,174,5,375,315,95,299,8,2,229
Karnataka,20069,3409,6330,167,4431,96,2199,656,17,111,2653
Kerala,3282,561,639,17,1034,20,20,880,40,28,43
Ladakh,112,26,55,0,25,1,0,5,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,31201,3199,20093,58,3140,33,131,4113,103,321,10
Maharashtra,19654,5183,4747,111,2979,1911,725,1644,352,137,1865
Manipur,1015,51,318,7,462,4,11,93,5,5,59
Meghalaya,2198,1141,167,140,115,28,449,28,4,23,103
Mizoram,1046,199,418,66,6,1,225,0,0,1,130
Nagaland,746,115,175,0,322,1,0,116,3,0,14
Odisha,6375,1375,2947,105,518,165,105,141,4,0,1015
Puducherry,286,41,31,0,104,0,0,107,1,0,2
Punjab,8623,813,2400,1,2630,7,0,2549,23,50,150
Rajasthan,36056,3435,16750,15,7007,72,11,8407,269,88,2
Sikkim,407,230,139,0,25,0,0,13,0,0,0
Tamil Nadu,12382,5809,755,8,1887,159,0,3460,284,7,13
Telangana,11688,551,3962,0,5705,236,0,37,0,0,1197
Tripura,352,143,104,0,73,1,0,31,0,0,0
Uttar Pradesh,93750,39992,16419,14649,1615,3839,3441,3241,5374,5158,22
Uttarakhand,5467,2016,2197,264,229,56,38,519,105,36,7
West Bengal,10424,7769,1166,567,366,95,0,407,48,1,5
