India/ State /UT,Number of teachers by Gender and Classes Taught – Government,,,,,,,,
"",Primary & Upper Primary,Upper Primary Only,Upper Primary & Secondary,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22)
India,154595,121086,275681,654949,461511,1116460,184762,130426,315188
Andaman and Nicobar Islands,58,74,132,322,490,812,228,341,569
Andhra Pradesh,1922,1424,3346,21616,16653,38269,13293,10565,23858
Arunachal Pradesh,1301,764,2065,2046,1918,3964,376,226,602
Assam,1995,1205,3200,27694,11435,39129,18160,10895,29055
Bihar,17889,8897,26786,110147,73607,183754,1024,250,1274
Chandigarh,60,96,156,168,355,523,442,1370,1812
Chhattisgarh,289,251,540,31492,16085,47577,272,161,433
Dadra and Nagar Haveli,34,44,78,263,273,536,7,6,13
Daman and Diu,2,0,2,91,124,215,3,4,7
Delhi,0,0,0,8946,13453,22399,0,0,0
Goa,4,12,16,127,292,419,118,235,353
Gujarat,555,274,829,43206,35897,79103,201,139,340
Haryana,34,43,77,13829,9345,23174,5762,3929,9691
Himachal Pradesh,31,36,67,7579,3505,11084,6629,4739,11368
Jammu and Kashmir,8,13,21,24303,14394,38697,32,23,55
Jharkhand,9902,2845,12747,21038,7963,29001,1253,881,2134
Karnataka,47183,53987,101170,5470,4714,10184,602,402,1004
Kerala,90,240,330,3806,10377,14183,114,212,326
Ladakh,125,51,176,1094,835,1929,62,12,74
Lakshadweep,83,85,168,69,90,159,40,58,98
Madhya Pradesh,4274,1631,5905,47717,22444,70161,1175,531,1706
Maharashtra,2587,1993,4580,33051,15600,48651,921,575,1496
Manipur,345,381,726,911,1101,2012,450,536,986
Meghalaya,20,35,55,4575,4650,9225,82,78,160
Mizoram,2,0,2,3735,2071,5806,15,3,18
Nagaland,295,349,644,3548,2969,6517,214,157,371
Odisha,31020,23946,54966,20019,12824,32843,5654,4507,10161
Puducherry,8,24,32,202,230,432,476,760,1236
Punjab,0,0,0,9025,15776,24801,0,0,0
Rajasthan,21133,10889,32022,53860,29680,83540,36787,13658,50445
Sikkim,4,3,7,941,1043,1984,365,464,829
Tamil Nadu,1347,2323,3670,16952,28498,45450,15807,26976,42783
Telangana,3897,3552,7449,5226,5029,10255,29818,23201,53019
Tripura,62,19,81,6579,2492,9071,79,32,111
Uttar Pradesh,5243,3793,9036,82361,67445,149806,857,778,1635
Uttarakhand,40,70,110,5791,3537,9328,1935,1150,3085
West Bengal,2753,1737,4490,37150,24317,61467,41509,22572,64081
