India/ State /UT,New Admissions in Class 1 – All types of management,,,,,,,,,,,
"",Total,Boys,Girls,,,,,,,,,
"","admittedin class1",with pre-school experience in,"admittedin class1",with pre-school experience in,"admittedin class1",with pre-school experience in,,,,,,
"","sameschool","anotherschool","anganwadi/ECCE centre","sameschool","anotherschool","anganwadi/ECCE centre","sameschool","anotherschool","anganwadi/ECCE centre",,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,21198140,5229038,2079966,3508905,11030874,2764673,1114604,1754188,10167266,2464365,965362,1754717
Andaman and Nicobar Islands,5202,2888,1120,455,2638,1439,589,244,2564,1449,531,211
Andhra Pradesh,791870,75675,565784,150411,414182,42062,293043,79077,377688,33613,272741,71334
Arunachal Pradesh,30971,6591,3594,3558,15852,3485,1900,1758,15119,3106,1694,1800
Assam,729193,260792,45114,139218,372522,134285,23422,69688,356671,126507,21692,69530
Bihar,2040670,100376,46657,255699,1055969,57604,27123,126835,984701,42772,19534,128864
Chandigarh,15759,9261,2999,1014,8221,4812,1618,482,7538,4449,1381,532
Chhattisgarh,472933,93883,18623,209837,242017,50027,10279,104893,230916,43856,8344,104944
Dadra and Nagar Haveli,8892,1627,1475,2330,4567,918,817,1134,4325,709,658,1196
Daman and Diu,4104,1307,1163,617,2130,710,582,306,1974,597,581,311
Delhi,327883,152059,144831,30993,172571,77376,79077,16118,155312,74683,65754,14875
Goa,23341,9982,4144,2618,12045,5145,2299,1336,11296,4837,1845,1282
Gujarat,1098394,171820,83101,422979,580484,95872,47054,215828,517910,75948,36047,207151
Haryana,485923,143909,59549,62335,265900,81319,33831,31666,220023,62590,25718,30669
Himachal Pradesh,96808,29376,5361,10197,50627,15738,2881,5111,46181,13638,2480,5086
Jammu and Kashmir,214955,97660,11327,5246,111798,50503,6097,2576,103157,47157,5230,2670
Jharkhand,532355,126821,30868,101286,275759,68284,17273,49679,256596,58537,13595,51607
Karnataka,1037197,27720,10223,10409,536953,14976,5189,5214,500244,12744,5034,5195
Kerala,449474,228102,70086,32350,230411,117359,36026,16629,219063,110743,34060,15721
Ladakh,3845,2388,161,142,1992,1248,96,71,1853,1140,65,71
Lakshadweep,1012,157,823,19,551,85,454,12,461,72,369,7
Madhya Pradesh,1125548,192637,40399,251096,585139,105762,22493,123876,540409,86875,17906,127220
Maharashtra,1783818,394552,228864,568225,932160,211584,124711,284848,851658,182968,104153,283377
Manipur,74484,24122,14828,13521,38092,12431,7809,6866,36392,11691,7019,6655
Meghalaya,126327,76918,7364,3512,64716,39266,3933,1834,61611,37652,3431,1678
Mizoram,29099,12464,2385,7641,15167,6445,1188,4063,13932,6019,1197,3578
Nagaland,33935,22341,2645,95,17496,11555,1409,39,16439,10786,1236,56
Odisha,600030,600030,0,0,307892,307892,0,0,292138,292138,0,0
Puducherry,17462,11046,3420,159,8742,5504,1596,91,8720,5542,1824,68
Punjab,485022,157964,38625,25198,261375,85047,21024,12789,223647,72917,17601,12409
Rajasthan,1524193,185517,98333,201925,801580,103610,54773,98179,722613,81907,43560,103746
Sikkim,5486,2745,985,229,2939,1443,563,127,2547,1302,422,102
Tamil Nadu,1009625,524170,166026,265939,523424,277831,86136,131628,486201,246339,79890,134311
Telangana,605370,205946,108895,143753,315350,109860,58251,70670,290020,96086,50644,73083
Tripura,59321,5785,3791,19294,30175,3116,2030,9412,29146,2669,1761,9882
Uttar Pradesh,3734133,181519,141508,440306,1937807,100626,78024,217216,1796326,80893,63484,223090
Uttarakhand,197253,39947,22732,33550,104991,22343,12606,16590,92262,17604,10126,16960
West Bengal,1416253,1048941,92163,92749,726640,537111,48408,47303,689613,511830,43755,45446
