India/ State /UT,Total Schools,"Number of schools having ramps withhandrails for CWSN","% of Schools having ramps withhandrails for CWSN",,,,,,,,,,,,
"","Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others,"Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others,"Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1507708,1032570,84362,337499,53277,659264,523055,32230,96860,7119,43.73,50.66,38.2,28.7,13.36
"Andaman andNicobar Islands",418,342,2,73,1,125,115,0,10,0,29.9,33.63,0,13.7,0
Andhra Pradesh,63824,45115,2234,16173,302,14496,12481,184,1809,22,22.71,27.66,8.24,11.19,7.28
Arunachal Pradesh,3666,3056,65,493,52,490,442,7,37,4,13.37,14.46,10.77,7.51,7.69
Assam,65907,47157,5024,6074,7652,32921,32391,129,327,74,49.95,68.69,2.57,5.38,0.97
Bihar,90275,72610,721,7630,9314,32884,29606,176,1581,1521,36.43,40.77,24.41,20.72,16.33
Chandigarh,229,121,7,74,27,117,72,2,40,3,51.09,59.5,28.57,54.05,11.11
Chhattisgarh,56303,48547,431,7008,317,24346,23482,71,789,4,43.24,48.37,16.47,11.26,1.26
"Dadra and NagarHaveli",346,300,4,42,0,307,299,3,5,0,88.73,99.67,75,11.9,0
Daman and Diu,137,109,4,23,1,117,97,4,16,0,85.4,88.99,100,69.57,0
Delhi,5669,2767,250,2652,0,5669,2767,250,2652,0,100,100,100,100,0
Goa,1482,827,517,138,0,753,675,62,16,0,50.81,81.62,11.99,11.59,0
Gujarat,54629,35040,5688,13898,3,30758,24940,1965,3852,1,56.3,71.18,34.55,27.72,33.33
Haryana,23699,14484,17,8195,1003,9584,6551,7,2846,180,40.44,45.23,41.18,34.73,17.95
Himachal Pradesh,18185,15398,0,2786,1,10322,10035,0,287,0,56.76,65.17,0,10.3,0
"Jammu andKashmir",28863,23165,1,5585,112,3628,3279,0,344,5,12.57,14.15,0,6.16,4.46
Jharkhand,45596,35931,1173,1522,6970,15740,14764,85,259,632,34.52,41.09,7.25,17.02,9.07
Karnataka,77166,49834,7244,20069,19,30465,24768,1728,3968,1,39.48,49.7,23.85,19.77,5.26
Kerala,16665,5014,7193,3282,1176,8533,3510,4367,507,149,51.2,70,60.71,15.45,12.67
Ladakh,1054,913,29,112,0,64,57,0,7,0,6.07,6.24,0,6.25,0
Lakshadweep,45,45,0,0,0,10,10,0,0,0,22.22,22.22,0,0,0
Madhya Pradesh,133379,99411,790,31201,1977,40683,30108,258,9989,328,30.5,30.29,32.66,32.01,16.59
Maharashtra,110229,65886,23791,19654,898,82279,54547,16144,11259,329,74.64,82.79,67.86,57.29,36.64
Manipur,4663,2876,585,1015,187,1746,1536,114,84,12,37.44,53.41,19.49,8.28,6.42
Meghalaya,14730,7799,4180,2198,553,2599,2213,270,95,21,17.64,28.38,6.46,4.32,3.8
Mizoram,3924,2552,231,1046,95,680,646,10,24,0,17.33,25.31,4.33,2.29,0
Nagaland,2758,2011,0,746,1,400,357,0,43,0,14.5,17.75,0,5.76,0
Odisha,67020,53260,5839,6375,1546,46519,40146,1898,3821,654,69.41,75.38,32.51,59.94,42.3
Puducherry,741,422,33,286,0,418,355,6,57,0,56.41,84.12,18.18,19.93,0
Punjab,28775,19377,457,8623,318,28274,18876,457,8623,318,98.26,97.41,100,100,100
Rajasthan,106240,67660,0,36056,2524,38362,30641,0,7620,101,36.11,45.29,0,21.13,4
Sikkim,1277,851,19,407,0,135,120,1,14,0,10.57,14.1,5.26,3.44,0
Tamil Nadu,58897,37579,8328,12382,608,16562,13959,1161,1384,58,28.12,37.15,13.94,11.18,9.54
Telangana,42575,30001,702,11688,184,14492,7141,74,7226,51,34.04,23.8,10.54,61.82,27.72
Tripura,4940,4275,45,352,268,994,950,10,23,11,20.12,22.22,22.22,6.53,4.1
Uttar Pradesh,254352,137638,8048,93750,14916,107130,75983,2720,25942,2485,42.12,55.2,33.8,27.67,16.66
Uttarakhand,23295,16741,617,5467,470,8110,7408,60,606,36,34.81,44.25,9.72,11.08,7.66
West Bengal,95755,83456,93,10424,1782,48552,47728,7,698,119,50.7,57.19,7.53,6.7,6.68
