India/ State /UT,Number of teachers by Gender and Classes Taught – Private Unaided Recognized,,,,,,,,
"",Primary & Upper Primary,Upper Primary Only,Upper Primary & Secondary,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22)
India,114673,244103,358776,338099,476383,814482,106413,116008,222421
Andaman and Nicobar Islands,26,75,101,40,139,179,21,52,73
Andhra Pradesh,3288,6910,10198,6911,10106,17017,16615,14197,30812
Arunachal Pradesh,462,507,969,653,707,1360,109,93,202
Assam,5017,6725,11742,10285,9938,20223,3722,3365,7087
Bihar,7587,5540,13127,28310,21285,49595,4492,2275,6767
Chandigarh,59,461,520,28,499,527,68,521,589
Chhattisgarh,5058,10222,15280,4601,8484,13085,2128,3117,5245
Dadra and Nagar Haveli,7,37,44,53,174,227,10,22,32
Daman and Diu,24,72,96,5,56,61,19,28,47
Delhi,0,0,0,2013,13145,15158,0,0,0
Goa,20,105,125,15,106,121,18,106,124
Gujarat,1572,4455,6027,12119,29831,41950,771,1221,1992
Haryana,2793,10100,12893,6607,17103,23710,4434,9726,14160
Himachal Pradesh,1030,4085,5115,2152,5565,7717,1226,2990,4216
Jammu and Kashmir,1394,2053,3447,9535,13745,23280,877,807,1684
Jharkhand,1364,1891,3255,2833,3234,6067,1957,1697,3654
Karnataka,8637,25938,34575,6634,21729,28363,875,2434,3309
Kerala,334,2779,3113,1810,16961,18771,431,2346,2777
Ladakh,27,66,93,238,326,564,27,36,63
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,8339,12679,21018,57836,79977,137813,2963,4037,7000
Maharashtra,4246,12231,16477,8895,26153,35048,4085,8221,12306
Manipur,1567,1939,3506,2051,2038,4089,1251,904,2155
Meghalaya,243,485,728,491,1025,1516,110,227,337
Mizoram,267,301,568,1004,1067,2071,1,2,3
Nagaland,474,779,1253,1327,1920,3247,326,341,667
Odisha,6112,10344,16456,6096,8043,14139,1094,1325,2419
Puducherry,179,829,1008,126,581,707,246,635,881
Punjab,0,0,0,4836,32680,37516,1,3,4
Rajasthan,22290,26222,48512,42568,33444,76012,31272,17470,48742
Sikkim,63,110,173,230,473,703,37,32,69
Tamil Nadu,8014,46822,54836,2146,16928,19074,3890,12625,16515
Telangana,6225,19174,25399,4119,11900,16019,7475,10122,17597
Tripura,193,142,335,672,550,1222,137,83,220
Uttar Pradesh,14377,23719,38096,101400,74936,176336,13698,11827,25525
Uttarakhand,923,2843,3766,4340,8264,12604,728,1254,1982
West Bengal,2462,3463,5925,5120,3271,8391,1299,1867,3166
