India/ State /UT,Enrolment of age group 11-13 years,,,,,
"",Upper Primary (6 to 8),Secondary (9-10),,,,
"",Boys,Girls,Total,Boys,Girls,Total
(1),(44),(45),(46),(47),(48),(49)
India,26477634,24989099,51466733,3912161,3660970,7573131
Andaman and Nicobar Islands,7166,7139,14305,846,798,1644
Andhra Pradesh,862404,804864,1667268,151525,166745,318270
Arunachal Pradesh,28382,29881,58263,3236,3636,6872
Assam,758821,809174,1567995,57105,62965,120070
Bihar,2944526,3070346,6014872,494559,499452,994011
Chandigarh,28412,24520,52932,2745,2716,5461
Chhattisgarh,589052,578768,1167820,37578,38229,75807
Dadra and Nagar Haveli,8451,7627,16078,943,1039,1982
Daman and Diu,4269,3860,8129,378,527,905
Delhi,469516,418778,888294,81486,61596,143082
Goa,31479,29352,60831,2096,1746,3842
Gujarat,1312092,1161559,2473651,144732,108882,253614
Haryana,577666,465443,1043109,132323,123904,256227
Himachal Pradesh,136724,124325,261049,30693,28278,58971
Jammu and Kashmir,209343,192134,401477,52331,47423,99754
Jharkhand,824345,837591,1661936,91047,86319,177366
Karnataka,1430586,1348750,2779336,98400,103350,201750
Kerala,636492,611955,1248447,69419,66180,135599
Ladakh,4187,4367,8554,582,621,1203
Lakshadweep,1157,1161,2318,32,84,116
Madhya Pradesh,1694123,1561058,3255181,174171,150085,324256
Maharashtra,2477019,2202406,4679425,176696,167152,343848
Manipur,62579,61317,123896,8426,8404,16830
Meghalaya,68482,76654,145136,2470,3218,5688
Mizoram,23021,22718,45739,1236,1193,2429
Nagaland,35978,36125,72103,1647,1627,3274
Odisha,756937,696717,1453654,270100,260067,530167
Puducherry,23957,22704,46661,6796,6624,13420
Punjab,712956,609064,1322020,4548,5322,9870
Rajasthan,1610840,1379433,2990273,246309,194445,440754
Sikkim,10401,10746,21147,798,906,1704
Tamil Nadu,1203296,1118630,2321926,376844,391841,768685
Telangana,662828,626501,1289329,119923,146057,265980
Tripura,88217,87248,175465,1512,1582,3094
Uttar Pradesh,4254383,4008259,8262642,892446,734893,1627339
Uttarakhand,230245,208819,439064,41764,34531,76295
West Bengal,1697302,1729106,3426408,134419,148533,282952
