India/ State /UT,Number of teachers by Gender and Classes Taught – All Types of Management,,,,,,,,
"",Secondary Only,Secondary & Higher Secondary,Higher Secondary Only,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(23),(24),(25),(26),(27),(28),(29),(30),(31)
India,636503,520762,1157265,202988,134043,337031,372257,284611,656868
Andaman and Nicobar Islands,221,419,640,85,126,211,341,356,697
Andhra Pradesh,15790,11332,27122,435,497,932,14953,6577,21530
Arunachal Pradesh,1418,974,2392,361,184,545,634,339,973
Assam,30566,15840,46406,4713,3369,8082,10636,7533,18169
Bihar,32019,10410,42429,8141,2733,10874,13374,4053,17427
Chandigarh,117,500,617,128,511,639,217,751,968
Chhattisgarh,10835,8926,19761,16416,12938,29354,7414,5472,12886
Dadra and Nagar Haveli,196,262,458,8,16,24,106,147,253
Daman and Diu,141,136,277,73,45,118,76,63,139
Delhi,8938,17414,26352,0,0,0,10349,17690,28039
Goa,794,2035,2829,30,29,59,647,1440,2087
Gujarat,31503,17812,49315,2473,1886,4359,20529,12433,32962
Haryana,7177,10754,17931,16758,19943,36701,7010,9155,16165
Himachal Pradesh,5272,5433,10705,3221,2719,5940,9131,6164,15295
Jammu and Kashmir,14390,10617,25007,189,145,334,6451,3661,10112
Jharkhand,11126,7169,18295,2175,1186,3361,5532,3034,8566
Karnataka,58958,49883,108841,397,593,990,20181,14263,34444
Kerala,16780,46014,62794,388,1372,1760,11762,26883,38645
Ladakh,479,337,816,38,8,46,231,113,344
Lakshadweep,104,75,179,45,29,74,81,66,147
Madhya Pradesh,35917,26733,62650,6110,4898,11008,18563,12680,31243
Maharashtra,85057,53535,138592,3009,2987,5996,42313,26808,69121
Manipur,2769,2208,4977,547,400,947,1731,1586,3317
Meghalaya,4217,4553,8770,180,177,357,967,1686,2653
Mizoram,2850,1411,4261,17,3,20,1007,851,1858
Nagaland,2153,2022,4175,146,180,326,577,907,1484
Odisha,38248,16423,54671,484,326,810,7204,3630,10834
Puducherry,421,770,1191,341,468,809,690,784,1474
Punjab,20101,50221,70322,0,0,0,15333,28466,43799
Rajasthan,34516,15518,50034,57625,21867,79492,31070,11642,42712
Sikkim,689,747,1436,27,25,52,655,705,1360
Tamil Nadu,19350,45139,64489,10979,15701,26680,24617,31343,55960
Telangana,15633,19818,35451,1678,1698,3376,20220,10293,30513
Tripura,4864,2335,7199,97,71,168,3530,2529,6059
Uttar Pradesh,92478,43839,136317,29214,15245,44459,47439,20213,67652
Uttarakhand,10984,7003,17987,2385,1903,4288,8051,4092,12143
West Bengal,19432,12145,31577,34075,19765,53840,8635,6203,14838
