India/ State /UT,Number of teachers by Gender and Classes Taught – All Types of Management,,,,,,,,,,,
"",Total,Pre-Primary Only,Pre-Primary & Primary,Primary Only,,,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,4771638,4915939,9687577,26960,100341,127301,172632,186424,359056,1576428,1968224,3544652
Andaman and Nicobar Islands,2007,3724,5731,48,177,225,16,92,108,597,1367,1964
Andhra Pradesh,159302,158128,317430,0,0,0,0,0,0,62603,78082,140685
Arunachal Pradesh,12657,11215,23872,27,125,152,150,237,387,4776,4878,9654
Assam,223930,145684,369614,181,833,1014,2242,2703,4945,86256,64118,150374
Bihar,362020,241850,603870,399,1258,1657,1162,1885,3047,97596,85933,183529
Chandigarh,1895,8244,10139,3,483,486,7,111,118,552,2326,2878
Chhattisgarh,139679,128917,268596,121,1887,2008,551,2168,2719,59973,58550,118523
Dadra and Nagar Haveli,1172,2087,3259,1,127,128,0,19,19,472,946,1418
Daman and Diu,547,1045,1592,0,30,30,1,8,9,99,449,548
Delhi,40497,117150,157647,95,8746,8841,0,0,0,9820,45666,55486
Goa,2741,10939,13680,0,232,232,5,45,50,330,4005,4335
Gujarat,184400,215510,399910,154,2023,2177,515,2688,3203,69713,105610,175323
Haryana,96658,160708,257366,45,2722,2767,115,964,1079,31271,65143,96414
Himachal Pradesh,50843,54364,105207,46,1145,1191,238,941,1179,14288,17042,31330
Jammu and Kashmir,91087,82096,173183,342,2418,2760,1912,3928,5840,31508,30158,61666
Jharkhand,135626,89161,224787,107,938,1045,442,1165,1607,60206,41466,101672
Karnataka,192802,257790,450592,40,1171,1211,76,524,600,36315,76192,112507
Kerala,58356,217575,275931,84,7385,7469,20,337,357,14064,77431,91495
Ladakh,3105,3092,6197,39,86,125,69,112,181,669,1110,1779
Lakshadweep,586,647,1233,0,36,36,0,1,1,164,207,371
Madhya Pradesh,328421,280199,608620,415,3671,4086,883,2857,3740,141834,104488,246322
Maharashtra,408754,375093,783847,123,3343,3466,735,2463,3198,155191,185000,340191
Manipur,20931,24390,45321,23,373,396,209,981,1190,8189,11190,19379
Meghalaya,23959,32531,56490,60,369,429,888,2123,3011,9131,14226,23357
Mizoram,12731,10416,23147,8,95,103,59,107,166,3401,4227,7628
Nagaland,14769,17145,31914,33,207,240,266,457,723,5410,6857,12267
Odisha,196532,160503,357035,0,19,19,1,15,16,74612,76056,150668
Puducherry,3421,10068,13489,1,554,555,13,131,144,645,3934,4579
Punjab,68145,213528,281673,320,8503,8823,2925,10497,13422,15303,65869,81172
Rajasthan,463405,310616,774021,902,8791,9693,7223,12604,19827,123229,108287,231516
Sikkim,5968,8590,14558,54,765,819,35,132,167,2832,4056,6888
Tamil Nadu,140687,422075,562762,162,8211,8373,135,4299,4434,28799,165855,194654
Telangana,131671,173926,305597,108,1120,1228,1305,4798,6103,35554,62256,97810
Tripura,31651,15077,46728,56,123,179,143,178,321,15086,6459,21545
Uttar Pradesh,781036,642959,1423995,276,4708,4984,3065,6453,9518,356830,355126,711956
Uttarakhand,55807,66375,122182,53,975,1028,203,760,963,19065,33626,52691
West Bengal,323840,242522,566362,22634,26692,49326,147023,119641,266664,45,33,78
