India/ State /UT,Enrolment – Others,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),"Primary to Higher Secondary(1-12)","Total (Pre-Primary to HigherSecondary)",,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,142657,150252,292909,46267,50719,96986,3687114,3214723,6901837,4251473,3636636,7888109
Andaman and Nicobar Islands,0,0,0,0,0,0,5,3,8,15,16,31
Andhra Pradesh,89,234,323,150,109,259,10571,10924,21495,11006,11260,22266
Arunachal Pradesh,0,0,0,0,0,0,2649,1993,4642,3344,2577,5921
Assam,23444,26603,50047,8945,8963,17908,182141,181511,363652,193536,192594,386130
Bihar,26057,33289,59346,15578,19070,34648,1035224,853826,1889050,1223799,978649,2202448
Chandigarh,47,25,72,11,8,19,3278,2131,5409,5662,3969,9631
Chhattisgarh,0,0,0,0,0,0,8561,6223,14784,8606,6253,14859
Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0,0,0,0
Daman and Diu,29,0,29,33,0,33,285,0,285,285,0,285
Delhi,0,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,147,159,306,13,44,57,551,638,1189,551,638,1189
Haryana,869,444,1313,137,103,240,67924,49766,117690,86667,64661,151328
Himachal Pradesh,0,0,0,0,0,0,12,4,16,12,4,16
Jammu and Kashmir,211,269,480,0,54,54,4853,3440,8293,6045,4452,10497
Jharkhand,19365,18510,37875,1145,1445,2590,670640,499848,1170488,876781,649958,1526739
Karnataka,17,18,35,0,0,0,389,253,642,405,268,673
Kerala,789,709,1498,126,271,397,68422,61313,129735,92921,83140,176061
Ladakh,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,46,48,94,16,21,37,69531,68444,137975,69936,69006,138942
Maharashtra,4060,2180,6240,189,155,344,71772,57011,128783,86206,69761,155967
Manipur,42,58,100,0,0,0,9492,8730,18222,13432,12425,25857
Meghalaya,2333,3191,5524,837,1124,1961,14033,15720,29753,19611,21127,40738
Mizoram,619,575,1194,363,334,697,2733,2603,5336,3498,3360,6858
Nagaland,0,0,0,0,0,0,26,30,56,50,56,106
Odisha,3989,3008,6997,1409,833,2242,65153,47307,112460,65249,47388,112637
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,3159,3099,6258,3427,4658,8085,30812,27949,58761,39552,35281,74833
Rajasthan,1313,1404,2717,382,435,817,87271,81931,169202,89406,84025,173431
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,1751,1331,3082,1318,900,2218,30003,24100,54103,46128,37627,83755
Telangana,60,6,66,0,0,0,5558,5796,11354,5619,5875,11494
Tripura,192,47,239,38,18,56,7743,5606,13349,10226,7619,17845
Uttar Pradesh,50741,50757,101498,11403,11301,22704,1084526,1067269,2151795,1090011,1072818,2162829
Uttarakhand,1270,1510,2780,349,424,773,32720,29078,61798,33570,29793,63363
West Bengal,2018,2778,4796,398,449,847,120236,101276,221512,169344,142036,311380
