India/ State /UT,"TotalSchools","Number of schools having drinking water facility withinschool premises – Government aided","No. of Govt.aided schoolsnot havingdrinking waterfacility withinschool premises","% of Govt. aidedschools havingdrinking waterfacility withinschool premises",,,,,,
"",,"Any sourceof drinkingwater","TapWater","PackedWater","HandPump",Well,"UnprotectedWell","Othersources",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,84362,81179,52010,845,17549,6348,293,4134,3183,96.23
Andaman and Nicobar Islands,2,2,2,0,0,0,0,0,0,100
Andhra Pradesh,2234,2176,2176,0,0,0,0,0,58,97.4
Arunachal Pradesh,65,64,59,0,1,1,0,3,1,98.46
Assam,5024,4298,256,11,3490,266,63,212,726,85.55
Bihar,721,719,142,4,568,0,0,5,2,99.72
Chandigarh,7,7,7,0,0,0,0,0,0,100
Chhattisgarh,431,429,201,0,223,4,0,1,2,99.54
Dadra and Nagar Haveli,4,4,4,0,0,0,0,0,0,100
Daman and Diu,4,4,4,0,0,0,0,0,0,100
Delhi,250,250,250,0,0,0,0,0,0,100
Goa,517,517,515,1,0,1,0,0,0,100
Gujarat,5688,5688,4690,88,461,196,10,243,0,100
Haryana,17,17,17,0,0,0,0,0,0,100
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,1,1,1,0,0,0,0,0,0,100
Jharkhand,1173,1148,252,1,831,26,1,37,25,97.87
Karnataka,7244,7241,6691,80,182,148,4,136,3,99.96
Kerala,7193,7188,2583,36,162,4096,39,272,5,99.93
Ladakh,29,24,14,0,9,0,0,1,5,82.76
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,790,746,354,3,284,18,2,85,44,94.43
Maharashtra,23791,23762,17725,162,2475,1272,36,2092,29,99.88
Manipur,585,533,76,49,24,21,0,363,52,91.11
Meghalaya,4180,2075,1460,18,73,199,128,197,2105,49.64
Mizoram,231,229,172,1,0,0,1,55,2,99.13
Nagaland,0,0,0,0,0,0,0,0,0,0
Odisha,5839,5839,1923,169,3674,41,5,27,0,100
Puducherry,33,33,33,0,0,0,0,0,0,100
Punjab,457,457,401,0,13,1,0,42,0,100
Rajasthan,0,0,0,0,0,0,0,0,0,0
Sikkim,19,19,19,0,0,0,0,0,0,100
Tamil Nadu,8328,8328,7835,139,134,33,1,186,0,100
Telangana,702,700,557,38,38,6,0,61,2,99.72
Tripura,45,41,30,0,4,3,0,4,4,91.11
Uttar Pradesh,8048,7952,2992,35,4811,13,1,100,96,98.81
Uttarakhand,617,597,498,6,79,2,1,11,20,96.76
West Bengal,93,91,71,4,13,1,1,1,2,97.85
