India/ State /UT,Number of teachers by Gender and Classes Taught – Government Aided,,,,,,,,
"",Secondary Only,Secondary & Higher Secondary,Higher Secondary Only,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(23),(24),(25),(26),(27),(28),(29),(30),(31)
India,172818,86596,259414,9494,5148,14642,80640,52058,132698
Andaman and Nicobar Islands,5,10,15,0,0,0,5,14,19
Andhra Pradesh,78,80,158,0,0,0,665,476,1141
Arunachal Pradesh,107,39,146,45,13,58,19,2,21
Assam,5238,2154,7392,40,8,48,1860,950,2810
Bihar,891,256,1147,101,54,155,103,53,156
Chandigarh,4,18,22,7,38,45,21,49,70
Chhattisgarh,164,107,271,157,145,302,168,113,281
Dadra and Nagar Haveli,16,3,19,0,0,0,0,0,0
Daman and Diu,9,23,32,1,0,1,26,15,41
Delhi,311,764,1075,0,0,0,555,1003,1558
Goa,587,1615,2202,0,0,0,557,1233,1790
Gujarat,19433,6882,26315,794,339,1133,11289,5451,16740
Haryana,5,35,40,19,46,65,15,41,56
Himachal Pradesh,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,0,1,1,0,0,0,0,0,0
Jharkhand,349,346,695,23,15,38,181,76,257
Karnataka,18135,7625,25760,67,26,93,3712,1621,5333
Kerala,9076,21461,30537,45,87,132,5558,10969,16527
Ladakh,6,2,8,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,647,456,1103,105,127,232,452,426,878
Maharashtra,66864,24574,91438,1178,484,1662,30592,15279,45871
Manipur,165,117,282,8,2,10,64,37,101
Meghalaya,2579,2139,4718,58,62,120,417,594,1011
Mizoram,685,286,971,0,0,0,194,143,337
Nagaland,0,0,0,0,0,0,0,0,0
Odisha,17813,3250,21063,0,0,0,3506,1522,5028
Puducherry,18,69,87,14,27,41,28,63,91
Punjab,617,1223,1840,0,0,0,544,1147,1691
Rajasthan,0,0,0,0,0,0,0,0,0
Sikkim,15,22,37,3,3,6,18,15,33
Tamil Nadu,3874,6703,10577,1464,1979,3443,4321,6513,10834
Telangana,198,508,706,0,0,0,188,251,439
Tripura,241,104,345,0,0,0,336,201,537
Uttar Pradesh,23652,5126,28778,5000,1371,6371,14437,3273,17710
Uttarakhand,941,524,1465,295,220,515,759,480,1239
West Bengal,95,74,169,70,102,172,50,48,98
