India/ State /UT,Number of Teachers in Government Aided Schools,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12),
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
India,820301,83486,107986,53002,93278,62630,51103,147145,133795,56385,31491
Andaman and Nicobar Islands,72,0,0,0,0,0,0,72,0,0,0
Andhra Pradesh,7616,2624,1015,0,42,2765,0,0,34,0,1136
Arunachal Pradesh,986,93,197,0,362,0,0,334,0,0,0
Assam,36349,4,29,24826,109,1552,6502,173,443,20,2691
Bihar,3824,82,1573,78,437,459,446,28,294,344,83
Chandigarh,308,0,0,0,0,0,0,229,79,0,0
Chhattisgarh,2687,701,347,298,102,4,7,455,473,300,0
Dadra and Nagar Haveli,61,0,0,0,61,0,0,0,0,0,0
Daman and Diu,131,0,0,0,24,0,0,35,72,0,0
Delhi,5027,254,141,54,127,218,0,2839,1391,3,0
Goa,8527,534,49,30,3863,2255,6,0,0,0,1790
Gujarat,47700,415,1400,1256,14,100,6750,339,1159,36014,253
Haryana,451,7,0,0,47,6,0,386,5,0,0
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,17,0,0,0,17,0,0,0,0,0,0
Jharkhand,5715,976,2764,35,182,1208,62,96,170,39,183
Karnataka,46366,578,13825,128,979,374,22909,254,74,2239,5006
Kerala,117332,22810,28025,5692,2390,6676,1388,6438,30548,13305,60
Ladakh,80,55,11,0,14,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,4956,783,912,163,81,20,127,1112,1010,748,0
Maharashtra,298581,20777,40679,0,81062,19574,80,114043,8464,192,13710
Manipur,2623,1072,431,128,449,340,68,44,0,0,91
Meghalaya,17881,6583,102,4349,90,1778,3109,157,456,601,656
Mizoram,1824,0,0,516,0,0,971,0,0,0,337
Nagaland,0,0,0,0,0,0,0,0,0,0,0
Odisha,33247,835,169,2960,157,15694,8385,0,19,0,5028
Puducherry,992,31,0,0,344,0,0,617,0,0,0
Punjab,5546,216,208,9,374,145,3,3422,1169,0,0
Rajasthan,0,0,0,0,0,0,0,0,0,0,0
Sikkim,209,17,12,0,16,14,0,120,30,0,0
Tamil Nadu,77609,21358,12692,134,367,5243,11,3098,34590,116,0
Telangana,4006,1211,428,0,561,1367,0,0,0,0,439
Tripura,1214,36,11,0,63,0,1,839,264,0,0
Uttar Pradesh,82305,1116,2888,11644,901,2505,234,11174,49559,2267,17
Uttarakhand,5104,57,71,700,37,297,44,633,3057,197,11
West Bengal,955,261,7,2,6,36,0,208,435,0,0
