India/ State /UT,Enrolment – Private Unaided Recognized Schools,,,,,,
"","Total(Pre-primaryto 12)","Pre-Primary","Primary(1 to 5)","UpperPrimary(6-8)","Elementary(1-8)","Secondary(9-10)","HigherSecondary(11-12)"
(1),(2),(3),(4),(5),(6),(7),(8)
India,98209302,9296290,44168879,20830223,64999102,13358800,10555110
Andaman and Nicobar Islands,23076,5039,10485,4366,14851,2092,1094
Andhra Pradesh,4007299,164402,1872734,822731,2695465,510687,636745
Arunachal Pradesh,111958,21030,60116,21072,81188,7008,2732
Assam,1640289,237836,771934,338797,1110731,185108,106614
Bihar,3350418,330078,1341130,634629,1975759,492063,552518
Chandigarh,94069,14605,34050,20020,54070,13285,12109
Chhattisgarh,1932268,349751,852859,384223,1237082,203424,142011
Dadra and Nagar Haveli,26068,3154,13076,5466,18542,2721,1651
Daman and Diu,15575,2353,8244,3000,11244,1524,454
Delhi,1908759,192282,905585,418481,1324066,217662,174749
Goa,43585,8971,27140,4064,31204,2159,1251
Gujarat,4708909,325392,2211911,1167623,3379534,576260,427723
Haryana,3711339,308939,1572779,866679,2439458,569916,393026
Himachal Pradesh,630841,96756,278730,132342,411072,77739,45274
Jammu and Kashmir,1260284,257651,554326,266608,820934,135565,46134
Jharkhand,1366963,81731,361712,289648,651360,322320,311552
Karnataka,5685875,575879,2662937,1191388,3854325,660568,595103
Kerala,1821731,247847,886914,376022,1262936,201484,109464
Ladakh,29135,6237,13139,6448,19587,2727,584
Lakshadweep,0,0,0,0,0,0,0
Madhya Pradesh,7288066,898805,3379752,1645901,5025653,817079,546529
Maharashtra,6663311,576278,3252207,1392213,4644420,815370,627243
Manipur,462744,56383,188731,108440,297171,63556,45634
Meghalaya,263365,58526,121296,31094,152390,32564,19885
Mizoram,152137,27658,69737,29576,99313,13909,11257
Nagaland,286077,46645,115064,62224,177288,38677,23467
Odisha,1494954,1702,765148,293729,1058877,122586,311789
Puducherry,160188,22696,64994,34137,99131,20841,17520
Punjab,3345863,525512,1326768,715735,2042503,469564,308284
Rajasthan,9242216,1153388,4049469,1957547,6007016,1172324,909488
Sikkim,48833,13630,23515,7278,30793,3120,1290
Tamil Nadu,6415398,1157772,2818122,1161994,3980116,701391,576119
Telangana,3984609,264443,1890235,826236,2716471,506682,497013
Tripura,129352,26656,60120,24589,84709,11990,5997
Uttar Pradesh,22069303,451733,9646636,4955895,14602531,4114954,2900085
Uttarakhand,1298229,125020,625108,294418,919526,145684,107999
West Bengal,2536216,659510,1332176,335610,1667786,124197,
