India/ State /UT,"TotalSchools","Number of schools having drinking water facility withinschool premises – Government","No. of schoolsnot havingdrinkingwater facilitywithin schoolpremises","% of schoolshaving drinkingwater facilitywithin schoolpremises",,,,,,
"",,"Any sourceof drinkingwater","TapWater","PackedWater","HandPump",Well,"UnprotectedWell","Othersources",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,1032570,1002603,415102,10576,495863,15915,2883,62264,29967,97.1
Andaman and Nicobar Islands,342,342,313,1,0,7,8,13,0,100
Andhra Pradesh,45115,38687,38685,0,2,0,0,0,6428,85.75
Arunachal Pradesh,3056,2235,1814,10,269,64,12,66,821,73.13
Assam,47157,44667,6554,69,32677,2632,634,2101,2490,94.72
Bihar,72610,72497,8722,151,63542,9,12,61,113,99.84
Chandigarh,121,121,121,0,0,0,0,0,0,100
Chhattisgarh,48547,47657,12155,159,34478,198,34,633,890,98.17
Dadra and Nagar Haveli,300,300,264,2,26,3,0,5,0,100
Daman and Diu,109,109,90,2,1,0,0,16,0,100
Delhi,2767,2767,2767,0,0,0,0,0,0,100
Goa,827,827,817,2,0,2,0,6,0,100
Gujarat,35040,35033,26270,543,4063,779,86,3292,7,99.98
Haryana,14484,14442,11643,18,1063,176,7,1535,42,99.71
Himachal Pradesh,15398,15383,14984,45,175,24,17,138,15,99.9
Jammu and Kashmir,23165,22180,17766,169,992,192,333,2728,985,95.75
Jharkhand,35931,35329,3187,38,31171,411,52,470,602,98.32
Karnataka,49834,49711,44797,833,1632,1121,73,1255,123,99.75
Kerala,5014,4961,1829,20,136,2674,42,260,53,98.94
Ladakh,913,617,370,14,136,4,5,88,296,67.58
Lakshadweep,45,45,39,0,0,5,0,1,0,100
Madhya Pradesh,99411,97814,9200,319,75521,1324,106,11344,1597,98.39
Maharashtra,65886,65167,41476,626,13331,1567,292,7875,719,98.91
Manipur,2876,2639,372,270,72,57,32,1836,237,91.76
Meghalaya,7799,3005,1594,57,127,390,382,455,4794,38.53
Mizoram,2552,2254,1591,48,1,25,15,574,298,88.32
Nagaland,2011,1261,699,29,33,91,40,369,750,62.71
Odisha,53260,53258,14691,682,37149,190,27,519,2,100
Puducherry,422,422,415,2,0,0,0,5,0,100
Punjab,19377,19377,11417,12,1518,12,2,6416,0,100
Rajasthan,67660,65168,25460,549,24438,2857,271,11593,2492,96.32
Sikkim,851,850,812,2,1,2,5,28,1,99.88
Tamil Nadu,37579,37579,36180,243,303,124,5,724,0,100
Telangana,30001,28136,16116,1625,6677,346,0,3372,1865,93.78
Tripura,4275,3383,1640,11,1236,149,67,280,892,79.13
Uttar Pradesh,137638,135609,12238,226,122141,49,7,948,2029,98.53
Uttarakhand,16741,15675,13322,74,1772,25,32,450,1066,93.63
West Bengal,83456,83096,34692,3725,41180,406,285,2808,360,99.57
