India/ State /UT,Projected population by age group – Scheduled Tribes (ST),,,,,,,,
"",Age 3-5,Age 6-10,Age 11-13,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,4427494,4152658,8580152,6127077,5824570,11951647,3573436,3433904,7007340
Andaman and Nicobar Islands,1136,1094,2230,1415,1219,2634,836,733,1569
Andhra Pradesh,87937,81696,169634,130295,121173,251469,75425,71118,146543
Arunachal Pradesh,31677,29962,61639,53305,51490,104795,36874,37175,74049
Assam,137177,125068,262245,199008,187787,386795,130780,128393,259173
Bihar,68228,63926,132153,95035,90386,185421,55609,54535,110144
Chandigarh,-,-,-,-,-,-,-,-,-
Chhattisgarh,342705,333237,675942,463363,447437,910800,254638,251327,505965
Dadra and Nagar Haveli,9168,8838,18006,13846,12608,26454,8867,8243,17110
Daman and Diu,544,519,1064,887,821,1708,558,497,1056
Delhi,-,-,-,-,-,-,-,-,-
Goa,4589,4351,8940,6997,6455,13452,4584,4168,8752
Gujarat,407803,369852,777655,515977,486522,1002499,295568,282591,578159
Haryana,-,-,-,-,-,-,-,-,-
Himachal Pradesh,11317,10726,22043,16897,15527,32424,10960,10236,21196
Jammu and Kashmir,47144,45735,92879,82501,76686,159188,58778,51185,109963
Jharkhand,374904,353572,728476,524677,500729,1025406,322408,319629,642037
Karnataka,148236,139425,287661,201869,192941,394811,122271,117970,240241
Kerala,14668,13836,28505,21700,20226,41926,13197,12828,26026
Ladakh,9791,9308,19099,13370,12111,25481,8646,7663,16309
Lakshadweep,2184,2051,4235,3283,3054,6336,1952,2184,4136
Madhya Pradesh,833906,791527,1625433,1058062,1027195,2085257,551625,547436,1099060
Maharashtra,388750,363664,752414,587713,548587,1136300,361618,332752,694370
Manipur,33096,29747,62843,62421,56560,118981,45901,41906,87807
Meghalaya,100770,95365,196135,144590,138967,283557,96673,94721,191394
Mizoram,31263,29541,60804,47640,45518,93158,32357,30960,63317
Nagaland,53873,49002,102875,90729,83837,174566,65251,60333,125585
Odisha,383997,377350,761348,553813,548167,1101980,303511,295477,598988
Puducherry,-,-,-,-,-,-,-,-,-
Punjab,-,-,-,-,-,-,-,-,-
Rajasthan,479883,433478,913361,627665,574767,1202432,339237,313603,652840
Sikkim,4586,4311,8897,8770,8477,17247,6869,6701,13569
Tamil Nadu,28366,25206,53572,40078,36776,76855,22397,21038,43435
Telangana,117919,103102,221021,173236,157609,330845,105601,96468,202069
Tripura,37204,34903,72108,55402,52346,107748,40358,38166,78524
Uttar Pradesh,61343,56235,117578,77480,72403,149882,39831,38066,77897
Uttarakhand,8616,7652,16268,13411,12005,25416,9570,8816,18386
West Bengal,164713,158379,323092,241644,234185,475829,150687,146987,297674
