India/ State /UT,Age-Specific Enrolment Rate (ASER),,,,,,,,,,,,,,
"",Age 6-10 years,Age 11-13 years,Age 6-13 years,Age 14-15 years,Age 16-17 years,,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,96.3,98.4,97.3,89.1,90.2,89.6,93.6,95.3,94.4,72.2,72.6,72.4,43.5,44.9,44.2
"Andaman andNicobar Islands",73.4,77.8,75.5,73.7,76.5,75.1,73.5,77.3,75.3,64.4,73.7,68.7,44.8,53.3,48.8
Andhra Pradesh,96.7,95.2,95.9,93.8,90.5,92.1,95.6,93.4,94.5,77.5,76.8,77.1,41.0,42.4,41.7
Arunachal Pradesh,98.0,100,99.1,81.3,85.6,83.5,91.2,94.2,92.7,65.7,73.7,69.6,36.4,41.3,38.9
Assam,100,100,100,85.5,93.6,89.5,100,100,100,63.6,75.1,69.3,31.3,34.8,33.0
Bihar,89.4,92.8,91.0,83.5,90.7,87.0,87.2,92.0,89.5,48.5,51.6,50.0,21.1,22.3,21.7
Chandigarh,77.6,87.2,81.9,94.1,100,98.6,83.9,93.6,88.2,84.3,95.6,89.1,62.1,73.2,66.7
Chhattisgarh,92.1,92.4,92.2,85.6,86.1,85.9,89.7,90.1,89.9,79.3,84.4,81.8,52.3,60.7,56.4
"Dadra and NagarHaveli",85.4,90.6,87.8,93.9,95.5,94.6,88.5,92.4,90.3,84.6,93.2,88.5,47.7,62.0,53.7
Daman and Diu,77.3,82.7,79.8,90.2,95.2,92.5,82.0,87.2,84.4,66.1,82.0,72.8,30.1,55.7,38.9
Delhi,100,100,100,100,100,100,100,100,100,99.8,100,100,59.0,67.2,62.7
Goa,92.0,96.3,94.1,89.8,91.3,90.5,91.2,94.4,92.7,83.6,86.9,85.1,53.7,64.5,58.8
Gujarat,88.8,92.0,90.3,86.1,85.8,86.0,87.8,89.7,88.7,76.8,68.5,72.9,42.1,40.2,41.2
Haryana,95.8,96.5,96.1,100.0,98.3,99.2,97.3,97.2,97.3,86.3,82.6,84.6,51.7,48.5,50.3
Himachal Pradesh,100,100,100,97.0,98.6,97.9,100,100,100,91.8,93.3,92.5,64.7,68.0,66.2
"Jammu andKashmir",84.0,86.4,85.2,61.0,64.6,62.6,74.2,77.2,75.6,47.7,48.6,48.1,30.8,30.7,30.8
Jharkhand,96.0,96.5,96.2,84.1,87.3,85.7,91.5,92.9,92.2,57.5,60.5,59.0,32.3,35.0,33.6
Karnataka,100,100,100,100.0,99.2,99.6,100,100,100,84.0,83.3,83.7,41.7,47.1,44.3
Kerala,96.1,95.9,95.9,97.9,97.5,97.7,96.8,96.5,96.6,93.4,94.0,93.7,69.4,75.4,72.3
Ladakh,69.5,76.7,73.0,61.1,71.5,66.0,66.2,74.7,70.2,48.0,56.4,52.1,34.4,38.9,36.6
Lakshadweep,76.7,76.2,76.4,65.4,59.1,62.1,72.5,69.0,70.8,58.5,67.7,63.0,64.6,67.6,66.1
Madhya Pradesh,85.4,85.2,85.3,88.8,86.3,87.6,86.6,85.6,86.1,74.4,70.3,72.4,45.8,44.2,45.0
Maharashtra,100,100,100,97.3,96.1,96.8,99.2,99.9,99.5,88.1,86.9,87.5,63.7,63.2,63.5
Manipur,100,100,100,88.1,91.1,89.5,100.0,100.0,100.0,70.5,73.7,72.1,46.6,45.1,45.9
Meghalaya,100,100,100,100,100,100,100,100,100,88.9,100,97.6,57.6,68.6,63.0
Mizoram,100,100,100,100,100,100,100,100,100,95.1,100,97.7,64.1,67.6,65.9
Nagaland,78.8,81.9,80.3,67.9,73.1,70.4,74.3,78.2,76.2,58.2,65.3,61.6,36.6,41.0,38.8
Odisha,89.9,89.4,89.7,95.6,92.9,94.3,92.1,90.8,91.4,54.0,53.2,53.6,38.8,41.3,40.0
Puducherry,84.2,85.6,84.9,80.8,82.3,81.5,82.9,84.3,83.6,68.8,79.1,73.6,44.5,51.1,47.7
Punjab,100,100,100,100,100,100,100,100,100,97.8,100,99.6,72.0,75.6,73.6
Rajasthan,91.8,92.8,92.3,93.1,87.4,90.4,92.3,90.7,91.6,84.1,75.6,80.0,57.3,50.5,54.0
Sikkim,85.0,82.0,83.5,76.8,77.9,77.4,81.4,80.2,80.8,79.4,83.4,81.4,62.9,69.4,66.1
Tamil Nadu,98.9,100.0,99.6,95.4,96.0,95.7,97.6,98.6,98.1,83.0,88.8,85.8,41.7,47.8,44.7
Telangana,100,100,100,95.9,96.5,96.2,100,100,100,70.3,66.0,68.2,37.7,43.5,40.5
Tripura,100,100,100,90.4,93.5,91.9,100,100,100,82.3,87.3,84.7,42.3,46.0,44.1
Uttar Pradesh,96.1,100,98.4,80.1,81.6,80.8,90.3,93.8,91.9,63.2,60.6,62.0,37.5,35.8,36.7
Uttarakhand,100,100,100,97.0,97.4,97.2,100.0,100,100,86.0,87.9,86.8,55.5,60.2,57.7
West Bengal,100,100,100,86.0,91.2,88.5,99.4,100,100,76.8,92.4,84.5,48.2,60.2,
