India/State/ UT,Total Schools,Schools with computer facility,Percentage of Schools with computer facility,,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1471891,1017660,80313,331108,42810,841327,514095,57935,251417,17880,57.2,50.5,72.1,75.9,41.8
Andaman & Nicobar Islands,412,340,2,70,0,283,214,2,67,0,68.7,62.9,100,95.7,0
Andhra Pradesh,61373,45000,991,15232,150,53556,37514,754,15145,143,87.3,83.4,76.1,99.4,95.3
Arunachal Pradesh,3490,2847,72,529,42,1487,908,67,484,28,42.6,31.9,93.1,91.5,66.7
Assam,56630,45008,2267,5725,3630,38463,34911,175,3278,99,67.9,77.6,7.7,57.3,2.7
Bihar,94686,78120,723,9167,6676,18585,9089,80,6259,3157,19.6,11.6,11.1,68.3,47.3
Chandigarh,230,119,7,77,27,230,119,7,77,27,100,100,100,100,100
Chhattisgarh,56615,48803,414,7153,245,38094,32601,197,5224,72,67.3,66.8,47.6,73,29.4
"Dadra & Nagar Haveli andDaman & Diu",432,360,8,63,1,419,347,8,63,1,97,96.4,100,100,100
Delhi,5497,2693,239,2565,0,5495,2691,239,2565,0,100,99.9,100,100,0
Goa,1487,789,557,141,0,836,169,533,134,0,56.2,21.4,95.7,95,0
Gujarat,53626,34597,5535,13490,4,52543,34044,5474,13021,4,98,98.4,98.9,96.5,100
Haryana,23517,14374,5,8415,723,22721,14121,4,7996,600,96.6,98.2,80,95,83
Himachal Pradesh,17826,15217,0,2607,2,8460,6021,0,2439,0,47.5,39.6,0,93.6,0
Jammu & Kashmir,24296,18785,1,5452,58,10055,5640,1,4374,40,41.4,30,100,80.2,69
Jharkhand,44475,35795,1146,1634,5900,33472,27406,413,1473,4180,75.3,76.6,36,90.1,70.8
Karnataka,75869,49306,7013,19542,8,40121,18695,4862,16557,7,52.9,37.9,69.3,84.7,87.5
Kerala,15864,4809,7162,3082,811,15774,4793,7150,3059,772,99.4,99.7,99.8,99.3,95.2
Ladakh,995,841,40,114,0,527,409,14,104,0,53,48.6,35,91.2,0
Lakshadweep,37,37,0,0,0,37,37,0,0,0,100,100,0,0,0
Madhya Pradesh,123412,92439,581,28910,1482,60784,37593,280,22427,484,49.3,40.7,48.2,77.6,32.7
Maharashtra,108237,65157,24173,18642,265,88203,47320,22582,18049,252,81.5,72.6,93.4,96.8,95.1
Manipur,4646,2934,584,1010,118,1556,547,46,896,67,33.5,18.6,7.9,88.7,56.8
Meghalaya,14601,7779,4168,2152,502,2751,907,1000,688,156,18.8,11.7,24,32,31.1
Mizoram,3941,2587,230,1064,60,1836,981,159,661,35,46.6,37.9,69.1,62.1,58.3
Nagaland,2725,1952,0,772,1,2296,1591,0,704,1,84.3,81.5,0,91.2,100
Odisha,61693,48671,5907,6042,1073,36628,27140,3851,4910,727,59.4,55.8,65.2,81.3,67.8
Puducherry,735,420,33,282,0,735,420,33,282,0,100,100,100,100,0
Punjab,27404,19242,444,7704,14,27073,19177,407,7479,10,98.8,99.7,91.7,97.1,71.4
Rajasthan,107757,70233,0,34729,2795,55593,26847,0,27838,908,51.6,38.2,0,80.2,32.5
Sikkim,1254,864,16,374,0,1152,783,10,359,0,91.9,90.6,62.5,96,0
Tamil Nadu,58722,37672,8314,12481,255,42686,27147,4405,10948,186,72.7,72.1,53,87.7,72.9
Telangana,42901,30022,662,12126,91,33434,22146,258,11008,22,77.9,73.8,39,90.8,24.2
Tripura,4923,4238,42,395,248,2427,2019,33,324,51,49.3,47.6,78.6,82,20.6
Uttar Pradesh,255087,137102,8291,96635,13059,102539,40223,4339,54230,3747,40.2,29.3,52.3,56.1,28.7
Uttarakhand,22551,16201,614,5252,484,19518,14118,496,4644,260,86.6,87.1,80.8,88.4,53.7
West Bengal,93945,82307,72,7480,4086,20958,15407,56,3651,1844,22.3,18.7,77.8,48.8,45.1
