India/State/ UT,Total Schools having Secondary Sections,"Schools with Secondary Sections having IntegratedScience Lab facility available","Percentage of Schools with Secondary Sections havingIntegrated Science Lab facility available",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,286494,119532,41070,120779,5113,160191,59972,25954,73361,904,55.9,50.2,63.2,60.7,17.7
Andaman & Nicobar Islands,124,101,2,21,0,97,76,1,20,0,78.2,75.2,50,95.2,0
Andhra Pradesh,12631,6863,290,5466,12,7817,3625,161,4026,5,61.9,52.8,55.5,73.7,41.7
Arunachal Pradesh,512,353,36,123,0,271,149,29,93,0,52.9,42.2,80.6,75.6,0
Assam,8953,4551,625,3378,399,2577,1639,4,927,7,28.8,36,0.6,27.4,1.8
Bihar,12078,9463,309,1808,498,2783,1692,52,990,49,23,17.9,16.8,54.8,9.8
Chandigarh,174,104,7,59,4,170,104,6,58,2,97.7,100,85.7,98.3,50
Chhattisgarh,7572,4953,106,2512,1,6071,4113,92,1866,0,80.2,83,86.8,74.3,0
"Dadra & Nagar Haveli andDaman & Diu",93,52,8,32,1,83,44,8,31,0,89.2,84.6,100,96.9,0
Delhi,2210,1124,177,909,0,2039,1021,158,860,0,92.3,90.8,89.3,94.6,0
Goa,441,86,326,29,0,420,80,312,28,0,95.2,93,95.7,96.6,0
Gujarat,12279,1919,4981,5376,3,5734,615,2345,2773,1,46.7,32,47.1,51.6,33.3
Haryana,8898,3461,4,5398,35,6808,2735,2,4053,18,76.5,79,50,75.1,51.4
Himachal Pradesh,4489,2999,0,1490,0,3913,2527,0,1386,0,87.2,84.3,0,93,0
Jammu & Kashmir,4492,2587,1,1895,9,3261,1629,1,1626,5,72.6,63,100,85.8,55.6
Jharkhand,4745,2867,169,1185,524,2774,1563,119,930,162,58.5,54.5,70.4,78.5,30.9
Karnataka,18132,6133,3732,8263,4,10486,2996,1835,5654,1,57.8,48.9,49.2,68.4,25
Kerala,4935,1300,1433,2100,102,3635,802,1160,1630,43,73.7,61.7,80.9,77.6,42.2
Ladakh,164,129,1,34,0,123,96,0,27,0,75,74.4,0,79.4,0
Lakshadweep,13,13,0,0,0,9,9,0,0,0,69.2,69.2,0,0,0
Madhya Pradesh,18321,9484,264,8570,3,11483,4974,191,6317,1,62.7,52.4,72.3,73.7,33.3
Maharashtra,26549,1980,15951,8582,36,20266,1436,12348,6461,21,76.3,72.5,77.4,75.3,58.3
Manipur,1187,469,91,627,0,575,131,26,418,0,48.4,27.9,28.6,66.7,0
Meghalaya,1696,140,676,717,163,531,56,298,148,29,31.3,40,44.1,20.6,17.8
Mizoram,736,321,135,261,19,201,167,10,20,4,27.3,52,7.4,7.7,21.1
Nagaland,794,320,0,474,0,336,93,0,243,0,42.3,29.1,0,51.3,0
Odisha,10241,5764,3354,1036,87,7924,5127,2050,706,41,77.4,88.9,61.1,68.1,47.1
Puducherry,387,135,30,222,0,308,106,26,176,0,79.6,78.5,86.7,79.3,0
Punjab,9154,3786,360,5007,1,6825,3009,262,3554,0,74.6,79.5,72.8,71,0
Rajasthan,35483,19485,0,15957,41,9468,4154,0,5310,4,26.7,21.3,0,33.3,9.8
Sikkim,271,220,9,42,0,198,161,2,35,0,73.1,73.2,22.2,83.3,0
Tamil Nadu,14666,6404,1851,6393,18,12542,6298,1404,4831,9,85.5,98.3,75.9,75.6,50
Telangana,12998,6582,246,6167,3,5726,2083,84,3558,1,44.1,31.6,34.1,57.7,33.3
Tripura,1204,1020,33,144,7,403,288,11,103,1,33.5,28.2,33.3,71.5,14.3
Uttar Pradesh,34937,2841,5417,24205,2474,17390,1670,2700,12745,275,49.8,58.8,49.8,52.7,11.1
Uttarakhand,4096,2396,406,1259,35,2861,1576,239,1032,14,69.8,65.8,58.9,82,40
West Bengal,10839,9127,40,1038,634,4083,3128,18,726,211,37.7,34.3,45,69.9,33.3
