India/State/ UT,Transition Rate,,,,,,,,
"",Primary to Upper Primary (5 to 6),Upper Primary to Secondary (8 to 9),"Secondary to Higher Secondary (10 to11)",,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,88.4,89.2,88.8,83.7,82.9,83.3,69.1,73.9,71.5
Andaman and Nicobar Islands,96.9,97.0,96.9,97.5,98.6,98.1,86.8,94.5,90.7
Andhra Pradesh,95.1,96.1,95.5,96.9,97.6,97.2,66.1,74.6,70.2
Arunachal Pradesh,86.1,91.1,88.5,78.6,80.5,79.6,58.3,61.4,59.9
Assam,82.3,87.8,85.0,79.5,85.4,82.6,54.4,50.8,52.5
Bihar,63.3,63.0,63.2,31.3,31.7,31.5,45.6,46.9,46.2
Chandigarh,100.0,100.0,100.0,97.9,99.5,98.6,100.0,100.0,100.0
Chhattisgarh,93.5,94.9,94.2,83.1,87.8,85.4,70.1,78.3,74.5
Dadra and Nagar Haveli and Daman and Diu,97.6,97.6,97.6,93.3,95.1,94.2,69.1,77.6,73.4
Delhi,95.9,98.6,97.1,95.8,97.1,96.4,90.1,95.2,92.5
Goa,99.7,99.6,99.7,97.4,97.4,97.4,89.4,93.3,91.3
Gujarat,95.7,96.3,96.0,90.3,87.3,88.9,57.7,69.0,62.8
Haryana,94.6,95.8,95.2,89.1,91.0,89.9,68.2,76.0,71.7
Himachal Pradesh,98.8,98.8,98.8,97.3,98.0,97.7,87.5,91.3,89.3
Jammu and Kashmir,92.5,93.2,92.8,89.2,88.7,89.0,69.6,72.2,70.8
Jharkhand,79.5,81.6,80.5,65.8,68.7,67.2,62.1,62.9,62.5
Karnataka,97.3,97.9,97.6,96.5,96.9,96.7,52.2,61.5,56.8
Kerala,97.9,98.4,98.1,98.6,98.9,98.8,89.1,92.8,90.9
Ladakh,92.3,98.3,95.2,92.1,94.1,93.1,48.1,52.7,50.5
Lakshadweep,91.5,98.2,94.8,96.1,100.0,99.4,94.5,93.8,94.2
Madhya Pradesh,88.7,90.1,89.4,76.4,77.5,76.9,64.9,71.4,68.0
Maharashtra,99.6,100.0,99.8,97.7,97.7,97.7,77.4,81.8,79.5
Manipur,81.8,84.5,83.1,83.6,86.1,84.8,65.8,66.7,66.2
Meghalaya,71.5,76.7,74.2,62.1,68.0,65.3,41.2,44.0,42.8
Mizoram,91.9,94.2,93.0,79.8,85.2,82.5,59.9,60.8,60.4
Nagaland,87.3,91.0,89.1,79.0,83.0,81.0,77.3,79.3,78.3
Odisha,97.4,97.9,97.6,92.2,93.7,92.9,72.1,76.7,74.4
Puducherry,97.4,98.0,97.7,97.7,98.2,97.9,81.6,91.4,86.4
Punjab,96.5,96.9,96.7,93.2,94.9,94.0,89.1,91.8,90.3
Rajasthan,90.5,91.0,90.7,87.3,88.0,87.6,80.8,84.8,82.6
Sikkim,85.7,93.4,89.3,84.0,89.0,86.4,63.1,68.4,65.9
Tamil Nadu,100.0,100.0,100.0,100.0,100.0,100.0,80.3,91.8,85.9
Telangana,99.9,100.0,100.0,98.4,99.8,99.1,72.4,78.8,75.6
Tripura,91.0,93.2,92.0,86.6,89.4,88.0,85.6,85.8,85.7
Uttar Pradesh,79.1,79.9,79.5,79.0,74.5,76.9,74.1,79.9,76.7
Uttarakhand,94.0,95.1,94.5,90.8,92.3,91.5,83.5,89.0,86.1
West Bengal,100.0,100.0,100.0,100.0,100.0,100.0,60.9,67.2,64.2
