India/State/ UT,Projected population by age group – Overall,,,,,,,,
"",Age 6-13,Age 14-15,Age 16-17,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(11),(12),(13),(14),(15),(16),(17),(18),(19)
India,98057360,88304743,186362104,24859481,22776690,47636171,25145866,23150057,48295923
Andaman and Nicobar Islands,23603,22124,45728,6591,5894,12485,6606,5614,12220
Andhra Pradesh,2996878,2766690,5763568,775995,731433,1507428,798058,756503,1554560
Arunachal Pradesh,108539,103986,212525,32460,31517,63977,31627,30880,62507
Assam,2524569,2337554,4862123,659613,629985,1289598,674745,649299,1324043
Bihar,11322818,10404522,21727340,2820196,2660363,5480559,2816032,2669483,5485516
Chandigarh,75506,61797,137303,20829,16129,36958,22484,16006,38489
Chhattisgarh,2255000,2144200,4399200,550200,530400,1080600,547200,530000,1077200
Dadra and Nagar Haveli and Daman and Diu,47466,41378,88844,11696,9212,20908,13481,8273,21755
Delhi,1456284,1200996,2657280,377468,322423,699892,396687,335682,732369
Goa,82263,76593,158856,22330,20110,42440,22290,19983,42273
Gujarat,5013799,4241252,9255052,1239424,1067500,2306925,1251403,1084470,2335874
Haryana,2160200,1791400,3951600,544400,450200,994600,551000,459800,1010800
Himachal Pradesh,428800,384800,813600,118000,104400,222400,121800,107800,229600
Jammu and Kashmir,874400,787800,1662200,281800,245600,527400,301400,261400,562800
Jharkhand,3065637,2831835,5897472,791352,755384,1546736,805204,776863,1582067
Karnataka,4105200,3782800,7888000,1055600,989600,2045200,1067200,1004000,2071200
Kerala,1972616,1888799,3861415,512840,490626,1003466,517259,495044,1012303
Ladakh,17336,16389,33725,4881,4365,9246,4582,4577,9158
Lakshadweep,4334,4356,8690,1177,1120,2297,1146,1164,2310
Madhya Pradesh,6893200,6360600,13253800,1648000,1534000,3182000,1628000,1516600,3144600
Maharashtra,7735157,6733294,14468451,2071996,1831652,3903647,2129724,1892987,4022711
Manipur,190947,176273,367219,57395,54727,112122,56982,56010,112993
Meghalaya,239487,227836,467323,65594,63567,129162,69239,66798,136037
Mizoram,73368,69078,142447,20859,19844,40704,23231,22290,45520
Nagaland,154335,140121,294456,46245,42141,88387,48304,45961,94265
Odisha,2960340,2793638,5753978,777390,738271,1515662,794037,756723,1550760
Puducherry,74335,69775,144111,20803,18597,39400,20234,18211,38444
Punjab,1795859,1543217,3339076,487149,407358,894507,506442,419014,925456
Rajasthan,6534563,5736613,12271175,1594940,1437979,3032918,1585202,1445133,3030335
Sikkim,38843,36929,75772,12328,11992,24321,13962,13570,27532
Tamil Nadu,4226000,3873200,8099200,1098200,1026400,2124600,1109600,1046000,2155600
Telangana,2278267,2066784,4345052,594278,551657,1145934,612544,574186,1186730
Tripura,218285,204000,422284,65533,61824,127357,75238,68723,143961
Uttar Pradesh,19680127,17368311,37048438,4727317,4254019,8981335,4715322,4268612,8983934
Uttarakhand,769800,649200,1419000,205200,177600,382800,213600,187200,400800
West Bengal,5659200,5366600,11025800,1539400,1478800,3018200,1594000,1535200,3129200
