India/State/ UT,Total Schools,Schools with Solar Panels availability,Percentage of Schools with Solar Panels availability,,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1471891,1017660,80313,331108,42810,154498,89746,9059,50767,4926,10.5,8.8,11.3,15.3,11.5
Andaman & Nicobar Islands,412,340,2,70,0,14,12,0,2,0,3.4,3.5,0,2.9,0
Andhra Pradesh,61373,45000,991,15232,150,4723,2380,80,2246,17,7.7,5.3,8.1,14.7,11.3
Arunachal Pradesh,3490,2847,72,529,42,410,295,19,92,4,11.7,10.4,26.4,17.4,9.5
Assam,56630,45008,2267,5725,3630,3692,3041,73,454,124,6.5,6.8,3.2,7.9,3.4
Bihar,94686,78120,723,9167,6676,8721,6615,65,1268,773,9.2,8.5,9,13.8,11.6
Chandigarh,230,119,7,77,27,173,101,6,63,3,75.2,84.9,85.7,81.8,11.1
Chhattisgarh,56615,48803,414,7153,245,3428,2926,43,448,11,6.1,6,10.4,6.3,4.5
"Dadra & Nagar Haveli andDaman & Diu",432,360,8,63,1,62,59,0,3,0,14.4,16.4,0,4.8,0
Delhi,5497,2693,239,2565,0,1835,1197,52,586,0,33.4,44.4,21.8,22.8,0
Goa,1487,789,557,141,0,51,9,28,14,0,3.4,1.1,5,9.9,0
Gujarat,53626,34597,5535,13490,4,4445,1975,596,1874,0,8.3,5.7,10.8,13.9,0
Haryana,23517,14374,5,8415,723,5249,2298,2,2771,178,22.3,16,40,32.9,24.6
Himachal Pradesh,17826,15217,0,2607,2,1345,1022,0,323,0,7.5,6.7,0,12.4,0
Jammu & Kashmir,24296,18785,1,5452,58,4145,3304,0,827,14,17.1,17.6,0,15.2,24.1
Jharkhand,44475,35795,1146,1634,5900,6784,5335,139,361,949,15.3,14.9,12.1,22.1,16.1
Karnataka,75869,49306,7013,19542,8,10034,5438,980,3615,1,13.2,11,14,18.5,12.5
Kerala,15864,4809,7162,3082,811,2030,869,506,562,93,12.8,18.1,7.1,18.2,11.5
Ladakh,995,841,40,114,0,245,191,14,40,0,24.6,22.7,35,35.1,0
Lakshadweep,37,37,0,0,0,1,1,0,0,0,2.7,2.7,0,0,0
Madhya Pradesh,123412,92439,581,28910,1482,7413,4718,32,2551,112,6,5.1,5.5,8.8,7.6
Maharashtra,108237,65157,24173,18642,265,18944,12104,3754,3062,24,17.5,18.6,15.5,16.4,9.1
Manipur,4646,2934,584,1010,118,498,154,22,307,15,10.7,5.2,3.8,30.4,12.7
Meghalaya,14601,7779,4168,2152,502,633,317,176,106,34,4.3,4.1,4.2,4.9,6.8
Mizoram,3941,2587,230,1064,60,82,29,9,41,3,2.1,1.1,3.9,3.9,5
Nagaland,2725,1952,0,772,1,389,329,0,60,0,14.3,16.9,0,7.8,0
Odisha,61693,48671,5907,6042,1073,8913,7061,833,902,117,14.4,14.5,14.1,14.9,10.9
Puducherry,735,420,33,282,0,52,14,2,36,0,7.1,3.3,6.1,12.8,0
Punjab,27404,19242,444,7704,14,5484,4383,44,1055,2,20,22.8,9.9,13.7,14.3
Rajasthan,107757,70233,0,34729,2795,8868,4618,0,4081,169,8.2,6.6,0,11.8,6
Sikkim,1254,864,16,374,0,164,140,2,22,0,13.1,16.2,12.5,5.9,0
Tamil Nadu,58722,37672,8314,12481,255,1884,855,172,850,7,3.2,2.3,2.1,6.8,2.7
Telangana,42901,30022,662,12126,91,2598,1671,31,893,3,6.1,5.6,4.7,7.4,3.3
Tripura,4923,4238,42,395,248,177,125,1,42,9,3.6,2.9,2.4,10.6,3.6
Uttar Pradesh,255087,137102,8291,96635,13059,34710,11197,1315,20305,1893,13.6,8.2,15.9,21,14.5
Uttarakhand,22551,16201,614,5252,484,1909,1183,60,636,30,8.5,7.3,9.8,12.1,6.2
West Bengal,93945,82307,72,7480,4086,4393,3780,3,269,341,4.7,4.6,4.2,3.6,8.3
