India/State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"Other CentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,36.2,40.2,49,85.2,37.6,40.2,43.8,24.8,15.4
Andaman & Nicobar Islands,78.6,85.6,0,100,0,86,50,45.7,0
Andhra Pradesh,73.1,77.6,54.3,100,75,77.6,80.8,59.3,57.3
Arunachal Pradesh,26.4,20.9,20,88.2,0,20.5,62.5,51.6,26.2
Assam,62.8,74.4,38.6,96.4,11.1,74.5,20.2,19.5,13.4
Bihar,18,17.3,36.7,76.9,20,17.2,15.9,24.2,18.3
Chandigarh,79.6,96.6,75,100,50,98.2,71.4,72.7,25.9
Chhattisgarh,52,55.7,50,78.6,83.3,55.6,55.3,27.8,28.6
"Dadra & Nagar Haveli andDaman & Diu",79.9,88.1,0,66.7,100,88.7,75,34.9,0
Delhi,76.6,82.5,69.6,100,0,82.7,77,70.4,0
Goa,70.3,91.8,80,50,0,91.9,49,34,0
Gujarat,48.1,65.8,32.6,73.5,60,65.8,13.8,16.8,0
Haryana,41.1,50.4,65.7,95.2,50,50.3,20,27,19.4
Himachal Pradesh,77.6,83.8,30.8,75,62.5,83.9,0,41.3,50
Jammu & Kashmir,19.2,18.1,28.6,90,0,18,100,22.9,20.7
Jharkhand,23.1,22.9,34.1,84.6,9.1,22.9,31.8,30.4,20.2
Karnataka,32.4,33,30.8,87.1,71.4,32.9,41.4,27.7,37.5
Kerala,74.5,81.7,63.2,78.6,66.7,81.9,81,56.2,44.5
Ladakh,16.2,14.4,66.7,50,0,14.1,25,26.3,0
Lakshadweep,97.3,97.3,0,100,0,100,0,0,0
Madhya Pradesh,17.9,18.6,43.8,87,25,18.5,15.5,16.1,10.7
Maharashtra,45.2,50.3,44.1,91.2,40,50.3,45.9,26.8,26.4
Manipur,39.1,36.3,55.6,100,50,35.9,37,50.7,19.5
Meghalaya,14.5,15.9,0,100,0,15.8,15.2,8.8,9.8
Mizoram,37.6,49.9,25,62.5,0,49.9,15.2,14.1,13.3
Nagaland,44.6,46.4,33.3,100,0,46.2,0,40,0
Odisha,92.9,97.3,51.5,96.8,53.8,97.4,83.6,71.3,65.8
Puducherry,24.5,25.5,25,75,0,25,6.1,25.2,0
Punjab,75.4,86.8,81.1,91.3,60,86.8,74.5,47.2,50
Rajasthan,28,33.3,48.1,94.3,50,33.2,0,18.8,10.9
Sikkim,48.2,57.9,0,75,100,57.9,43.8,26.2,0
Tamil Nadu,38.1,30,57.8,0,10.5,30,46.5,57.3,18.4
Telangana,11.8,13.3,40,66.7,22.2,13.2,7.4,8.5,5.5
Tripura,30.8,32.4,30,87.5,0,32.3,23.8,26.1,10.9
Uttar Pradesh,20.9,26.7,62.3,77.6,35,26.6,18.6,14.6,8.7
Uttarakhand,67.5,77.5,51.1,69.2,85.7,77.6,64,40.4,30.6
West Bengal,15.5,16.2,66.1,77.8,12.8,16.1,11.1,12.2,7.6
